File,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,CountDeclClassMethod,AvgLineComment,AvgCyclomaticModified,CountLineComment,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,CountDeclMethodPublic,AvgLineBlank,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Min,CountOutput_Mean,CountOutput_Min,CountPath_Min,MaxNesting_Min,OWN_COMMIT,MINOR_LINE,MAJOR_LINE,target
0,0,0,1,1,0,0,1,21,1,0,0,1,0,3,0,0,1,2,2.0,2,1,0,0.0,2,2,False
1,0,1,1,0,0,5,1,25,1,0,0,0,0,0,1,0,0,1,0.0,0,1,0,0.0,3,0,False
2,0,1,1,0,0,0,1,19,1,0,0,0,0,0,0,0,0,1,1.0,1,1,0,0.0,1,1,False
3,0,1,1,0,0,5,1,24,1,0,0,0,0,0,4,0,0,2,1.0,1,1,0,0.0,1,1,False
4,0,3,1,0,0,0,1,16,1,0,0,0,0,0,0,0,0,1,1.0,1,1,0,0.0,2,0,False
5,0,1,1,0,0,0,1,16,1,0,0,0,0,0,0,1,0,1,1.0,1,1,0,0.0,2,1,False
6,0,7,1,0,0,0,1,19,1,0,0,0,0,1,1,1,1,0,1.0,1,1,0,0.0,1,0,False
7,0,33,1,0,0,0,1,31,1,0,0,0,0,2,1,2,1,0,0.636363636363636,0,1,0,1.0,1,1,False
8,0,3,1,0,0,0,1,16,1,0,0,0,0,0,1,1,0,0,1.0,1,1,0,0.0,1,1,False
9,0,7,1,0,0,0,1,16,1,0,0,0,0,1,1,2,1,0,0.714285714285714,0,1,0,0.0,1,0,False
10,0,2,1,0,0,0,1,16,1,0,0,0,0,1,2,1,1,0,1.0,1,1,0,0.0,1,1,False
11,0,2,1,0,0,0,1,16,1,0,0,0,0,0,2,2,0,0,0.5,0,1,0,0.0,1,0,False
12,0,2,1,0,0,0,1,16,1,0,0,0,0,3,1,2,1,0,0.5,0,1,0,0.0,1,0,False
13,0,4,1,0,0,0,1,16,1,0,0,0,0,0,2,1,0,0,1.0,1,1,0,0.0,2,0,False
14,0,4,1,0,0,0,1,16,1,0,0,0,0,1,1,2,1,0,0.75,0,1,0,0.0,1,0,False
15,0,38,1,0,0,0,1,16,1,0,0,0,0,0,1,1,0,0,0.578947368421053,0,1,0,0.0,1,1,False
16,0,2,1,0,0,0,1,16,1,0,0,0,0,3,1,2,1,0,0.5,0,1,0,1.0,1,0,False
17,0,21,1,0,0,0,1,16,1,0,0,0,0,1,4,2,1,0,0.952380952380952,0,1,0,0.75,1,1,False
18,0,6,1,0,0,0,1,16,1,0,0,0,0,2,5,2,1,0,0.666666666666667,0,1,0,0.0,2,0,False
19,0,2,1,0,0,0,1,16,1,0,0,0,0,1,1,1,1,0,1.0,1,1,0,0.0,1,1,False
20,0,3,1,0,0,0,1,16,1,0,0,0,0,0,1,2,0,0,0.333333333333333,0,1,0,0.0,1,0,False
21,0,22,1,0,0,0,1,22,1,0,0,0,0,2,2,2,1,0,0.681818181818182,0,1,0,1.0,1,1,False
22,0,8,1,0,0,0,1,16,1,0,0,0,0,2,1,1,1,0,0.5,0,1,0,0.0,1,0,False
23,0,3,1,0,0,0,1,16,1,0,0,0,0,3,1,1,1,0,0.666666666666667,0,1,0,0.0,2,0,False
24,0,9,1,0,0,0,1,16,1,0,0,0,0,0,8,2,0,0,0.555555555555556,0,1,0,0.0,1,1,False
25,0,3,1,0,0,0,1,16,1,0,0,0,0,3,1,1,1,0,0.0,0,1,0,0.0,1,0,False
26,0,19,1,0,0,0,1,16,1,0,0,0,0,0,1,2,0,0,0.789473684210526,0,1,0,0.0,1,1,False
27,0,4,1,0,0,0,1,16,1,0,0,0,0,3,1,1,1,0,0.5,0,1,0,0.0,1,0,False
28,0,8,1,0,0,0,1,16,1,0,0,0,0,1,1,1,1,0,0.5,0,1,0,0.0,1,0,False
29,0,55,1,0,0,0,1,16,1,0,0,0,0,0,1,1,0,0,0.509090909090909,0,1,0,0.0,2,0,False
30,0,5,1,0,0,0,1,19,1,0,0,0,0,1,1,2,1,0,0.8,0,1,0,1.0,1,0,False
31,0,1,1,0,0,5,1,24,1,0,0,0,0,0,1,0,0,1,0.0,0,1,0,0.0,2,0,False
32,0,1,1,0,0,5,1,24,1,0,0,0,0,0,2,1,0,1,0.0,0,1,0,0.0,2,0,False
33,0,4,1,0,0,6,1,46,1,0,0,0,0,0,3,1,0,2,0.25,0,1,0,0.0,2,1,False
34,0,1,1,0,0,9,1,36,1,0,0,0,0,0,46,0,0,106,0.0,0,1,0,0.0,1,0,False
35,0,1,1,0,0,13,1,44,1,0,0,0,0,1,31,2,1,20,1.0,1,1,0,0.0,1,0,False
36,0,1,1,0,0,10,1,34,1,0,0,0,0,0,2,5,0,1,1.0,1,1,0,0.0,1,0,False
