File,CountDeclMethodDefault,AvgEssential,CountDeclClassMethod,AvgLineComment,CountDeclMethodProtected,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Mean,CountOutput_Min,CountPath_Min,MaxNesting_Mean,MaxNesting_Min,Del_lines,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_LINE,target
0,0,1,0,4,4,0.3,1,100,3,0,14,2,6.53333333333333,0,9.4,1,1,1.61904761904762,0,522,1.0,0,1,0,True
1,0,1,0,1,0,0.44,0,50,2,0,2,1,2.85714285714286,1,3.42857142857143,1,1,1.22222222222222,0,118,1.0,0,1,0,False
2,0,1,2,3,6,0.34,0,83,3,0,12,2,5.22222222222222,0,5.83333333333333,1,1,1.08695652173913,0,458,1.0,0,1,0,False
3,3,2,0,2,5,0.17,0,90,2,1,15,2,6.71428571428571,0,7.32142857142857,1,1,1.33333333333333,0,766,0.8,0,1,2,False
4,2,1,0,1,0,1.0,0,60,2,0,6,1,2.0,0,1.4,0,1,1.125,0,84,1.0,0,1,0,False
5,3,1,3,1,0,0.21,0,92,2,0,42,3,3.43421052631579,0,4.10526315789474,0,1,0.835443037974684,0,1151,0.714285714285714,0,2,1,True
6,0,1,0,10,0,4.0,0,100,2,1,2,1,3.25,1,0.25,0,1,0.0,0,89,0.666666666666667,0,2,0,False
7,8,1,15,6,0,0.43,1,81,3,0,27,1,6.06666666666667,3,8.53333333333333,2,1,1.72222222222222,0,514,1.0,0,1,0,False
8,1,2,0,0,0,0.17,0,91,2,2,2,1,3.13333333333333,0,2.2,1,0,1.55555555555556,0,199,1.0,0,1,0,False
9,0,2,1,2,0,0.29,0,89,1,0,9,1,5.55555555555556,3,4.33333333333333,1,1,1.89655172413793,0,482,1.0,0,1,0,False
10,0,2,0,4,0,0.51,0,48,3,1,3,1,6.875,1,3.6875,1,1,1.0,0,295,1.0,0,1,0,False
11,0,1,0,3,0,0.74,0,55,4,0,2,1,2.5,0,2.9,1,1,0.333333333333333,0,138,1.0,0,1,0,False
12,0,1,0,1,0,0.31,0,46,2,0,5,1,5.75,3,6.0,4,1,1.9,0,164,1.0,0,1,0,False
13,0,1,0,0,0,1.43,0,100,3,0,0,1,3.0,0,2.33333333333333,2,1,0.666666666666667,0,39,1.0,0,1,0,False
14,0,1,1,0,0,0.81,0,50,2,0,3,1,2.5,1,2.0,1,1,0.75,0,59,1.0,0,1,0,False
15,0,2,1,5,0,0.31,0,41,1,0,4,2,4.75,2,5.5,1,1,1.90909090909091,0,280,1.0,0,1,0,False
16,3,1,8,0,0,0.15,0,95,2,0,2,2,2.29166666666667,0,3.04166666666667,1,0,0.5625,0,280,1.0,0,1,0,False
17,1,1,0,0,0,0.28,0,40,1,0,2,2,3.8,1,2.9,1,1,0.615384615384615,0,114,1.0,0,1,0,False
