File,CountDeclMethodPrivate,AvgEssential,CountDeclClassMethod,AvgLineComment,CountLineComment,CountDeclClass,CountDeclInstanceVariable,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Min,CountPath_Min,MaxNesting_Mean,MaxNesting_Min,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_LINE,target
0,0,1,0,1,39,1,2,0.95,0,40,2,0,0,1,1.6,1,1,1,0.875,0,0.0,0,1,0,False
1,0,1,0,0,22,4,15,0.08,0,89,2,1,3,2,1.81818181818182,1,1,1,0.473684210526316,0,0.0,0,3,3,True
2,0,0,0,0,22,1,0,5.5,0,0,1,0,0,1,0.0,0,0,0,0.333333333333333,0,1.0,0,1,0,False
3,0,1,0,0,29,3,3,0.35,0,71,2,0,7,2,2.0,0,1,1,0.416666666666667,0,1.0,0,1,0,False
4,5,2,5,4,110,4,4,0.2,3,88,1,0,27,2,4.52380952380952,1,1,1,2.03703703703704,0,0.6,0,7,6,False
5,0,1,0,0,44,1,10,0.57,0,84,2,0,5,1,3.2,0,1,1,0.666666666666667,0,0.0,0,4,2,False
6,1,1,0,2,32,1,3,0.25,5,65,1,0,2,1,4.2,2,1,1,1.14285714285714,0,0.0,0,4,2,False
7,3,1,3,1,32,1,1,0.21,0,83,1,0,3,2,3.25,1,1,1,1.0,0,0.0,0,2,0,False
8,1,1,0,3,31,1,0,0.58,3,0,2,0,8,1,2.66666666666667,1,9,1,0.0,0,0.0,0,1,0,False
9,1,1,0,0,30,4,0,3.0,0,0,1,0,0,1,0.0,0,1,1,0.0,0,0.0,0,1,0,False
10,0,0,0,0,32,4,0,3.2,0,0,1,0,0,1,0.0,0,0,0,0.0,0,0.0,0,1,0,False
11,0,1,0,4,59,1,4,0.94,1,50,1,2,0,1,4.2,3,1,1,1.375,0,1.0,0,1,1,False
12,1,2,9,6,95,1,1,0.65,0,95,1,0,0,1,3.8,0,1,1,1.69230769230769,0,1.0,0,5,4,False
13,0,1,0,3,20,1,0,5.0,0,0,0,1,0,0,1.0,1,0,1,0.0,0,0.0,0,1,0,False
14,0,1,4,1,26,1,0,0.72,0,25,1,0,1,1,2.5,2,1,1,1.16666666666667,0,0.0,0,1,0,False
15,0,1,0,0,18,1,1,0.6,0,40,2,0,0,1,2.8,0,1,1,0.25,0,1.0,0,1,0,False
16,0,1,0,1,33,1,0,0.52,0,0,2,1,0,1,3.6,1,0,1,0.333333333333333,0,0.0,0,1,0,False
17,1,1,0,1,33,1,0,0.52,0,0,2,1,0,1,6.0,2,0,1,0.583333333333333,0,0.0,0,1,0,False
18,1,1,1,4,30,1,0,2.5,0,0,1,0,0,1,13.0,0,1,1,0.75,0,0.0,0,3,0,False
19,0,1,1,3,27,2,0,1.08,0,50,2,0,1,1,4.0,2,1,1,0.6,0,0.0,0,1,0,False
20,1,1,8,1,55,3,6,0.4,0,53,1,0,3,2,3.71428571428571,0,1,1,1.0,0,1.0,0,2,0,False
21,0,1,0,5,35,1,0,4.38,0,0,2,1,0,1,1.0,1,0,1,0.0,0,1.0,0,1,1,False
22,0,1,0,0,22,1,6,0.17,0,80,1,0,0,2,2.7,1,2,1,1.25,0,1.0,0,2,0,False
23,0,1,1,1,23,1,0,1.0,0,0,1,0,2,1,9.0,9,6,3,2.0,2,0.0,0,1,0,False
24,5,1,20,0,194,2,276,0.29,0,98,2,1,3,1,9.82692307692308,0,1,0,0.428571428571429,0,0.357142857142857,1,4,13,True
25,3,1,0,1,29,1,0,0.81,1,0,2,0,2,1,3.4,0,1,1,0.0,0,1.0,0,1,0,False
26,0,1,1,1,50,2,6,0.39,0,65,1,0,3,3,2.21428571428571,0,1,1,0.666666666666667,0,0.0,0,3,0,False
27,0,1,0,0,36,2,4,0.46,1,50,3,0,2,3,3.8,2,1,1,0.7,0,0.0,0,2,2,False
28,0,1,0,4,43,1,7,0.37,2,66,2,0,11,1,6.66666666666667,2,3,3,2.83333333333333,2,0.0,0,2,0,True
29,0,1,0,0,21,1,0,1.11,1,50,1,0,2,2,2.0,0,0,1,0.8,0,0.0,0,2,0,False
30,1,1,1,0,21,2,0,1.31,0,0,1,0,1,2,0.666666666666667,0,1,1,0.142857142857143,0,0.0,0,2,0,False
31,1,1,1,1,22,2,0,1.05,1,0,1,0,1,2,1.0,0,1,1,0.5,0,0.0,0,2,0,False
32,12,1,1,0,37,7,5,0.26,0,50,1,2,5,2,2.41666666666667,0,0,1,0.484848484848485,0,0.0,0,2,0,False
33,0,1,0,10,30,1,0,7.5,0,0,0,3,1,0,1.0,1,0,1,0.0,0,0.0,0,2,0,False
34,0,1,0,6,29,1,0,7.25,0,0,0,1,0,0,6.0,6,0,1,0.0,0,0.0,0,2,0,False
35,0,1,0,14,34,1,0,5.67,0,0,0,4,1,0,1.0,1,0,1,0.0,0,0.0,0,2,0,False
36,0,1,0,3,72,1,12,0.44,2,76,1,0,10,2,4.42857142857143,0,1,1,1.5,0,0.0,0,2,1,True
37,0,1,3,2,50,1,3,0.37,0,88,1,0,7,2,2.33333333333333,0,1,1,1.33333333333333,0,0.0,0,2,2,False
38,0,0,0,0,24,1,17,1.2,0,0,1,0,0,1,0.0,0,0,0,0.0,0,0.0,0,3,0,False
39,1,4,1,2,41,1,10,0.13,2,75,1,0,29,2,8.0,0,1,1,1.4,0,0.0,0,1,3,True
40,1,1,0,3,68,3,3,1.55,0,0,2,0,1,2,1.42857142857143,0,1,1,0.583333333333333,0,0.0,0,2,0,False
41,0,1,0,4,58,2,1,1.32,0,0,2,0,0,2,1.16666666666667,0,1,1,0.888888888888889,0,0.0,0,2,0,False
42,0,1,0,0,17,7,12,0.08,0,33,2,0,2,2,1.66666666666667,0,1,1,0.590909090909091,0,0.0,0,3,3,False
43,1,1,3,3,75,5,3,0.68,0,14,2,2,2,2,2.38461538461538,0,1,1,0.772727272727273,0,0.0,0,1,0,False
44,0,1,0,0,23,2,0,2.3,0,0,2,0,0,1,0.0,0,1,1,0.0,0,0.0,0,1,0,False
45,0,1,0,0,17,7,12,0.08,0,33,2,0,2,2,1.66666666666667,0,1,1,0.590909090909091,0,0.0,0,3,3,False
46,0,1,0,0,21,1,0,0.95,0,0,2,0,0,1,1.0,1,1,3,2.0,2,0.0,0,2,0,False
47,0,1,0,0,21,1,0,1.17,0,0,2,0,0,1,1.0,1,3,4,2.0,2,0.0,0,2,0,False
48,0,1,0,0,21,1,0,3.0,0,0,2,0,0,1,2.0,2,2,1,0.0,0,0.0,0,2,0,False
49,0,1,0,0,21,1,0,0.95,1,0,2,0,0,1,1.0,1,10,5,1.0,1,0.0,0,2,0,False
50,0,1,0,0,21,1,0,1.31,1,0,2,0,0,1,1.0,1,5,3,1.0,1,0.0,0,2,0,False
51,0,1,0,0,21,1,1,1.11,0,0,2,0,0,1,1.0,1,2,1,0.0,0,0.0,0,1,1,False
52,0,1,0,0,22,1,2,0.69,0,50,2,0,6,1,1.33333333333333,1,2,1,0.166666666666667,0,0.0,0,1,0,False
