File,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,CountDeclClassMethod,AvgLineComment,CountLineComment,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,RatioCommentToCode,AvgLineBlank,CountDeclInstanceMethod,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Mean,CountOutput_Min,CountPath_Min,MaxNesting_Mean,MaxNesting_Min,Del_lines,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_LINE,target
0,1,0,1,0,0,0,34,2,5,7,0.21,1,13,80,2,3,1,2,3.46153846153846,1,4.38461538461539,1,1,0.941176470588235,0,0,0.0,0,1,0,False
1,0,0,1,0,0,0,3,1,0,0,0.27,0,1,0,4,0,0,1,1.0,1,1.0,1,2,1.0,1,0,0.0,0,1,0,False
2,0,0,1,0,0,0,6,1,0,1,0.75,0,1,0,3,0,0,1,1.0,1,2.0,2,1,0.0,0,0,0.0,0,1,0,False
3,0,0,1,0,0,0,3,1,0,0,0.21,0,2,0,4,0,0,1,0.5,0,1.5,1,1,0.75,0,0,0.0,0,1,0,False
4,0,0,1,0,0,0,6,1,1,1,0.5,0,2,50,3,2,0,1,2.5,1,2.0,1,1,0.0,0,0,0.0,0,1,0,False
5,0,0,1,0,0,0,16,1,0,4,0.39,0,1,0,3,0,0,1,4.0,4,13.0,13,8,2.0,2,0,0.0,0,1,0,False
6,0,0,1,0,1,0,0,1,0,0,0.0,0,0,0,1,0,0,1,0.0,0,2.0,2,1,0.25,0,0,0.0,0,1,0,False
7,0,0,1,0,1,0,0,1,0,0,0.0,0,0,0,1,0,0,1,0.0,0,8.0,8,1,0.0,0,0,0.0,0,1,0,False
8,0,0,1,0,0,0,6,0,0,0,0.55,0,0,0,0,0,0,0,0.5,0,2.5,2,1,0.0,0,0,0.0,0,1,0,False
9,0,0,1,0,0,0,0,1,0,0,0.0,0,1,0,1,0,0,1,0.0,0,1.0,1,1,0.0,0,0,0.0,0,1,0,False
10,0,1,1,0,0,0,0,1,0,0,0.0,0,1,0,0,0,0,0,0.0,0,0.0,0,1,0.25,0,0,0.0,0,1,0,False
11,0,0,1,0,10,0,0,1,0,0,0.0,0,0,0,1,0,0,1,1.0,1,1.0,1,1,0.0,0,0,0.0,0,1,0,False
12,0,0,1,0,0,0,0,1,0,0,0.0,0,1,0,0,0,0,0,1.0,1,1.0,1,1,0.0,0,0,0.0,0,1,0,False
13,0,0,1,0,0,0,0,1,0,0,0.0,0,1,0,1,0,1,1,1.0,1,2.0,2,1,0.0,0,0,0.0,0,1,0,False
14,0,0,1,0,0,0,6,1,0,0,0.43,0,12,0,0,0,0,0,1.0,1,0.583333333333333,0,1,0.0,0,0,0.0,0,1,0,False
15,0,0,1,0,0,0,6,1,0,1,0.14,0,13,0,1,0,1,1,1.53846153846154,1,1.61538461538462,1,1,0.0,0,0,0.0,0,1,0,False
16,0,1,1,0,0,0,0,1,0,0,0.0,0,1,0,0,0,0,0,1.0,1,1.0,1,1,0.0,0,0,0.0,0,1,0,False
17,0,0,1,0,0,0,0,1,0,0,0.0,0,1,0,1,0,1,1,1.0,1,2.0,2,2,1.0,1,0,0.0,0,1,0,False
18,0,0,0,0,0,0,0,2,0,3,0.0,0,2,100,1,0,0,1,0.0,0,1.0,1,0,0.0,0,0,0.0,0,1,0,False
19,0,0,1,0,0,0,0,1,0,0,0.0,0,2,0,1,0,0,1,0.5,0,1.5,1,1,0.0,0,0,0.0,0,1,0,False
