File,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,CountDeclClassMethod,AvgLineComment,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,CountDeclMethodPublic,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Min,CountPath_Min,MaxNesting_Mean,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_LINE,target
0,0,0,1,1,0,3,1,0,2,8,0.9,0,58,2,0,7,1,1.25,1,2,1,0.272727272727273,0.0,0,3,1,False
1,0,0,2,0,0,1,1,0,3,3,0.81,0,44,3,0,2,1,3.0,2,3,1,1.2,0.0,0,3,1,False
2,16,0,12,0,0,8,1,1,5,2,0.23,3,75,1,0,0,1,3.73684210526316,1,1,1,1.38095238095238,0.0,0,1,3,False
3,0,0,1,1,0,5,1,0,1,3,1.68,0,33,2,0,3,1,1.33333333333333,1,3,1,1.0,0.0,0,3,1,False
4,0,0,10,2,0,18,1,0,7,2,0.76,9,55,3,0,1,1,5.5,2,2,1,4.5,0.0,0,2,1,True
5,0,0,1,0,0,2,1,0,0,2,2.67,0,0,2,0,3,1,0.5,0,1,1,0.8,0.0,0,3,0,False
6,0,0,4,1,0,2,1,0,1,2,1.06,4,25,3,0,1,1,3.5,2,4,2,3.25,0.0,0,4,0,False
7,2,0,3,2,0,0,1,0,7,2,0.77,3,61,3,0,1,1,4.75,3,2,1,1.83333333333333,0.0,0,2,1,False
8,0,0,1,1,0,3,1,0,1,6,0.68,0,41,2,0,6,1,1.5,1,2,1,0.888888888888889,0.0,0,3,1,False
9,0,0,1,1,0,3,1,0,2,8,1.05,0,58,2,0,7,1,1.25,1,2,1,0.272727272727273,1.0,0,2,1,False
10,0,0,2,0,0,2,1,0,3,5,0.82,0,53,3,0,2,1,2.6,1,1,1,1.0,1.0,0,2,1,False
11,6,0,2,0,0,7,1,1,2,0,0.48,0,78,1,0,0,1,2.42857142857143,2,4,2,2.22222222222222,1.0,0,1,2,False
12,1,0,1,25,1,2,1,0,2,5,0.34,0,93,2,0,5,1,2.5,1,3,1,1.0,0.0,0,1,0,False
13,0,0,55,3,1,57,1,0,0,1,0.23,1,0,1,0,0,1,6.0,6,2,55,3.0,0.0,0,1,0,False
14,0,0,1,0,0,0,1,0,1,2,0.75,2,0,3,0,2,1,3.0,3,3,1,0.75,0.0,0,1,0,False
15,0,0,1,1,0,2,1,1,1,4,0.73,0,60,3,0,1,1,2.6,1,3,1,1.5,0.0,0,1,1,False
16,0,0,1,1,0,3,1,0,2,7,0.89,0,57,2,0,7,1,1.71428571428571,1,2,1,0.333333333333333,1.0,0,2,2,False
17,0,0,2,0,0,2,1,0,3,5,0.82,0,53,3,0,2,1,2.2,1,1,1,1.0,0.0,0,2,0,False
18,19,0,3,0,0,7,1,1,8,0,0.43,1,76,1,0,0,1,5.1,2,1,1,2.86363636363636,0.0,0,1,2,False
19,2,0,2,5,1,2,2,1,5,5,0.5,1,71,3,0,2,1,4.875,1,1,1,1.0,0.0,0,1,0,False
20,1,0,2,5,1,3,2,0,8,5,0.63,1,66,3,0,2,1,5.0,1,1,1,0.666666666666667,0.0,0,1,0,False
21,1,0,2,2,0,3,1,0,3,3,0.62,0,55,3,0,1,1,6.0,3,2,1,1.33333333333333,0.0,0,1,0,False
22,0,0,2,2,0,5,1,0,7,3,0.71,0,59,3,0,1,1,8.33333333333333,3,2,1,1.4,0.0,0,1,0,False
23,0,0,1,1,0,5,1,0,3,9,1.05,0,63,2,0,6,1,1.77777777777778,1,1,1,0.666666666666667,0.0,0,3,1,False
24,0,0,1,0,0,3,1,0,3,7,0.9,0,57,3,0,2,1,2.57142857142857,1,1,1,0.888888888888889,0.0,0,3,1,False
25,16,1,2,0,0,2,1,0,5,1,0.29,0,86,1,0,0,1,3.33333333333333,2,1,1,1.5,0.0,0,2,2,False
26,1,0,1,0,5,5,1,0,0,4,0.77,0,0,1,0,0,1,2.2,1,2,2,2.0,0.0,0,3,1,False
27,0,0,1,0,0,0,1,0,2,2,0.95,0,0,3,0,3,1,4.5,4,5,1,1.0,1.0,0,1,0,False
28,0,0,1,0,6,2,1,0,0,6,1.35,0,0,1,0,0,1,3.33333333333333,2,1,1,0.0,1.0,0,1,0,False
29,0,0,1,0,0,0,1,0,0,2,1.05,0,0,3,0,3,1,2.5,2,2,1,0.75,1.0,0,1,0,False
30,0,0,1,0,0,0,1,0,0,2,1.29,0,0,3,0,2,1,2.5,2,2,1,0.75,1.0,0,1,0,False
31,1,0,1,30,1,2,1,0,2,5,0.31,0,94,2,0,6,1,3.16666666666667,1,3,1,1.0,1.0,0,1,2,False
32,0,0,10,3,1,0,1,0,0,1,0.13,5,0,1,0,0,1,6.0,6,2,22,2.0,1.0,0,1,2,False
33,0,0,3,0,0,2,1,1,1,1,1.3,0,0,4,0,0,1,4.5,3,2,1,1.5,1.0,0,2,1,False
34,0,0,1,0,0,0,1,0,1,2,0.82,2,0,3,0,2,1,3.0,3,3,1,0.75,1.0,0,2,1,False
