commit_id,nuc,aexp,nd,ns,age,asexp,la,ld,target
0,0.0,1,6,1,0.0,0.0,899,0,False
1,1.0,3,1,1,0.0,1.0,0,7,False
2,1.0,5,1,1,0.0,3.0,6,0,False
3,1.0,6,1,1,0.0,4.0,3,1,False
4,1.0,7,1,1,0.0,5.0,10,1,False
5,1.0,8,1,1,0.0,6.0,28,0,False
6,0.0,9,1,1,0.0,7.0,29,0,False
7,0.25,10,1,1,0.0,8.0,477,9,False
8,1.33333333333333,13,2,1,0.666666666666667,9.0,8,4,False
9,1.5,0,5,4,0.666666666666667,0.0,27,21,False
10,1.0,1,1,1,1.0,0.0,132,25,True
11,1.0,14,2,1,1.0,1.0,28,11,False
12,1.0,15,1,1,1.0,2.0,13,12,False
13,1.0,16,1,1,1.0,10.0,2,1,False
14,0.0,17,1,1,0.0,11.0,88,0,False
15,1.0,18,1,1,2.0,12.0,1,1,False
16,1.0,19,1,1,2.0,13.0,3,1,False
17,2.0,2,1,1,1.0,1.0,2,2,False
18,1.0,20,1,1,2.0,14.0,7,8,False
19,1.0,0,1,1,3.0,0.0,13,2,False
20,2.0,1,1,1,0.0,1.0,6,15,False
21,0.333333333333333,2,2,1,1.0,2.0,233,0,False
22,1.0,0,1,1,3.0,0.0,3,1,False
23,1.0,22,1,1,3.0,16.0,6,1,False
24,2.0,1,1,1,2.0,1.0,7,1,False
25,2.6666666666666696,23,2,1,2.0,17.0,4,7,False
26,2.0,24,1,1,3.0,18.0,0,2,False
27,1.0,25,2,1,3.0,19.0,119,34,False
28,0.545454545454545,1,1,1,2.18181818181818,0.0,331,78,False
29,0.666666666666667,3,1,1,0.0,2.0,90,0,False
30,1.19047619047619,27,6,1,4.28571428571429,20.0,452,110,False
31,0.0,29,1,1,0.0,21.0,140,0,False
32,3.0,30,1,1,0.0,22.0,3,1,False
33,1.0,5,1,1,6.0,1.0,1,1,False
34,0.833333333333333,31,4,1,3.0,23.0,272,21,True
35,1.0,32,1,1,7.0,24.0,0,151,False
36,0.0,6,5,1,0.0,2.0,69,146,False
37,0.0,9,1,1,0.0,4.0,110,0,False
38,2.0,11,1,1,3.0,2.0,15,17,False
39,1.0,4,2,2,3.4,0.4375,985,175,False
40,4.0,5,1,1,0.0,1.0,0,7,False
41,0.0,33,1,1,0.0,25.0,104,0,True
42,1.25,13,18,1,7.15625,3.0,220,108,False
43,1.4166666666666698,14,4,1,5.5,1.0,3,25,False
44,1.0,19,2,1,8.0,0.0,0,32,False
45,0.0,20,1,1,0.0,2.0,0,5,False
46,1.0,21,1,1,8.0,4.0,4,1,False
47,1.6666666666666698,6,2,2,0.0,0.515625,625,183,False
48,0.875,38,2,1,5.75,27.0,216,93,True
49,1.22222222222222,23,2,1,6.0,6.0,211,181,False
50,1.4166666666666698,25,2,1,6.08333333333333,8.0,47,0,True
51,1.0,26,1,1,9.0,1.0,14,0,False
52,6.0,34,1,1,0.0,12.0,26,16,False
53,1.6666666666666698,8,5,1,0.0,3.0,149,8,False
54,0.0,2,2,1,0.0,0.0,268,0,False
55,2.0,3,3,1,0.0,1.0,320,196,False
56,2.5,36,1,1,0.0,14.0,68,8,False
57,2.6666666666666696,38,2,1,6.0,15.0,194,311,False
58,2.75,4,2,1,2.25,2.0,22,37,False
59,3.0,0,1,1,0.0,0.0,1,1,False
60,2.0,40,1,1,0.0,16.0,1,1,False
61,1.6666666666666698,41,3,1,0.0,11.0,15,6,False
62,0.391304347826087,45,5,1,0.260869565217391,15.0,365,568,False
63,3.0,9,1,1,1.0,4.0,4,4,False
64,3.0,50,1,1,1.0,17.0,9,0,False
65,2.0,51,1,1,1.0,18.0,8,0,False
66,4.0,10,1,1,3.0,5.0,1,1,False
67,3.0,52,1,1,5.0,19.0,3,0,False
68,2.2,39,2,1,6.0,28.0,30,8,False
69,5.0,58,1,1,1.0,22.0,6,0,False
70,1.0,42,1,1,15.0,3.0,24,18,False
71,0.214285714285714,61,4,1,3.21428571428571,3.0,32,24,False
72,0.0606060606060606,62,7,1,0.0,24.0,35,4,False
73,0.229166666666667,63,13,1,3.1875,2.0,111,110,False
74,0.108108108108108,65,4,1,1.02702702702703,4.0,106,86,True
75,0.307692307692308,66,4,1,1.23076923076923,6.0,21,21,False
76,0.2444444444444439,67,8,1,3.9111111111111097,1.0,130,130,False
77,2.04918032786885,71,9,1,8.24590163934426,3.0,195,194,False
78,0.0851063829787234,81,4,1,0.340425531914894,2.0,162,121,False
