commit_id,nuc,arexp,ent,ndev,age,asexp,la,ld,target
0,0.75,1.0,0.792095021068748,0.25,0.0,0.5,140,16,True
1,1.0,1.0,1.42411873575371,0.25,15.0,0.0,155,28,False
2,1.6,2.0,1.73954147971692,0.4,7.4,1.0,17,76,False
3,2.5,3.0,0.414879744239335,1.0,0.0,2.0,0,813,False
4,1.0,4.0,0.999570839347322,0.5,18.0,3.0,6,76,False
5,1.0,5.0,0.0,1.0,18.0,4.0,0,23,False
6,2.0,6.0,0.0,1.0,17.0,5.0,122,22,False
7,3.0,7.0,0.0,2.0,0.0,6.0,0,28,False
8,3.0,8.0,0.7568336324184041,1.0,8.5,7.0,0,55,False
9,1.0,9.0,0.0,1.0,20.0,8.0,6,5,False
10,1.0,10.0,0.0,1.0,22.0,9.0,30,6,False
11,1.0,2.0,0.0,1.0,22.0,2.0,25,5,False
12,2.0,11.0,0.0,2.0,0.0,10.0,3,5,False
13,1.46153846153846,3.0,3.0718126412838704,0.153846153846154,19.8461538461538,0.0,48,145,False
14,1.7142857142857095,4.0,2.2168690388029,0.4285714285714289,11.0,1.0,25,29,False
15,2.5,5.0,1.80755482338184,0.75,7.5,2.0,7,19,False
16,3.25,6.0,1.61591023615282,0.75,0.0,3.0,14,17,False
17,2.0,8.0,0.0,2.0,0.0,5.0,4,1,False
18,2.8,9.0,1.46173646851361,0.6,9.6,6.0,53,36,False
19,1.0,10.0,0.0,1.0,24.0,7.0,6,13,False
20,2.0,11.0,0.0,2.0,0.0,8.0,80,99,False
21,1.0,13.0,0.0,1.0,24.0,10.0,94,98,False
22,0.666666666666667,14.0,1.12928255011998,0.333333333333333,16.0,11.0,18,19,False
23,0.5,15.0,0.9999656906901908,0.5,12.0,12.0,61,84,False
24,2.0,16.0,0.0,2.0,0.0,13.0,9,10,False
25,2.5,17.0,1.0,1.0,0.0,14.0,6,14,False
26,1.0,18.0,0.4394969869215129,0.5,24.0,15.0,11,11,False
27,2.5,19.0,0.4854607607459129,1.0,15.0,16.0,1,18,False
28,8.0,20.0,0.0,3.0,0.0,17.0,28,29,False
29,3.875,21.0,1.98299365758124,0.375,3.0,18.0,302,234,False
30,1.03846153846154,22.0,3.1906615362387,0.115384615384615,2.76923076923077,0.129629629613696,1020,336,False
31,3.0,23.0,1.09914185950617,0.5,0.0,0.125,153,258,False
32,5.0,24.0,0.0,2.0,0.0,21.0,8,0,False
33,1.6,25.0,1.764124128801,0.4,19.2,22.0,1,337,False
34,1.14285714285714,26.0,2.26959999316048,0.285714285714286,20.5714285714286,23.0,29,33,False
35,2.38888888888889,27.0,3.15626047313526,0.166666666666667,9.72222222222222,0.125000171363354,436,827,False
36,3.3333333333333304,28.0,3.05053040473151,0.2,14.4,25.0,63,1539,False
37,2.17647058823529,29.0,4.52293489708691,0.0882352941176471,4.94117647058824,0.125000180676579,429,591,False
38,4.0,30.0,1.26320659256685,0.6,9.6,27.0,189,135,False
39,5.0,31.0,2.61214965656507,0.272727272727273,0.0,0.125000183004886,354,12,False
40,7.0,32.0,0.0,2.0,0.0,29.0,5,0,False
41,3.0,33.0,0.0,2.0,0.0,30.0,10,4,False
42,5.0,34.0,1.54399077665053,1.0,0.0,0.749999999941792,18,11,False
43,1.0,35.0,0.0,1.0,24.0,32.0,19,12,False
44,2.0,36.0,0.0,1.0,0.0,5.0,3,1,False
45,2.5,12.0,2.49162269159086,0.333333333333333,0.0,11.0,315,0,False
46,2.5,13.0,1.7071793195288998,0.5,0.0,12.0,233,106,False
47,1.0,15.0,1.455318451784,0.333333333333333,24.0,14.0,58,41,False
48,1.0,17.0,2.1905630943409697,0.166666666666667,24.0,16.0,142,10,False
49,3.25,18.0,2.35932114596028,0.166666666666667,2.0,17.0,1254,535,False
50,2.52631578947368,19.0,3.86324993291778,0.0789473684210526,0.0,18.0,2109,1102,False
51,0.0,20.0,0.0,0.0,0.0,19.0,253,0,False
52,0.0,21.0,0.0,0.0,0.0,20.0,133,0,False
53,5.33333333333333,37.0,3.1600122649114,0.25,0.0,33.0,39,94,False
54,10.25,39.0,1.80755482338184,0.75,0.0,35.0,7,19,False
55,10.0,40.0,1.61591023615282,0.75,0.0,36.0,14,17,False
56,6.0,42.0,0.0,3.0,0.0,38.0,4,1,False
57,9.8,43.0,1.46173646851361,0.6,0.0,39.0,53,36,True
58,3.0,44.0,0.0,3.0,0.0,40.0,6,13,False
59,6.0,45.0,0.0,3.0,0.0,41.0,80,99,False
60,3.0,47.0,0.0,3.0,0.0,43.0,94,98,False
61,2.0,48.0,1.48032468330511,0.75,0.0,44.0,19,22,False
62,3.0,49.0,0.9999656906901908,1.5,0.0,45.0,61,84,False
63,5.0,50.0,0.0,3.0,0.0,46.0,9,10,False
64,6.0,51.0,1.0,1.5,0.0,47.0,6,14,False
65,3.0,52.0,0.4394969869215129,1.5,0.0,48.0,11,11,True
