commit_id,nuc,aexp,nd,ns,age,asexp,la,ld,target
0,2.0,4,4,1,0.0,0.0,28,19,False
1,2.0,4,4,1,0.0,0.0,28,19,False
2,2.0,2,14,4,3.0,1.25,234,214,False
3,2.09090909090909,6,10,3,2.45454545454545,0.0054869684499314,67,48,False
4,2.09090909090909,6,10,3,2.45454545454545,0.0054869684499314,67,48,False
5,2.25,8,8,2,3.4285714285714306,0.05859375,382,654,False
6,0.0,9,1,1,0.0,5.0,469,0,False
7,2.0,0,1,1,5.0,0.0,6,5,False
8,2.0,0,1,1,5.0,0.0,6,5,False
9,1.47368421052632,10,6,1,0.842105263157895,6.0,146,441,False
10,1.0,11,3,1,0.363636363636364,7.0,399,997,False
11,2.4,14,5,2,10.4,0.07421875,63,13,False
12,2.28,15,8,1,11.16,10.0,120,110,False
13,2.0,0,1,1,20.0,0.0,106,55,False
14,2.0,0,1,1,20.0,0.0,30,0,False
15,2.0,1,1,1,20.0,1.0,11,0,False
16,2.0,2,1,1,20.0,2.0,22,1,False
17,2.0,0,2,1,21.0,0.0,4,4,False
18,3.0,4,1,1,0.0,3.0,2,2,False
19,1.6666666666666698,5,3,2,17.5,0.90625,210,147,False
20,2.5,6,2,2,19.0,0.9375,0,123,False
21,3.0,8,3,2,12.2,0.953125,0,272,False
22,2.0,9,4,1,21.0,7.0,28,57,False
23,2.5,10,2,1,19.5,8.0,92,9,False
24,2.0,11,1,1,21.0,9.0,0,30,False
25,2.0,12,1,1,22.0,10.0,0,1,False
26,1.84615384615385,13,11,1,16.076923076923098,11.0,315,172,False
27,3.0,14,3,1,5.5,12.0,101,10,False
28,2.5,15,1,1,11.0,13.0,196,43,False
29,3.0,16,1,1,11.0,14.0,0,48,False
30,2.3333333333333304,17,2,1,11.5,15.0,255,100,False
31,2.0,18,1,1,24.0,16.0,73,1,False
32,4.0,19,1,1,1.0,17.0,1,0,False
33,4.0,20,1,1,2.0,18.0,32,23,False
34,2.0,21,3,1,4.66666666666667,19.0,267,140,False
35,4.0,22,1,1,0.0,20.0,0,11,False
36,2.0,23,1,1,24.0,21.0,0,1,False
37,3.0,24,1,1,3.0,22.0,0,1,False
38,2.0,25,2,1,24.0,23.0,80,275,False
39,0.0,26,1,1,0.0,24.0,319,0,False
40,5.0,16,3,1,18.1428571428571,11.0,5,41,False
41,3.1,17,1,1,21.0,12.0,0,2012,False
42,5.0,18,2,1,10.5,13.0,0,3,False
43,2.0,20,1,1,25.0,15.0,550,89,False
44,2.42857142857143,21,2,1,14.2857142857143,16.0,85,18,False
45,2.44444444444444,33,5,1,16.1111111111111,26.0,23,22,False
46,2.0,0,1,1,26.0,0.0,13,9,False
47,2.0,34,4,1,26.0,27.0,14,59,False
48,2.45454545454545,22,2,1,20.5454545454545,17.0,173,17,False
49,2.54545454545455,37,7,1,11.5454545454545,29.0,526,96,False
50,1.8,38,6,2,8.8,0.95898436951029,452,125,False
51,4.142857142857141,39,7,2,1.0,0.958984369513928,115,116,False
52,3.0,2,1,1,2.0,1.0,107,26,False
53,3.25,40,4,1,8.16666666666667,32.0,381,79,False
54,3.28571428571429,41,5,1,4.142857142857141,33.0,1,160,False
55,3.4375,44,10,1,14.5625,35.0,490,303,False
56,6.0,5,1,1,9.0,4.0,3,3,False
57,5.0,46,4,1,0.5714285714285711,36.0,238,218,False
58,2.75,47,3,1,8.0,37.0,201,25,False
59,3.85714285714286,48,5,1,7.0,38.0,235,87,False
60,4.15384615384615,6,11,3,9.23076923076923,1.45816186556927,252,195,False
61,2.5,53,8,1,22.1,39.0,59,321,False
62,2.36363636363636,54,4,1,24.5454545454545,40.0,83,11,False
63,2.8333333333333304,56,6,1,12.5,41.0,390,99,False
64,3.5714285714285694,8,5,2,18.6428571428571,1.7578125,415,112,False
65,3.4285714285714306,1,3,2,9.571428571428571,1.0,310,220,False
66,2.55,57,4,1,16.05,42.0,865,339,False
67,3.0,58,1,1,1.0,43.0,1,1,False
68,4.0,59,1,1,1.0,44.0,1,1,False
69,2.0,24,1,1,38.0,18.0,6,6,False
70,5.0,61,1,1,3.0,46.0,4,4,False
71,5.0,62,1,1,3.0,47.0,8,1,False
72,1.0,63,1,1,3.0,48.0,2,1,False
73,0.0,64,1,1,0.0,49.0,444,0,False
74,5.0,26,1,1,13.0,20.0,27,6,False
75,3.0,65,1,1,17.0,50.0,2,1,False
76,0.0,66,2,1,0.0,51.0,590,0,False
77,1.33333333333333,67,2,1,26.0,52.0,105,31,False
78,0.0,68,1,1,0.0,53.0,192,0,False
79,3.5,69,5,1,24.8333333333333,54.0,24,165,False
80,0.0,70,1,1,0.0,55.0,86,0,False
81,9.0,29,1,1,15.0,22.0,0,2,False
82,0.666666666666667,30,1,1,13.666666666666698,23.0,989,52,False
83,1.57692307692308,31,10,2,5.3846153846153895,0.0741576529107988,271,411,True
84,2.36363636363636,10,4,2,31.5454545454545,1.845703125,204,262,False
85,4.0,11,1,1,0.0,6.0,6,0,False
86,2.46153846153846,12,4,2,28.61538461538461,1.846923828125,338,180,False
87,3.22222222222222,72,7,1,9.44444444444444,56.0,15,367,False
88,0.0,73,3,1,0.0,57.0,446,0,False
89,2.4166666666666696,77,9,2,27.1666666666667,0.9589843695165842,117,27,False
90,0.0,32,1,1,0.0,25.0,2,2,False
91,3.3333333333333304,78,2,1,0.0,60.0,180,8,False
92,4.0,1,1,1,25.5,0.0,99,10,False
