commit_id,nuc,arexp,nd,ns,age,la,ld,target
0,1.0,10.0,1,1,0.0,58,0,False
1,0.0,21.0,1,1,0.0,78,0,False
2,2.0,11.0,1,1,0.0,2,3,False
3,3.0,12.0,1,1,0.0,2,0,False
4,1.0,13.0,1,1,0.0,33,0,False
5,2.0,14.0,1,1,0.0,42,0,False
6,1.0,22.0,4,1,0.0,38,1,False
7,1.8333333333333304,15.0,3,1,0.0,96,17,False
8,3.5,16.0,2,1,0.0,21,3,False
9,1.0,23.0,1,1,0.0,4,0,False
10,1.33333333333333,24.0,3,1,0.0,49,9,False
11,1.5,25.0,2,1,0.0,10,0,False
12,3.0,18.0,1,1,0.0,10,0,False
13,2.5,19.0,2,1,0.0,2,2,False
14,3.5,20.0,2,1,0.0,2,2,False
15,3.5,21.0,1,1,0.0,5,3,False
16,5.0,22.0,1,1,0.0,15,0,False
17,5.0,23.0,1,1,0.0,23,0,False
18,2.75,27.0,3,2,0.0,61,7,False
19,3.0,28.0,1,1,0.0,27,36,False
20,3.4,29.0,4,2,0.0,78,54,False
21,1.8,30.0,3,1,0.0,182,0,False
22,3.0,31.0,1,1,0.0,22,0,False
23,5.66666666666667,24.0,2,1,0.0,57,14,False
24,7.0,25.0,1,1,0.0,31,5,False
25,8.0,26.0,1,1,0.0,71,0,False
26,6.0,27.0,3,1,0.0,70,4,False
27,9.0,28.0,1,1,0.0,0,4,False
28,2.2727272727272703,34.0,5,2,0.0,285,114,False
29,2.57142857142857,35.0,5,1,0.0,158,42,False
30,1.0,37.0,1,1,0.0,58,0,False
31,0.0,38.0,1,1,0.0,65,0,False
32,3.5,41.0,3,1,0.0,90,0,False
33,4.25,42.0,3,1,0.0,87,0,False
34,4.0,29.0,1,1,1.0,77,34,False
35,4.42857142857143,43.0,6,3,0.5714285714285711,67,3,False
36,11.0,30.0,1,1,0.5,48,0,False
37,4.142857142857141,47.0,4,2,0.142857142857143,243,29,False
38,1.0,49.0,1,1,1.0,9,0,False
39,3.0,50.0,1,1,1.0,9,0,False
40,2.75,51.0,2,1,0.75,35,23,False
41,1.6666666666666698,31.0,1,1,1.0,15,15,False
42,7.25,52.0,3,1,0.25,95,16,False
43,7.0,54.0,2,1,0.666666666666667,47,13,False
44,13.0,32.0,1,1,5.0,33,0,False
45,0.0,55.0,1,1,0.0,64,0,False
46,9.0,56.0,3,2,2.5,88,44,False
47,9.33333333333333,58.0,3,2,0.0,33,4,False
48,13.0,33.0,1,1,2.5,47,3,False
49,16.0,34.0,1,1,0.0,0,4,False
50,5.0,60.0,3,1,1.6666666666666698,87,29,False
51,5.0,62.0,5,3,1.5,56,26,False
52,5.75,63.0,4,3,1.75,20,7,False
53,17.5,66.0,2,1,0.0,19,3,False
54,10.8,67.0,3,2,0.0,117,6,False
55,4.36363636363636,68.0,7,3,4.18181818181818,596,8,False
56,6.22222222222222,69.0,4,3,0.8888888888888891,341,45,False
57,4.31818181818182,71.0,7,2,5.5,468,78,False
58,8.5,74.0,3,1,1.25,64,37,False
59,10.0,35.0,2,2,2.0,43,3,False
60,8.5,76.0,3,2,1.0,30,6,False
61,21.0,77.0,3,3,0.0,11,15,False
62,10.25,36.0,2,1,6.5,65,0,False
63,10.5,38.0,3,1,0.0,155,10,False
64,9.5,40.0,2,2,0.0,21,8,False
65,6.75,41.0,3,1,2.75,25,18,False
66,10.3333333333333,83.0,2,1,2.0,7,2,False
67,7.571428571428571,84.0,4,3,0.285714285714286,60,24,False
68,5.0,85.0,1,1,0.0,0,4,False
69,10.833333333333302,86.0,4,2,2.5,113,7,False
70,6.0,87.0,1,1,0.0,11,4,False
