commit_id,nuc,aexp,nd,ns,age,la,ld,target
0,0.0,3,2,1,0.0,355,0,False
1,0.0,5,11,1,0.0,7550,0,True
2,0.0,0,9,1,0.0,7452,0,False
3,0.737704918032787,8,13,2,16.4098360655738,2776,2213,True
4,1.77777777777778,9,3,2,11.444444444444402,0,1374,False
5,1.88888888888889,10,4,2,11.333333333333302,287,53,False
6,1.0,12,1,1,29.0,13,14,False
7,0.666666666666667,13,3,3,12.666666666666698,28,39,False
8,1.0,14,1,1,31.0,2,13,False
9,0.7272727272727271,0,7,2,15.3636363636364,154,70,False
10,2.0,1,3,2,8.8,19,32,False
11,1.85714285714286,0,5,2,12.4285714285714,277,174,False
12,1.77777777777778,1,7,5,1.22222222222222,325,0,False
13,2.42857142857143,2,4,2,5.0,58,25,False
14,1.5,3,4,2,5.35714285714286,230,99,False
15,3.25,4,4,2,0.75,20,14,False
16,3.3333333333333304,2,2,2,1.6666666666666698,28,9,False
17,4.25,0,4,2,6.5,75,37,False
18,1.47058823529412,0,6,2,25.2352941176471,1143,204,True
19,6.5,4,2,2,6.0,2,149,False
20,9.0,5,2,2,3.0,4,2,False
21,4.75,6,3,2,13.75,87,0,False
22,2.44444444444444,1,3,2,28.6666666666667,1374,91,False
23,3.5,2,3,2,25.3333333333333,246,6,True
24,11.5,5,2,2,8.5,9,3,False
25,10.5,6,2,2,26.0,13,5,False
26,9.33333333333333,2,2,2,14.0,114,5,False
27,8.0,8,4,2,11.0,14,0,False
28,8.5,7,2,2,5.5,70,30,False
29,14.5,8,2,2,11.5,5,9,False
30,5.3,14,5,2,16.1,337,162,True
31,8.5,15,3,2,0.25,12,5,False
32,5.72727272727273,5,2,2,30.0,294,295,False
33,9.25,6,2,2,17.75,33,30,False
34,10.25,8,2,2,0.0,30,33,False
35,11.0,10,2,2,0.0,33,30,False
36,22.0,11,2,2,13.5,8,0,True
37,21.5,12,2,2,22.5,93,83,True
38,3.7333333333333294,16,4,2,4.73333333333333,57,46,True
39,18.6666666666667,17,3,2,1.33333333333333,6,4,False
40,15.25,13,2,2,1.5,76,80,False
41,18.6666666666667,18,2,2,0.0,194,27,False
42,17.3333333333333,3,3,2,1.33333333333333,63,0,False
43,4.13333333333333,0,11,5,4.31111111111111,1261,749,False
44,19.6666666666667,20,3,2,0.666666666666667,125,76,False
45,10.2857142857143,21,3,2,18.1428571428571,47,35,True
46,18.25,14,2,2,1.5,30,12,False
47,11.2,22,2,2,0.8,130,141,False
48,7.0,24,4,2,7.9,536,10,True
49,11.4,25,4,2,28.2,206,10,False
50,5.33333333333333,1,12,5,4.13888888888889,1478,285,False
51,6.0,2,4,2,9.38461538461539,1031,250,False
52,10.5,28,5,2,3.5,720,64,True
53,25.3333333333333,3,2,2,0.666666666666667,39,19,False
54,19.5,4,2,2,0.0,229,1,False
55,9.4,29,4,2,27.2,589,30,True
56,33.0,4,2,2,7.0,3,0,False
57,9.5,30,4,2,3.75,158,71,True
58,34.5,31,2,2,0.0,56,8,False
59,5.25,16,4,1,5.75,954,73,False
60,7.43478260869565,5,6,3,0.91304347826087,798,104,False
61,9.2,17,4,2,9.26666666666667,663,163,False
62,16.7142857142857,2,4,3,16.428571428571402,16,3,False
63,45.0,6,2,2,2.0,25,17,False
64,6.8125,7,7,2,15.625,354,55,False
65,16.428571428571402,33,5,2,2.57142857142857,292,26,True
66,37.5,8,2,2,48.5,5,1,False
67,38.5,9,2,2,0.0,5,1,False
68,39.5,10,2,2,0.0,1,5,False
69,39.0,34,2,2,2.0,54,9,False
70,12.2222222222222,36,5,2,16.4444444444444,80,43,True
71,8.46153846153846,11,2,2,5.153846153846152,607,225,False
72,18.4,3,4,2,12.0,10,206,False
73,30.3333333333333,4,3,2,0.0,33,14,True
74,9.64285714285714,18,10,4,2.46428571428571,440,288,False
75,13.3076923076923,19,4,2,15.1538461538462,123,64,False
76,13.444444444444402,37,4,2,18.6666666666667,618,4,True
77,25.75,12,2,2,26.75,280,35,False
78,11.7857142857143,13,6,3,3.4285714285714306,918,45,False
79,32.6666666666667,20,3,2,38.6666666666667,55,13,False
80,34.0,22,3,2,0.0,93,41,False
81,12.7,14,3,2,6.4,321,188,False
82,33.5,23,3,2,3.5,14,9,False
83,39.0,15,2,2,0.666666666666667,45,20,False
84,49.0,16,2,2,0.0,273,0,False
85,19.9090909090909,24,5,4,1.54545454545455,638,71,False
86,7.1153846153846105,25,7,2,12.5,421,158,False
87,26.0,1,4,2,83.5,6,3,False
88,28.75,2,3,2,56.75,15,10,False
89,20.5,1,5,3,8.2,89,6,False
90,36.3333333333333,2,3,2,23.3333333333333,7,4,False
91,9.875,2,4,2,51.125,387,156,True
92,19.3333333333333,4,3,2,15.833333333333302,767,47,True
93,11.9642857142857,42,10,4,0.857142857142857,893,88,False
94,12.0,43,2,2,4.769230769230768,162,66,False
95,39.0,45,3,2,33.0,55,11,False
96,49.6666666666667,5,3,2,2.0,23,11,False
97,66.5,26,2,2,2.5,7,2,False
98,27.6666666666667,5,2,2,2.0,23,11,True
99,58.5,27,2,2,3.0,14,10,False
100,59.0,28,2,2,9.0,10,7,False
101,24.11111111111111,29,4,3,0.666666666666667,54,30,False
102,65.0,46,2,2,2.5,8,6,False
103,31.2,30,3,2,4.0,228,72,False
104,24.625,17,5,2,15.375,387,144,False
105,14.7692307692308,5,3,2,24.61538461538461,891,613,False
106,24.11111111111111,47,4,2,4.33333333333333,174,15,True
107,27.6666666666667,17,2,2,39.6666666666667,238,0,True
108,74.0,31,2,2,0.5,3,1,False
109,11.0344827586207,49,9,2,1.20689655172414,1800,696,False
110,19.875,50,3,2,8.375,276,5,False
111,31.5,18,4,2,0.0,200,2,False
112,18.7142857142857,7,4,2,0.0,484,1,False
113,36.2,51,3,2,2.2,156,6,False
114,14.5714285714286,7,2,2,0.0,467,202,True
115,34.0,6,2,2,2.6,4,4,False
116,49.0,33,3,2,2.25,45,24,False
117,72.0,9,2,2,0.0,2,1,False
118,8.107142857142861,23,12,4,52.28571428571429,4,6596,False
119,77.0,19,2,2,4.5,9,2,False
120,44.0,21,4,3,2.0,14,4,False
121,16.4736842105263,24,5,2,11.7368421052632,763,456,False
122,37.6666666666667,38,2,2,11.833333333333302,23,20,False
123,14.8888888888889,40,5,2,22.2222222222222,469,153,False
124,57.3333333333333,41,2,2,0.0,156,46,False
125,22.7692307692308,42,5,2,22.6923076923077,370,72,False
126,30.75,44,4,2,0.25,32,130,False
127,78.0,52,2,2,24.0,15,5,False
128,22.0,25,3,2,20.4444444444444,228,127,False
129,20.6666666666667,46,5,2,11.1333333333333,359,167,False
130,21.1333333333333,26,3,2,5.06666666666667,385,177,False
131,22.1333333333333,27,3,2,0.0,177,385,False
132,13.4615384615385,29,2,1,0.0,383,177,False
133,45.5,53,4,2,0.666666666666667,116,48,False
134,101.0,30,2,2,0.0,2,2,False
135,32.4,54,3,2,0.0,446,0,False
136,84.0,31,2,2,0.5,6,0,False
137,91.0,32,2,2,0.5,3,1,False
138,8.35789473684211,34,11,2,10.7578947368421,7317,1820,True
139,31.875,47,4,2,20.875,6,222,False
140,8.23809523809524,7,8,2,0.4761904761904761,4766,0,False
141,46.8,48,2,2,4.6,22,26,False
142,96.0,35,2,2,7.5,17,9,False
143,89.0,49,2,2,54.5,7,0,True
144,14.3,2,9,6,20.1,424,12,True
145,70.6666666666667,57,2,2,2.6666666666666696,55,14,False
146,24.0,50,2,2,8.25,104,27,False
147,92.0,58,2,2,6.5,8,5,False
148,90.5,1,2,2,0.0,41,0,False
149,39.2,59,3,2,37.2,192,20,False
150,39.3333333333333,60,4,2,17.8333333333333,106,9,False
151,48.0,8,2,2,11.5,35,7,False
152,34.5,38,3,2,9.0,161,118,False
153,37.0,61,4,2,4.5,177,10,True
154,119.5,63,2,2,0.5,8,0,True
155,108.5,39,2,2,0.5,18,5,False
156,54.5,64,3,3,2.25,4,0,False
157,27.26666666666669,14,6,2,11.333333333333302,855,59,True
158,41.6,4,5,2,15.6,660,272,False
159,124.0,40,2,2,2.0,13,4,False
160,46.4,65,3,2,3.2,131,7,True
161,70.6666666666667,15,3,2,18.0,144,1,True
162,103.0,42,2,2,0.0,117,0,False
163,127.5,66,2,2,2.0,11,4,False
164,26.6875,43,6,2,12.375,791,19,True
165,22.533333333333307,44,5,3,19.2,49,34,True
166,7.78947368421053,15,5,2,16.2105263157895,2381,253,True
167,32.125,7,3,2,4.5,678,13,True
168,37.875,17,3,2,6.125,380,14,True
169,109.0,18,2,2,5.0,3,1,False
170,110.0,10,2,2,7.5,110,58,True
171,56.5,12,3,2,13.5,86,227,False
172,53.0,13,4,2,5.8,315,18,False
173,85.6666666666667,19,3,2,7.66666666666667,85,4,False
174,113.0,14,2,2,21.0,5,2,False
175,2.0,14,1,1,7.0,6,6,False
176,114.5,15,2,2,7.0,7,7,False
177,116.0,16,2,2,23.0,14,13,False
178,59.75,17,3,2,26.25,39,23,False
179,16.571428571428598,3,9,2,45.1428571428571,936,95,True
180,118.5,16,2,2,12.5,4,1,False
181,45.22222222222221,0,4,2,21.111111111111104,177,10,False
182,41.1666666666667,0,2,2,45.0,88,0,False
183,53.8,24,4,3,12.4,237,1,True
184,95.0,21,3,2,25.3333333333333,43,20,False
185,35.9,53,2,2,43.8,58,38,True
186,59.3333333333333,45,4,2,20.6666666666667,163,99,True
187,11.0,46,1,1,0.0,2,2,False
188,128.0,67,2,2,18.0,34,14,False
189,153.0,30,2,2,0.5,5,0,False
190,104.0,54,3,2,3.3333333333333304,148,1,True
191,130.0,68,2,2,0.0,4,0,False
192,129.0,1,2,2,1.5,4,1,False
193,34.7,55,5,2,42.6,225,94,True
194,52.1428571428571,47,4,2,7.28571428571429,290,176,True
195,23.285714285714302,11,3,2,75.1428571428571,567,415,True
196,54.2,33,3,2,17.0,72,56,False
197,137.0,22,2,2,18.0,22,17,False
198,38.75,0,5,2,55.75,302,17,True
199,50.4444444444444,1,4,2,16.8888888888889,10,177,False
200,145.0,48,2,2,3.0,41,38,False
201,31.0909090909091,49,4,2,28.4545454545455,488,86,True
202,111.0,70,2,2,5.0,17,15,True
203,33.0,0,1,1,43.0,7,5,False
204,94.0,17,2,2,39.6666666666667,75,1,True
205,137.5,19,2,2,14.5,11,2,False
206,72.6,20,2,2,14.6,269,1,True
207,139.5,71,2,2,13.5,6,1,False
208,112.666666666667,4,2,2,36.0,68,24,False
209,48.1428571428571,13,3,2,43.71428571428571,207,8,False
210,47.28571428571429,57,6,2,13.142857142857098,155,20,True
211,112.0,51,3,2,37.0,29,127,False
212,142.0,23,2,2,51.5,19,2,False
213,78.0,52,3,2,69.0,17,4,False
214,110.333333333333,54,2,2,47.0,26,2,False
