commit_id,nuc,aexp,ndev,nd,age,asexp,la,ld,target
0,1.0,0,1.0,1,3.0,0.0,1,1,False
1,1.8666666666666696,3,0.0666666666666667,2,7.4,0.875,2557,1276,True
2,2.05405405405405,4,0.0540540540540541,3,9.891891891891891,0.506172839506173,3700,1264,True
3,3.36363636363636,5,0.0909090909090909,1,6.18181818181818,5.0,457,273,False
4,2.92,0,0.08,1,6.28,0.0,1568,1270,True
5,3.4,2,0.4,2,7.2,0.75,32,17,False
6,4.5,3,1.0,2,1.5,1.0,13,5,False
7,4.0,6,1.0,1,27.0,6.0,1,1,False
8,5.75,4,0.5,2,3.0,1.125,76,74,False
9,6.66666666666667,5,0.666666666666667,2,0.0,1.1875,455,340,False
10,2.85714285714286,6,0.285714285714286,2,2.28571428571429,1.21875,469,133,False
11,6.0625,7,0.125,2,5.125,1.234375,181,139,True
12,7.4,8,0.4,2,0.2,1.2421875,180,78,False
13,5.5,11,0.5,3,1.75,0.555521685379939,56,21,False
14,6.81818181818182,14,0.181818181818182,2,3.7272727272727297,1.24774169921875,760,123,True
15,0.0,15,0.0,1,0.0,11.0,83,42,False
16,5.25,16,0.125,3,6.20833333333333,0.555528329323853,1437,984,True
17,9.25,17,0.5,3,0.0,0.555528352554426,60,81,False
18,14.0,19,1.0,2,0.0,1.24784469604492,11,6,False
19,4.0,20,0.4,3,15.2,0.555526470591205,700,418,True
20,15.0,21,1.0,2,0.5,1.24784755706787,29,18,False
21,1.5,22,0.0833333333333333,4,0.0833333333333333,0.5555264708461359,1999,0,False
22,5.1875,23,0.125,4,4.125,0.3541664690698379,376,134,True
23,6.71428571428571,24,0.285714285714286,2,8.571428571428571,1.2478483915329,422,55,False
24,6.73529411764706,7,0.0882352941176471,2,12.5,0.9921875,830,871,True
25,0.0,8,0.0,1,0.0,8.0,200,0,True
26,1.25,9,0.125,3,5.875,9.0,0,8,False
27,4.5,10,0.25,3,8.125,1.4990234375,141,86,True
28,13.625,25,0.25,3,7.125,0.5555283637418771,170,49,False
29,17.0,0,0.666666666666667,2,3.3333333333333304,0.0,5,5,False
