commit_id,nuc,arexp,nd,ns,age,la,ld,target
0,1.0,0.0,1,1,0.0,14,0,False
1,0.4761904761904761,2.0,4,3,0.0,1100,527,True
2,2.0,4.0,4,2,0.5,20,12,False
3,1.09090909090909,7.0,7,4,0.818181818181818,3,384,False
4,1.07142857142857,10.0,2,1,0.9285714285714292,0,53,False
5,2.0,11.0,1,1,0.0,1,1,False
6,0.222222222222222,1.0,8,2,0.444444444444444,288,193,False
7,0.6363636363636359,2.0,6,3,0.818181818181818,185,125,False
8,2.0,12.0,3,2,1.13333333333333,78,13,False
9,2.46428571428571,0.0,20,2,1.85714285714286,332,947,True
10,1.68421052631579,0.0,8,2,2.47368421052632,209,449,False
11,0.0,1.0,1,1,0.0,272,0,False
12,0.5714285714285711,6.0,4,2,1.28571428571429,54,21,False
13,1.31578947368421,0.0,7,2,2.6578947368421098,1210,1810,False
14,0.0,1.0,1,1,0.0,84,0,False
15,0.6,8.0,3,1,0.0,20,210,False
16,1.31818181818182,2.0,7,1,1.3636363636363602,93,93,False
17,1.85714285714286,9.0,4,2,0.5714285714285711,58,364,False
18,1.0,10.0,1,1,0.0,4,7,False
19,0.142857142857143,11.0,3,1,0.0714285714285714,32,848,False
20,5.0,1.0,1,1,0.0,19,15,False
21,2.6666666666666696,2.0,2,2,0.0,9,13,False
22,4.0,3.0,2,1,0.0,16,11,False
23,1.2,12.0,1,1,0.2,61,149,False
24,1.16666666666667,0.0,5,1,2.8333333333333304,33,9,False
25,2.0,1.0,1,1,0.0,1,3,False
26,0.333333333333333,14.0,3,2,1.0,47,134,False
27,4.0,2.0,1,1,0.0,2,1,False
28,6.0,3.0,1,1,0.0,37,28,False
29,0.833333333333333,15.0,4,2,1.0,96,119,False
30,2.0,0.0,1,1,0.0,4,4,False
31,3.25,18.0,4,2,0.5,36,4,False
32,1.43478260869565,19.0,9,2,1.69565217391304,244,187,True
33,1.6666666666666698,7.0,3,1,0.166666666666667,14,13,False
34,4.0,6.0,1,1,0.0,3,0,False
35,0.333333333333333,4.0,2,1,0.666666666666667,8,16,False
36,2.06666666666667,4.0,10,2,0.422222222222222,169,1738,False
37,1.65384615384615,3.0,2,2,2.38461538461538,294,2549,False
38,0.197674418604651,20.0,33,2,0.174418604651163,330,2043,False
39,3.3333333333333304,5.0,1,1,0.0,6,34,False
40,1.8,9.0,2,1,0.8,65,34,False
41,0.0,23.0,1,1,0.0,3,3,False
42,0.0,24.0,3,1,0.0,210,465,False
43,1.0,5.0,1,1,5.0,51,15,False
44,0.4,12.0,9,2,0.325,250,705,False
45,2.0,6.0,2,2,4.5,22,6,False
46,1.375,13.0,4,1,0.5,18,504,False
47,6.0,14.0,1,1,0.0,23,0,False
48,1.6666666666666698,16.0,2,1,1.33333333333333,1,437,False
49,3.0,9.0,1,1,1.0,0,1,False
50,1.06666666666667,17.0,10,2,0.133333333333333,27,389,False
51,0.0,18.0,2,1,0.0,29,170,False
52,0.35,19.0,10,1,0.0,57,166,False
53,0.0,27.0,1,1,0.0,40,64,False
54,2.42857142857143,5.0,1,1,0.0,22,154,False
55,4.0,8.0,1,1,0.0,1,2,False
56,1.0,9.0,1,1,5.0,4,12,False
57,3.0,28.0,2,1,3.0,56,28,False
58,6.0,30.0,2,1,1.0,34,32,False
59,2.0,12.0,4,1,2.0,13,4,False
60,6.0,31.0,2,1,0.5,25,16,False
61,0.333333333333333,20.0,2,1,1.6666666666666698,3,17,False
62,3.3333333333333304,16.0,3,1,0.333333333333333,5,9,False
63,2.51851851851852,7.0,1,1,1.22222222222222,1644,2896,True
64,2.57142857142857,13.0,1,1,2.14285714285714,15,77,False
65,2.96296296296296,11.0,9,2,2.59259259259259,102,87,False
66,0.333333333333333,22.0,2,1,0.0,44,65,False
67,6.0,32.0,1,1,0.0,40,17,False
68,2.0,18.0,1,1,4.0,4,0,False
69,3.81481481481481,12.0,9,2,0.481481481481481,133,132,False
70,7.0,35.0,1,1,0.0,74,304,False
