commit_id,ent,aexp,ndev,ns,age,asexp,la,ld,target
0,2.50196221329662,0,0.333333333333333,4,140.888888888889,0.0,8,425,False
1,3.5682386374510098,0,0.52,3,3.44,0.0,1761,4,True
2,2.4244603290926903,3,0.166666666666667,1,2.0,2.0,90,43,False
3,2.6937400547328902,4,1.25,2,1.625,1.4375,25,25,False
4,0.0,5,1.0,1,2.0,3.0,2,5,False
5,1.5494202231687502,7,0.2,1,2.2,5.0,83,3,False
6,1.30644248476978,399,0.333333333333333,1,4.0,150.0,47,25,False
7,3.50183586341219,438,0.133333333333333,2,18.9333333333333,9.94992599160441e-35,105,63,False
8,0.591672778582327,569,2.0,1,43.5,229.0,5,2,False
9,2.64517910631538,650,0.5714285714285711,3,44.3571428571429,1.2220608900434289e-54,90,24,False
10,0.970950594454669,705,1.5,1,51.5,274.0,25,0,False
11,0.0,104,2.0,1,13.0,47.0,2,0,False
12,0.0,53,3.0,1,2.0,37.0,9,7,True
13,0.6193821946787641,1,6.5,1,7.5,1.0,12,1,False
14,1.53673448692421,41,3.0,2,1.25,0.0341818376518859,190,1,False
15,1.08184446446765,42,0.333333333333333,1,0.0,8.0,79,3,False
16,0.0,43,0.0,1,0.0,9.0,0,27,False
17,0.0,44,1.0,1,0.0,10.0,3,4,False
18,0.0868905182727847,45,0.5,1,0.5,11.0,173,10,False
19,0.0,46,1.0,1,0.0,12.0,63,6,True
20,0.689201985117366,47,0.5,1,0.0,13.0,72,4,False
21,1.7521809702992202,738,3.75,1,28.25,276.0,79,13,False
22,1.7521809702992202,738,3.75,1,28.25,276.0,79,13,False
23,0.7871265862012691,740,3.0,1,0.0,278.0,15,2,False
24,2.06628704702797,48,0.2,1,0.8,14.0,359,100,False
25,0.650022421648354,743,4.5,1,1.0,280.0,19,5,False
26,0.970950594454669,6,3.0,1,12.5,5.0,20,0,True
27,1.76665964486247,53,0.2,1,2.0,18.0,617,32,True
28,1.37878349348618,55,0.333333333333333,1,0.0,20.0,3,4,False
29,0.890491640219491,57,0.5,1,0.0,22.0,16,10,False
30,1.96536317556494,58,0.2,1,0.4,23.0,78,78,True
31,1.12792195819582,59,0.333333333333333,1,0.0,24.0,130,10,True
32,0.616166193400536,60,0.5,2,0.0,4.12319422962021e-09,57,2,False
33,0.99699542655577,67,0.5,1,1.5,32.0,61,1,False
34,0.70246655129039,68,0.5,1,1.0,33.0,12,9,False
35,0.8321842672305308,71,0.5,1,1.0,35.0,106,4,False
36,1.13509353224791,72,0.333333333333333,1,4.33333333333333,36.0,93,3,False
37,1.58496250072116,74,0.333333333333333,1,0.0,38.0,0,3,False
38,1.42369119835861,77,3.75,3,0.75,0.0041829675809852,226,83,False
39,0.200622324312715,79,0.0,1,0.0,5.0,63,1,False
40,2.71527039688004,148,0.5714285714285711,1,10.4285714285714,71.0,24,6,False
41,3.5073106171516204,92,1.125,2,12.5,0.7315985634866309,133,51,True
42,4.15225989060875,24,0.647058823529412,6,29.8823529411765,0.19997797115531,248,251,True
43,1.78124465981075,154,2.0,2,73.0,0.98815656092944,18,5,False
44,1.29303505886076,157,2.0,1,1.0,75.0,129,172,True
45,1.40506909225623,99,2.3333333333333304,1,3.3333333333333304,52.0,51,4,False
46,2.68655951992575,65,1.6,1,14.7,57.0,78,24,False
47,1.11552009358193,98,2.6666666666666696,2,11.0,0.8760996056857951,82,2,False
48,0.426228656998145,103,1.0,1,2.5,44.0,44,2,False
49,0.312733376396643,104,1.0,1,0.0,45.0,54,17,False
50,0.0,106,2.0,1,0.0,47.0,2,2,False
51,0.967294778946894,108,3.0,1,8.0,54.0,7,26,False
52,0.9859690274511932,108,1.0,1,13.0,48.0,77,2,False
53,2.89900655534923,167,0.5,1,13.166666666666698,79.0,693,452,True
54,2.83762556048968,170,0.7777777777777779,2,3.55555555555556,8.2274789292443e-07,231,189,False
55,2.13054250365621,109,0.5,1,2.8333333333333304,49.0,21,11,True
56,0.8932629209154721,110,1.5,1,0.0,50.0,122,7,False
57,3.4761248213127898,175,0.444444444444444,1,5.77777777777778,86.0,208,97,True
58,2.61060366806093,178,1.0,3,7.888888888888887,1.32599945432946e-10,36,35,False
59,1.0,112,1.5,1,1.0,52.0,2,0,False
60,3.19237262569368,2,1.5,3,12.2857142857143,0.444444444444444,795,56,False
61,1.03986615288358,195,1.8,2,12.8,8.2274789292443e-07,232,26,False
62,1.15955475237873,17,5.66666666666667,1,18.0,10.0,31,3,False
63,0.0,16,1.0,1,2.0,9.0,5,3,False
64,0.073603483085624,17,3.0,1,10.5,10.0,112,0,False
65,0.0,18,1.0,1,0.0,11.0,4,1,False
66,1.8836636299749496,15,1.6,2,15.8,0.824920654296875,44,25,False
67,0.4055589397141699,3,5.33333333333333,1,18.0,3.0,37,37,False
68,1.49142934485635,51,3.0,1,17.6666666666667,40.0,52,0,False
69,2.46498823594406,135,0.875,1,60.125,76.0,85,118,False
70,0.836640741941167,19,4.5,1,29.0,14.0,13,2,False
71,0.954434002924965,22,3.0,1,0.0,17.0,13,3,False
72,2.79798664284235,162,1.9,1,17.1,86.0,129,112,True
73,0.79050138421537,53,4.5,1,3.0,42.0,37,22,False
74,1.5240869711223,58,0.75,1,18.5,46.0,58,45,False
75,0.91829583405449,59,1.5,1,0.0,47.0,6,3,False
76,0.0,155,9.0,1,0.0,44.0,0,1,False
77,0.4138168503036339,1,7.5,2,35.5,0.5,24,0,False
78,0.999609836367807,2,5.5,1,62.5,2.0,19,24,False
79,1.4382467639676202,1102,2.25,1,15.25,22.0,23,38,False
80,0.9503343840316568,120,4.33333333333333,1,5.0,60.0,33,10,False
81,0.0,1,1.0,1,2.0,1.0,47,47,False
82,0.0,2,1.0,1,1.0,2.0,1,10,False
83,0.0,3,1.0,1,0.0,3.0,2,6,False
84,0.836640741941167,107,1.0,1,0.0,14.0,13,2,False
85,3.78674212622782,108,1.81818181818182,3,3.63636363636364,1.4659640092928303e-14,626,170,True
86,1.6511972890008,110,0.75,2,1.0,1.09139364212751e-10,6,15,False
87,1.17830434838867,111,1.33333333333333,2,1.0,1.09139364212751e-10,20,9,False
88,0.0,1233,1.0,1,2.0,17.0,8,9,False
89,2.4400385127973,123,2.0,3,20.0,0.387449162613938,109,37,False
90,2.67475807911798,2,0.625,1,0.75,0.0,713,176,True
91,1.34940789481652,41,6.25,1,11.5,6.0,14,17,False
92,2.80190794984707,3,0.444444444444444,1,2.1111111111111103,1.0,84,282,False
93,2.9045640070263,120,0.7,1,10.4,24.0,347,228,True
94,1.83659166810898,3,0.75,1,1.25,3.0,5,4,False
95,1.40511588716318,25,0.333333333333333,1,1.6666666666666698,0.0,296,54,False
96,3.63244165446523,256,0.4285714285714289,1,8.33333333333333,132.0,255,56,True
97,3.837065869433,60,1.95652173913043,5,11.6521739130435,0.4996163633217539,109,80,True
98,4.21052099414709,1,0.1764705882352939,4,17.4313725490196,0.0,120,108,True
99,0.91829583405449,32,1.0,1,15.5,4.0,12,12,False
100,3.39446416696571,29,2.47368421052632,3,114.210526315789,1.69428631991609e-05,250,110,True
101,4.65364806335545,25,0.27906976744186,2,13.046511627907,0.999358475208282,423,385,True
102,0.0,17,2.0,1,33.0,7.0,14,0,False
103,1.37095059445467,32,2.6666666666666696,1,2.3333333333333304,26.0,5,5,False
104,2.4381157639277,35,1.42857142857143,1,0.0,29.0,13,15,True
105,3.23245094290937,216,0.545454545454545,2,21.6363636363636,0.988157383677333,529,33,True
106,2.83344905870746,135,0.125,1,10.625,73.0,4,32,False
107,2.3306295825086902,217,0.625,2,3.0,0.988157383677333,424,179,False
108,0.0,219,1.0,1,0.0,76.0,0,2,False
109,1.3724876138235802,220,1.8,2,1.6,0.988157383677333,169,33,False
110,0.0,222,4.0,1,0.0,101.0,1,1,False
111,2.8418867117564,374,1.44444444444444,2,6.44444444444444,0.8760996056857951,123,1,False
112,3.52622713245899,58,2.4,5,13.6,0.24999997883187,33,135,True
113,0.970950594454669,23,3.0,1,19.0,13.0,5,5,False
114,2.32524924003182,0,8.0,3,32.4285714285714,0.0,42,31,False
115,0.94566030460064,1,1.0,1,0.0,1.0,4,7,False
116,1.14883485428092,2,0.666666666666667,1,0.0,2.0,2,5,False
117,2.4823400716740887,228,2.4,2,34.6,0.988157383677333,159,117,True
118,1.6804922272881002,129,2.4,2,14.4,0.9999997613413292,39,9,False
119,1.42975380566706,130,4.33333333333333,2,0.666666666666667,0.9999997613413292,22,12,True
120,0.0,83,5.0,1,62.0,2.0,16,11,False
121,0.0,7,6.0,1,0.0,0.0,12,8,False
122,1.11984023878458,7,1.0,1,20.0,7.0,24,13,False
123,1.5636254885377905,1495,2.25,1,4.75,28.0,14,10,True
124,0.0,14,6.0,1,11.0,11.0,32,0,False
125,3.99635547897865,0,0.35,2,24.6,0.0,203,121,False
126,3.50802244913791,271,0.4,2,1.6,2.35213664534661e-38,67,76,False
127,3.28632606083017,2,0.3,1,1.0,1.0,2,33,False
128,4.32308111635152,273,0.2571428571428569,2,2.71428571428571,2.35213664534661e-38,383,646,True
129,3.94709185363931,510,0.4761904761904761,2,1.23809523809524,4.12319423102924e-09,80,34,False
130,0.0,34,8.0,1,9.0,2.0,1,8,False
131,3.42192809488736,540,1.33333333333333,4,12.0,0.328125968576387,2,18,False
132,1.83892059503159,310,2.0,1,2.0,155.0,11,4,True
133,4.08746284125034,312,0.588235294117647,1,9.29411764705882,21.0,17,0,False
134,1.51463312063548,157,2.75,2,12.0,0.7313544191363409,22,5,False
135,3.38210138959669,616,0.0,1,0.0,0.0,984,0,True
136,1.50920905932906,7,3.6666666666666696,1,54.6666666666667,2.0,52,21,False
137,3.09486412329215,1,0.0,1,0.0,1.0,56,92,True
138,2.56238541715634,10,3.2,6,16.3333333333333,0.166666732819353,154,88,True
139,3.871457162606,131,1.38461538461538,10,17.711538461538503,0.2323113231111,1946,551,True
140,2.11127789202784,134,4.6,2,2.6,1.4761570654967e-07,75,0,False
141,1.37095059445467,0,1.33333333333333,1,8.0,0.0,5,5,False
142,3.72122242362836,10,3.25,4,28.95,0.250020027160645,930,397,True
143,4.45566778215575,12,0.4,3,49.325,0.333566661209805,926,591,True
144,2.40162110331629,2,5.16666666666667,1,5.16666666666667,0.0,313,3,True
145,1.70181822559673,0,8.0,1,8.0,0.0,35,1,False
146,4.08325843102641,38,2.0416666666666696,7,37.7916666666667,0.143275052616503,252,153,True
147,5.64516932115284,648,0.7738095238095241,5,25.1666666666667,0.2496154879999469,614,130,True
148,1.86445733527803,4,6.5,1,3.8333333333333295,1.0,90,19,True
149,5.49688845514293,20,1.93877551020408,10,10.5102040816327,0.2011111115454239,58,5,True
150,3.77230304279078,1555,3.56,4,24.2,8.167737249116941e-61,296,284,True
151,3.17823242837383,54,4.36363636363636,3,8.18181818181818,0.4998475144822039,29,19,False
152,2.6798402271980404,69,2.0,7,19.5238095238095,0.452380952380712,185,116,True
153,2.19421795621934,323,0.9,2,18.1,8.2274789292443e-07,476,35,False
154,0.9790981671667148,6,10.0,1,4.0,5.0,45,8,False
155,2.72192809488736,1,1.85714285714286,2,22.0,0.5,2,8,False
156,1.45139715094797,324,3.6,3,22.2,1.32599945432946e-10,360,146,False
157,4.00577582513692,26,0.4871794871794871,4,16.7948717948718,0.250264754824487,390,329,True
