commit_id,nuc,arexp,ent,ndev,ns,age,asexp,la,ld,target
0,1.0,2.0,0.0,1.0,1,3.0,2.0,3,3,False
1,1.0,0.0,0.0,1.0,1,4.0,0.0,728,706,False
2,0.0,1.0,0.0,0.0,1,0.0,1.0,83,0,True
3,0.0,3.0,2.9538223172809,0.0,1,0.0,3.0,1914,0,True
4,1.33333333333333,4.0,1.58496250072116,0.333333333333333,1,4.0,4.0,3,3,False
5,0.0,2.0,0.0,0.0,1,0.0,2.0,2,3,False
6,1.0,5.0,0.0,1.0,1,9.0,5.0,1,1,False
7,1.0,4.0,0.5435644431995961,0.5,1,9.0,4.0,8,8,False
8,1.33333333333333,15.0,1.20600269024337,0.666666666666667,1,18.6666666666667,11.0,11,10,True
9,0.75,7.0,0.7489530148035791,0.25,1,16.5,7.0,17,29,False
10,1.6666666666666698,10.0,3.39883091984154,0.166666666666667,1,23.61111111111111,10.0,261,36,True
11,1.0,9.0,0.0,1.0,1,31.0,9.0,29,0,False
12,1.8,10.0,1.970345906426,0.4,1,30.2,10.0,33,12,True
13,3.0,11.0,0.0,1.0,1,34.0,11.0,8,1,False
14,2.3,12.0,2.46610511865713,0.3,1,11.5,12.0,262,15,True
15,3.0,13.0,0.0,2.0,1,0.0,13.0,0,1,False
16,3.0,52.0,0.0,1.0,1,44.0,46.0,6,0,False
17,2.0,54.0,0.0,2.0,1,45.0,48.0,6,0,False
18,3.25,14.0,1.64022392894185,0.75,1,52.25,14.0,7,8,False
19,0.0,64.0,0.0,0.0,1,0.0,57.0,5,0,False
20,2.0,66.0,0.0,1.0,1,0.0,59.0,2,1,False
21,1.0,13.0,0.591672778582327,0.5,1,110.0,13.0,12,2,True
22,5.33333333333333,68.0,1.53091803233897,1.0,1,5.66666666666667,61.0,230,43,True
23,2.35714285714286,69.0,2.6477242381774704,0.214285714285714,1,62.21428571428571,62.0,392,205,True
24,3.0,14.0,0.954434002924965,1.5,1,64.5,14.0,12,4,False
25,2.0,15.0,0.0,2.0,1,94.0,15.0,5,5,False
26,0.0,15.0,0.0,0.0,1,0.0,15.0,174,0,False
27,0.0,70.0,0.0,0.0,1,0.0,63.0,213,0,False
