,mean_change,max change,MAXChange/mean,max value,MAX/mean,dtype
CountDeclMethodPrivate,1.97,16.0,8.11,15.0,7.61,int64
CountDeclMethodDefault,7.03,89.0,12.66,29.0,4.13,int64
AvgEssential,1.29,5.0,3.87,8.0,6.19,int64
CountDeclClassVariable,1.37,7.0,5.1,19.0,13.85,int64
CountDeclClassMethod,5.0,49.0,9.8,36.0,7.2,int64
AvgLineComment,1.92,13.0,6.76,12.0,6.24,int64
AvgCyclomaticModified,1.26,8.0,6.36,12.0,9.54,int64
CountLineComment,20.29,698.0,34.41,692.0,34.11,int64
CountDeclClass,2.54,46.0,18.09,26.0,10.22,int64
CountDeclMethodProtected,2.32,20.0,8.64,26.0,11.23,int64
CountDeclInstanceVariable,3.73,97.0,25.97,53.0,14.19,int64
CountDeclMethodPublic,7.42,139.0,18.72,130.0,17.51,int64
AvgLineBlank,1.27,4.0,3.14,7.0,5.49,int64
MaxInheritanceTree,1.15,3.0,2.61,7.0,6.08,int64
CountClassDerived,46.85,2783.0,59.41,353.0,7.54,int64
CountClassCoupled,3.59,72.0,20.06,64.0,17.83,int64
CountClassBase,1.19,3.0,2.51,7.0,5.86,int64
CountInput_Min,5.35,311.0,58.08,94.0,17.56,int64
CountOutput_Min,1.96,14.0,7.13,18.0,9.17,int64
MaxNesting_Min,1.31,2.0,1.53,3.0,2.29,int64
OWN_COMMIT,0.61,1.0,1.64,1.0,1.64,float64
MINOR_COMMIT,2.75,5.0,1.82,2.0,0.73,int64
MINOR_LINE,1.35,5.0,3.7,6.0,4.44,int64
MAJOR_COMMIT,1.53,5.0,3.26,6.0,3.91,int64
MAJOR_LINE,1.8,9.0,4.99,5.0,2.77,int64
