,mean_change,max change,MAXChange/mean,max value,MAX/mean,dtype
CountDeclMethodPrivate,2.15,12.0,5.58,151.0,70.2,int64
CountDeclMethodDefault,1.93,10.0,5.19,98.0,50.87,int64
AvgEssential,1.19,2.0,1.69,19.0,16.03,int64
CountDeclClassVariable,2.75,22.0,8.0,321.0,116.73,int64
CountDeclClassMethod,2.64,17.0,6.44,87.0,32.94,int64
AvgLineComment,2.14,27.0,12.6,72.0,33.59,int64
CountLineComment,13.83,301.0,21.76,3202.0,231.46,int64
CountDeclClass,1.36,5.0,3.68,13.0,9.56,int64
CountDeclMethodProtected,1.78,11.0,6.19,91.0,51.24,int64
CountDeclInstanceVariable,1.9,19.0,9.99,1095.0,575.58,int64
CountDeclMethodPublic,2.5,24.0,9.59,201.0,80.34,int64
RatioCommentToCode,0.12,6.2,53.03,29.08,248.71,float64
AvgLineBlank,1.75,17.0,9.73,38.0,21.75,int64
PercentLackOfCohesion,10.86,90.0,8.29,100.0,9.21,int64
MaxInheritanceTree,1.11,3.0,2.69,7.0,6.29,int64
CountClassDerived,5.0,103.0,20.6,49.0,9.8,int64
CountClassCoupled,2.26,48.0,21.2,126.0,55.66,int64
CountClassBase,1.0,1.0,1.0,6.0,6.0,int64
CountInput_Mean,0.67,37.2,55.79,337.0,505.43,float64
CountInput_Min,1.73,25.0,14.46,337.0,194.89,int64
CountOutput_Min,1.88,24.0,12.77,27.0,14.36,int64
MaxNesting_Mean,0.17,1.75,10.49,5.0,29.98,float64
MaxNesting_Min,1.0,1.0,1.0,5.0,5.0,int64
Added_lines,57.73,17721.0,306.97,17843.0,309.08,int64
OWN_LINE,0.04,0.5,13.36,1.0,26.48,float64
MINOR_COMMIT,2.44,5.0,2.05,5.0,2.05,int64
MAJOR_LINE,1.32,6.0,4.55,10.0,7.58,int64
