,mean_change,max change,MAXChange/mean,max value,MAX/mean,dtype
CountDeclMethodPrivate,3.0,20.0,6.67,60.0,20.0,int64
CountDeclMethodDefault,1.5,2.0,1.33,220.0,146.67,int64
AvgEssential,1.0,1.0,1.0,8.0,8.0,int64
CountDeclClassVariable,2.4,9.0,3.75,216.0,90.0,int64
AvgLineComment,3.0,24.0,8.0,26.0,8.67,int64
CountDeclClass,3.45,10.0,2.89,37.0,10.71,int64
CountDeclMethodProtected,2.53,5.0,1.98,95.0,37.56,int64
CountDeclInstanceVariable,2.42,10.0,4.14,36.0,14.9,int64
RatioCommentToCode,0.1,0.94,9.2,85.57,837.23,float64
AvgLineBlank,1.12,2.0,1.78,13.0,11.56,int64
CountDeclInstanceMethod,5.42,42.0,7.75,222.0,40.97,int64
AvgCyclomaticStrict,1.23,3.0,2.44,28.0,22.75,int64
MaxInheritanceTree,1.33,2.0,1.5,6.0,4.5,int64
CountClassDerived,2.64,10.0,3.79,36.0,13.66,int64
CountClassCoupled,3.43,28.0,8.16,94.0,27.39,int64
CountClassBase,1.0,1.0,1.0,6.0,6.0,int64
CountInput_Mean,0.52,5.25,10.16,45.25,87.64,float64
CountInput_Min,1.06,2.0,1.88,24.0,22.59,int64
CountOutput_Mean,0.35,2.5,7.11,25.0,71.12,float64
CountOutput_Min,1.17,2.0,1.71,25.0,21.43,int64
CountPath_Min,,,,16.0,,int64
OWN_COMMIT,0.49,1.0,2.05,1.0,2.05,float64
MINOR_COMMIT,1.5,2.0,1.33,6.0,4.0,int64
MINOR_LINE,1.1,2.0,1.82,7.0,6.36,int64
MAJOR_LINE,1.08,2.0,1.86,21.0,19.53,int64
