,mean_change,max change,MAXChange/mean,max value,MAX/mean,dtype
CountDeclMethodDefault,3.12,29.0,9.3,82.0,26.29,int64
AvgEssential,1.32,5.0,3.78,8.0,6.04,int64
CountDeclClassMethod,2.92,22.0,7.52,247.0,84.44,int64
AvgLineComment,1.53,13.0,8.49,41.0,26.78,int64
CountDeclMethodProtected,2.67,39.0,14.59,83.0,31.06,int64
RatioCommentToCode,0.68,203.0,300.06,344.0,508.48,float64
AvgLineBlank,1.5,7.0,4.67,15.0,10.0,int64
PercentLackOfCohesion,16.14,100.0,6.2,100.0,6.2,int64
MaxInheritanceTree,1.16,3.0,2.58,5.0,4.29,int64
CountClassDerived,2.21,19.0,8.6,45.0,20.36,int64
CountClassCoupled,3.94,135.0,34.3,132.0,33.54,int64
CountClassBase,1.1,2.0,1.82,5.0,4.55,int64
CountInput_Mean,0.86,24.41,28.39,45.0,52.34,float64
CountInput_Min,1.94,13.0,6.71,20.0,10.33,int64
CountOutput_Mean,0.78,9.0,11.47,31.0,39.51,float64
CountOutput_Min,2.19,16.0,7.3,31.0,14.14,int64
CountPath_Min,29.05,511.0,17.59,576.0,19.83,int64
MaxNesting_Mean,0.23,4.0,17.42,6.4,27.88,float64
MaxNesting_Min,1.86,4.0,2.15,6.0,3.23,int64
Del_lines,116.53,20224.0,173.55,20224.0,173.55,int64
OWN_COMMIT,0.5,1.0,2.02,1.0,2.02,float64
MINOR_COMMIT,2.5,8.0,3.2,5.0,2.0,int64
MINOR_LINE,1.33,5.0,3.77,9.0,6.78,int64
MAJOR_LINE,1.96,12.0,6.12,11.0,5.61,int64
