,mean_change,max change,MAXChange/mean,max value,MAX/mean,dtype
CountDeclMethodPrivate,3.92,44.0,11.23,257.0,65.59,int64
AvgEssential,1.04,2.0,1.92,21.0,20.19,int64
CountDeclClassMethod,2.94,66.0,22.48,385.0,131.12,int64
AvgLineComment,1.15,3.0,2.61,23.0,20.0,int64
CountLineComment,17.51,892.0,50.94,3673.0,209.76,int64
CountDeclClass,14.77,666.0,45.09,392.0,26.54,int64
CountDeclInstanceVariable,6.24,251.0,40.22,1245.0,199.52,int64
RatioCommentToCode,0.09,1.36,15.71,43.0,496.8,float64
AvgLineBlank,1.13,3.0,2.66,35.0,31.0,int64
PercentLackOfCohesion,5.41,86.0,15.89,100.0,18.48,int64
MaxInheritanceTree,1.02,2.0,1.96,5.0,4.91,int64
CountClassDerived,2.52,11.0,4.36,104.0,41.24,int64
CountClassCoupled,2.98,35.0,11.76,207.0,69.55,int64
CountClassBase,1.0,1.0,1.0,5.0,5.0,int64
CountInput_Mean,0.57,9.25,16.35,37.75,66.71,float64
CountInput_Min,2.27,13.0,5.74,32.0,14.12,int64
CountOutput_Min,2.91,12.0,4.12,35.0,12.03,int64
CountPath_Min,1.83,6.0,3.27,24.0,13.09,int64
MaxNesting_Mean,0.13,1.76,13.67,4.0,31.04,float64
MaxNesting_Min,1.0,1.0,1.0,4.0,4.0,int64
OWN_COMMIT,0.72,1.0,1.39,1.0,1.39,float64
MINOR_COMMIT,1.0,1.0,1.0,1.0,1.0,int64
MINOR_LINE,1.04,2.0,1.92,7.0,6.74,int64
MAJOR_LINE,1.27,3.0,2.37,13.0,10.25,int64
