,mean_change,max change,MAXChange/mean,max value,MAX/mean,dtype
CountDeclMethodPrivate,2.61,20.0,7.66,142.0,54.37,int64
CountDeclMethodDefault,4.04,33.0,8.17,54.0,13.38,int64
AvgEssential,1.0,1.0,1.0,36.0,36.0,int64
CountDeclClassVariable,3.26,42.0,12.9,139.0,42.69,int64
CountDeclClassMethod,14.36,386.0,26.88,211.0,14.69,int64
AvgLineComment,1.14,3.0,2.64,47.0,41.3,int64
CountLineComment,11.44,259.0,22.64,1197.0,104.62,int64
CountDeclClass,2.34,25.0,10.68,144.0,61.53,int64
CountDeclMethodProtected,2.43,10.0,4.11,26.0,10.68,int64
CountDeclInstanceVariable,3.1,16.0,5.16,171.0,55.14,int64
RatioCommentToCode,0.07,1.56,21.02,10.67,143.75,float64
AvgLineBlank,1.05,2.0,1.91,11.0,10.5,int64
CountDeclInstanceMethod,10.75,398.0,37.01,498.0,46.31,int64
PercentLackOfCohesion,11.4,100.0,8.77,100.0,8.77,int64
MaxInheritanceTree,1.0,1.0,1.0,9.0,9.0,int64
CountClassDerived,2.2,14.0,6.36,83.0,37.73,int64
CountClassCoupled,2.53,22.0,8.7,157.0,62.08,int64
CountClassBase,1.0,1.0,1.0,8.0,8.0,int64
CountInput_Mean,0.61,19.5,32.07,62.0,101.98,float64
CountInput_Min,1.51,5.0,3.31,62.0,41.05,int64
CountOutput_Mean,0.37,5.62,15.05,20.0,53.5,float64
CountOutput_Min,1.39,6.0,4.31,20.0,14.36,int64
CountPath_Min,1.33,2.0,1.5,260.0,195.0,int64
MaxNesting_Mean,0.16,2.83,17.5,3.0,18.53,float64
MaxNesting_Min,1.5,2.0,1.33,3.0,2.0,int64
Del_lines,207.59,14118.0,68.01,8274.0,39.86,int64
OWN_COMMIT,0.54,1.0,1.84,1.0,1.84,float64
MINOR_COMMIT,1.75,4.0,2.29,3.0,1.71,int64
MINOR_LINE,1.21,4.0,3.31,8.0,6.63,int64
MAJOR_LINE,1.31,5.0,3.83,12.0,9.18,int64
