File,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,CountDeclClassMethod,AvgLineComment,AvgCyclomaticModified,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,CountDeclMethodPublic,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Min,MaxNesting_Min,OWN_LINE,OWN_COMMIT,MAJOR_LINE,target
0,0,0,1,0,0,0,1,1,0,1,1,1.54,0,0,2,0,0,1,1.0,1,1,0,1.0,1.0,0,False
1,0,0,1,0,0,0,1,1,0,1,1,1.69,0,0,2,0,0,1,1.0,1,1,0,1.0,1.0,0,False
2,0,0,2,0,0,6,2,1,7,3,0,0.71,1,61,2,1,2,1,3.14285714285714,1,1,0,1.0,1.0,0,False
3,0,0,1,1,0,6,2,1,4,3,2,1.0,0,70,1,4,2,2,3.33333333333333,1,0,0,0.992248062015504,1.0,1,False
4,0,0,1,1,0,5,2,1,7,2,0,0.88,0,76,2,5,1,1,4.14285714285714,2,1,0,1.0,1.0,0,False
5,0,0,4,5,0,15,9,1,3,5,0,0.47,8,53,3,0,4,1,8.33333333333333,2,1,0,1.0,1.0,0,False
6,0,0,3,5,0,13,8,1,3,5,0,0.46,5,63,3,0,4,1,7.33333333333333,2,1,0,1.0,1.0,0,False
7,0,0,3,0,0,9,3,1,1,1,0,0.61,2,100,4,0,0,1,1.0,1,6,2,0.671232876712329,0.0,0,False
8,0,2,1,0,0,2,1,1,0,0,0,3.0,0,0,0,1,1,0,1.0,1,0,0,1.0,1.0,0,False
9,0,0,1,0,0,4,2,1,2,1,0,0.8,0,50,3,0,2,1,2.0,2,1,0,1.0,1.0,0,False
10,0,0,2,0,0,7,3,1,3,3,2,0.52,1,73,3,0,3,1,3.8,2,1,0,1.0,1.0,0,False
11,0,0,4,1,0,10,7,1,3,4,0,0.31,3,46,3,1,2,1,5.33333333333333,2,1,0,0.964757709251101,1.0,1,False
12,0,0,1,0,1,2,3,1,2,2,5,0.38,0,64,2,0,9,1,1.85714285714286,1,1,0,0.818181818181818,1.0,1,False
13,0,0,2,0,0,8,4,1,4,2,0,0.53,2,62,3,0,2,1,2.75,2,1,0,1.0,1.0,0,False
14,0,0,2,1,0,5,2,2,3,3,4,0.52,1,75,2,0,3,2,2.28571428571429,0,1,0,1.0,1.0,0,True
15,0,0,1,0,0,4,2,1,0,1,19,0.84,0,0,1,0,1,1,3.63157894736842,1,1,0,1.0,1.0,0,False
16,0,0,1,0,0,0,2,1,1,1,1,0.67,3,50,1,0,4,2,2.5,2,4,0,0.794117647058823,1.0,0,False
17,0,0,1,0,0,5,1,1,1,1,1,1.93,0,50,1,6,0,2,6.5,6,2,0,1.0,0.0,0,False
18,0,0,1,0,0,6,1,1,3,2,6,1.22,0,61,2,0,3,1,1.88888888888889,1,1,0,1.0,0.0,0,False
19,0,0,2,0,0,8,3,1,1,0,2,1.14,1,0,2,0,0,1,2.33333333333333,1,2,0,1.0,0.0,0,False
20,0,0,1,0,0,8,3,1,11,0,1,0.63,2,0,2,0,9,1,2.75,1,2,0,1.0,1.0,0,False
21,0,0,1,1,0,9,2,1,3,2,2,0.89,2,66,2,0,1,1,3.8,2,3,0,1.0,0.0,0,False
22,0,0,1,2,0,7,2,1,3,1,6,1.19,1,81,2,0,0,1,2.44444444444444,1,1,0,1.0,0.0,0,False
23,0,0,3,0,0,10,3,1,4,0,1,1.03,1,0,3,0,1,1,2.6,2,2,0,0.986111111111111,0.0,1,False
24,0,0,1,0,0,6,1,1,2,2,5,1.18,0,64,2,0,0,1,1.71428571428571,1,1,0,1.0,0.0,0,False
25,0,0,1,0,0,7,2,1,2,2,4,1.14,1,41,1,1,0,2,4.0,2,2,0,1.0,0.0,0,False
26,0,2,1,0,0,6,1,1,0,1,0,3.5,0,100,0,4,0,0,8.5,7,1,0,1.0,0.0,0,False
27,0,0,1,1,0,9,2,1,5,0,1,1.32,1,66,2,1,0,1,2.33333333333333,1,1,0,1.0,0.0,0,False
28,0,0,1,0,0,6,1,1,3,1,2,1.96,0,40,1,1,0,2,2.0,1,1,0,1.0,0.0,0,False
29,0,0,1,0,0,6,1,1,0,1,3,2.57,0,0,1,0,0,2,2.0,1,1,0,1.0,0.0,0,False
30,0,0,1,0,0,7,2,1,2,0,1,1.44,1,0,3,0,0,1,1.66666666666667,1,2,0,1.0,0.0,0,False
31,0,0,1,0,0,10,2,1,2,0,1,1.57,1,0,3,0,1,1,2.0,1,2,0,1.0,0.0,0,False
32,0,0,1,0,0,7,2,1,3,0,1,1.96,1,0,2,2,0,1,1.75,1,1,0,1.0,0.0,0,False
33,0,0,1,0,0,4,2,1,0,2,18,0.75,0,61,1,0,0,2,2.27777777777778,1,0,0,0.99236641221374,0.0,2,False
34,0,17,1,0,0,4,1,1,0,0,0,3.11,0,0,0,1,0,0,1.0,1,0,0,1.0,1.0,0,False
35,1,0,1,2,2,4,4,2,0,5,12,0.3,2,84,1,0,0,2,3.53846153846154,1,1,0,0.411444141689373,0.0,2,True
36,1,0,1,3,5,0,1,1,0,0,5,0.47,0,100,1,0,7,1,3.0,0,1,0,1.0,0.0,0,False
37,1,0,1,0,15,0,1,1,0,0,15,0.34,0,0,1,0,12,1,3.0,0,1,0,0.992248062015504,0.0,1,False
38,1,0,3,0,1,0,3,1,0,0,1,0.79,1,0,1,0,1,1,0.5,0,1,0,0.807017543859649,0.0,0,False
39,1,0,2,0,1,2,3,1,0,0,1,0.94,3,0,1,0,2,1,1.5,0,1,0,1.0,0.0,0,False
40,1,0,1,1,1,0,2,1,0,0,1,0.75,2,50,1,0,2,1,2.0,0,1,0,1.0,0.0,0,False
41,6,1,1,5,3,4,2,6,21,59,133,0.77,0,97,1,2,59,9,4.74534161490683,0,0,0,0.567298578199052,0.454545454545455,1,True
42,0,0,2,0,0,4,2,1,1,4,5,0.89,0,41,1,0,7,3,3.83333333333333,1,1,0,0.685897435897436,0.0,0,True
43,1,0,1,6,1,2,1,2,7,30,75,0.54,0,97,2,3,18,6,7.01204819277108,0,1,0,0.581257413997628,1.0,2,True
44,1,0,1,4,0,4,1,1,0,6,8,0.94,0,96,1,0,0,2,0.333333333333333,0,1,0,0.695945945945946,0.0,0,False
45,0,1,1,0,0,0,1,1,0,0,0,3.2,0,0,0,5,1,0,2.0,2,0,0,0.391304347826087,0.0,0,False
46,1,0,2,0,0,0,4,1,1,10,8,0.15,1,69,2,0,19,2,5.8,2,1,0,0.701612903225806,1.0,2,False
47,0,0,1,2,0,5,2,1,0,3,16,0.8,0,77,1,0,6,1,3.25,1,1,0,0.797619047619048,1.0,0,False
48,5,2,1,1,0,4,3,5,10,21,35,0.41,0,89,1,3,27,4,4.82692307692308,0,1,0,0.527462121212121,0.6,2,True
49,0,0,1,0,0,4,2,1,7,7,10,0.82,0,78,2,2,13,3,3.58823529411765,1,0,0,0.57439446366782,1.0,2,False
50,0,0,1,0,0,10,1,1,1,7,16,2.12,0,83,1,2,2,3,3.29411764705882,1,0,0,0.934984520123839,1.0,2,False
51,1,0,2,0,3,8,6,1,0,0,3,0.41,3,0,1,0,13,1,5.75,0,1,0,0.570048309178744,1.0,1,False
52,2,0,1,0,0,0,2,1,0,10,7,0.22,0,72,2,0,9,2,5.33333333333333,0,1,0,0.691358024691358,1.0,1,False
53,1,0,1,2,0,2,1,1,0,7,16,0.75,0,81,1,0,0,2,5.29411764705882,1,1,0,0.68125,0.0,1,False
54,3,0,2,0,0,2,2,2,3,9,8,0.61,0,76,1,0,6,3,2.92857142857143,0,0,0,0.662650602409639,0.0,1,False
55,0,0,1,0,0,8,1,1,1,0,1,3.16,0,0,2,0,3,2,4.0,0,2,0,0.563218390804598,0.0,0,False
56,0,0,1,0,0,10,1,1,1,0,3,4.59,0,0,3,0,2,2,3.5,1,1,0,0.562962962962963,1.0,1,False
57,0,0,1,0,0,3,1,1,0,1,38,1.25,0,13,1,0,0,2,1.47368421052632,0,0,0,0.888888888888889,0.0,1,False
58,0,4,1,1,0,9,2,5,20,21,77,1.44,0,94,1,1,50,6,4.16831683168317,0,0,0,0.672477548864237,1.0,2,True
59,0,12,1,1,0,0,2,1,1,5,4,0.21,0,75,1,0,11,2,3.05882352941176,1,1,0,0.562189054726368,0.0,2,True
60,0,0,2,0,0,8,2,1,1,3,1,1.4,0,0,3,0,4,1,4.0,3,3,0,0.948717948717949,0.0,0,False
61,0,0,1,0,0,13,1,1,1,0,5,5.07,0,0,3,0,2,2,3.5,1,1,0,0.898989898989899,1.0,2,False
62,0,0,1,0,0,4,1,1,0,1,38,1.26,0,10,1,0,0,2,1.63157894736842,0,1,0,0.893782383419689,0.0,1,False
63,0,0,1,0,0,9,1,1,1,0,2,5.23,0,0,2,0,3,2,4.0,0,2,0,0.863945578231292,0.0,0,False
64,0,0,1,0,0,0,1,1,1,0,4,1.13,0,0,2,0,4,4,1.6,1,2,0,0.716216216216216,1.0,1,False
65,0,0,1,0,0,0,1,1,1,0,11,0.43,0,0,3,1,4,4,2.08333333333333,0,1,0,0.883720930232558,0.0,0,False
66,0,0,1,0,0,0,1,1,1,0,8,1.39,0,0,2,0,5,5,0.555555555555556,0,0,0,0.842105263157895,0.0,0,False
67,0,0,1,2,0,0,2,1,7,6,16,0.13,0,86,2,0,27,1,5.52173913043478,1,1,0,0.45821325648415,0.888888888888889,1,True
68,1,0,2,22,15,0,2,1,0,0,15,0.12,0,93,1,0,2,1,5.875,0,1,0,0.554973821989529,1.0,2,False
69,0,0,1,1,0,1,1,1,0,3,6,1.03,0,75,2,2,2,1,2.5,0,1,0,0.753623188405797,0.0,0,False
70,0,0,1,1,0,0,2,1,2,7,5,0.29,0,73,1,0,12,3,5.57142857142857,3,1,0,0.651515151515151,0.0,0,True
71,0,1,1,0,0,0,1,1,0,0,0,5.25,0,0,0,4,1,0,1.0,1,0,0,0.407407407407407,0.0,0,False
72,0,0,1,1,0,1,1,1,0,1,3,1.41,0,66,3,0,3,1,2.0,0,1,0,0.625,0.0,0,False
73,0,0,1,1,0,0,1,1,0,0,2,1.75,0,100,3,0,3,1,2.5,0,1,0,0.564102564102564,0.0,0,False
74,0,0,1,1,0,0,1,1,0,1,6,0.75,0,83,2,0,3,1,2.33333333333333,0,1,0,1.0,1.0,0,False
75,0,1,1,0,0,0,1,1,0,0,0,7.0,0,0,0,2,1,0,1.0,1,0,0,1.0,1.0,0,False
76,0,0,1,1,0,1,2,1,1,12,10,0.25,0,83,1,0,12,2,3.54545454545455,1,1,0,1.0,1.0,0,False
77,0,0,1,1,0,0,1,1,0,3,6,0.86,0,75,2,2,2,1,1.83333333333333,0,1,0,0.859375,0.0,0,False
78,0,0,1,1,0,0,2,1,2,7,5,0.24,0,73,1,0,12,3,4.0,2,1,0,0.803149606299213,0.5,0,False
79,0,1,1,0,0,0,1,1,0,0,0,5.25,0,0,0,1,1,0,1.0,1,0,0,0.703703703703704,0.0,0,False
80,0,0,1,1,0,1,1,1,0,1,3,1.41,0,66,3,0,3,1,2.0,0,1,0,0.833333333333333,0.0,0,False
81,0,0,1,1,0,0,1,1,0,0,2,1.75,0,100,3,0,3,1,2.5,0,1,0,0.82051282051282,0.0,0,False
82,1,0,1,1,0,0,3,1,0,4,3,0.25,1,44,1,0,12,2,6.75,6,5,0,0.523809523809524,1.0,1,False
