File,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,CountDeclClassMethod,AvgLineComment,CountLineComment,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,CountDeclMethodPublic,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Min,MaxNesting_Mean,MaxNesting_Min,Added_lines,OWN_LINE,MINOR_COMMIT,MAJOR_LINE,target
0,0,0,5,1,1,4,91,1,8,27,3,0.17,6,80,1,0,3,1,7.36363636363636,2,2,3.85714285714286,0,18,0.975675675675676,0,2,True
1,3,0,1,0,1,3,70,1,0,4,1,0.3,3,43,1,0,1,1,5.25,4,4,4.16666666666667,0,21,0.933962264150943,0,2,False
2,2,0,1,12,1,2,79,1,0,3,1,0.92,3,57,1,0,2,1,9.33333333333333,3,4,0.666666666666667,0,6,0.967914438502674,0,1,False
3,3,0,1,7,2,5,138,1,10,8,4,0.42,1,89,1,0,0,1,3.0,1,1,0.684210526315789,0,543,1.0,0,0,True
4,0,0,1,0,1,4,61,1,0,2,11,1.07,0,86,1,0,0,2,0.727272727272727,0,1,0.642857142857143,0,6,0.956204379562044,0,1,False
5,0,0,1,0,1,4,60,1,0,2,11,1.07,0,95,1,0,0,2,0.454545454545455,0,1,0.538461538461538,0,6,0.955882352941177,0,1,False
6,0,0,1,0,1,4,60,1,0,2,11,1.05,0,86,1,0,0,2,0.727272727272727,0,1,0.538461538461538,0,6,0.956521739130435,0,1,False
7,0,0,1,0,1,4,61,1,0,2,11,1.07,0,86,1,0,0,2,0.727272727272727,0,1,0.538461538461538,0,6,0.956834532374101,0,1,False
8,0,0,1,0,1,4,60,1,0,2,11,1.05,0,86,1,0,0,2,0.727272727272727,0,1,0.538461538461538,0,6,0.956204379562044,0,1,False
9,0,0,1,0,1,0,23,1,0,0,1,0.92,0,0,1,0,0,1,1.0,1,7,1.0,1,6,0.9,0,0,False
10,18,0,3,0,1,6,501,1,0,12,3,0.97,5,88,1,0,0,1,4.47619047619048,0,2,1.47826086956522,0,19,0.983718937446444,0,2,True
11,2,0,5,2,3,29,128,1,0,0,1,0.77,12,66,1,0,0,1,3.0,1,4,5.0,0,6,0.982708933717579,0,1,False
12,0,2,2,1,3,9,56,1,0,0,1,0.37,9,33,1,0,2,1,23.6666666666667,1,1,1.4,0,57,0.644,0,1,True
13,2,3,1,0,0,0,34,1,10,9,23,0.18,0,89,1,1,11,1,18.3947368421053,1,0,0.48780487804878,0,12,0.885304659498208,0,2,False
14,0,0,2,0,0,0,17,1,0,3,4,0.57,0,50,2,0,0,1,2.25,1,2,1.0,0,6,0.385964912280702,0,0,True
15,0,0,1,1,0,0,30,1,0,0,8,0.6,0,87,2,0,5,1,5.125,2,2,0.4,0,51,0.41,0,0,False
16,5,0,1,0,0,3,126,1,2,4,18,0.33,0,76,2,0,7,2,5.92,0,1,1.18518518518519,0,182,0.391150442477876,0,1,False
17,0,0,2,0,0,1,19,1,0,2,3,0.49,0,0,2,0,2,1,7.33333333333333,6,3,0.8,0,6,0.444444444444444,0,1,False
