File,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,CountDeclClassMethod,AvgLineComment,CountLineComment,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,CountDeclMethodPublic,RatioCommentToCode,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Min,MaxNesting_Mean,MaxNesting_Min,Added_lines,OWN_LINE,OWN_COMMIT,MINOR_COMMIT,MAJOR_LINE,target
0,43,0,1,36,1,3,394,3,0,13,16,0.6,97,2,0,2,1,3.69491525423729,1,0,0.65625,0,1236,1.0,1.0,0,0,False
1,0,0,5,1,1,4,91,1,8,27,3,0.17,80,1,0,3,1,7.36363636363636,2,2,3.53846153846154,0,0,0.975675675675676,0.0,0,2,False
2,3,0,1,0,1,3,70,1,0,4,1,0.31,43,1,0,1,1,5.0,4,4,4.16666666666667,0,0,0.933333333333333,1.0,0,2,False
3,2,0,1,12,1,2,78,1,0,3,1,0.91,57,1,0,2,1,9.33333333333333,3,4,0.666666666666667,0,0,0.967741935483871,1.0,0,1,False
4,0,0,1,0,1,4,61,1,0,2,11,1.07,86,1,0,0,2,0.727272727272727,0,1,0.642857142857143,0,0,0.956204379562044,0.0,0,1,False
5,0,0,1,0,1,4,60,1,0,2,11,1.07,95,1,0,0,2,0.454545454545455,0,1,0.538461538461538,0,0,0.955882352941177,0.0,0,1,False
6,0,0,1,0,1,4,60,1,0,2,11,1.05,86,1,0,0,2,0.727272727272727,0,1,0.538461538461538,0,0,0.956521739130435,0.0,0,1,False
7,0,0,1,0,1,4,61,1,0,2,11,1.07,86,1,0,0,2,0.727272727272727,0,1,0.538461538461538,0,0,0.956834532374101,0.0,0,1,False
8,0,0,1,0,1,4,60,1,0,2,11,1.05,86,1,0,0,2,0.727272727272727,0,1,0.538461538461538,0,0,0.956204379562044,0.0,0,1,False
9,1,0,1,5,4,0,32,1,0,0,3,0.47,70,1,0,0,1,3.75,2,2,1.16666666666667,0,113,1.0,1.0,0,0,True
10,0,0,1,0,1,0,23,1,0,0,1,0.92,0,1,0,0,1,1.0,1,7,1.0,1,0,0.9,0.0,0,0,False
11,16,0,1,4,3,4,239,2,0,7,18,0.56,93,2,0,1,1,3.70588235294118,0,1,0.756756756756757,0,1,0.946428571428571,1.0,0,0,True
12,20,0,2,0,1,7,542,1,0,13,3,0.99,89,1,0,0,1,4.52173913043478,0,2,1.48,0,88,0.914331465172138,1.0,0,2,True
13,2,0,5,2,3,29,128,1,0,0,1,0.77,66,1,0,0,1,3.0,1,4,5.0,0,0,0.982708933717579,0.0,0,1,False
14,4,0,1,3,2,4,94,1,0,1,5,1.03,86,1,0,0,1,3.11111111111111,1,1,0.363636363636364,0,227,1.0,1.0,0,0,False
15,50,0,1,59,1,3,460,3,0,18,24,0.5,97,2,0,3,1,4.54054054054054,1,0,0.564102564102564,0,1604,0.929274292742927,1.0,0,0,True
16,0,2,2,1,3,9,56,1,0,0,1,0.38,33,1,0,2,1,22.6666666666667,1,1,1.4,0,0,0.639676113360324,0.0,0,1,True
17,2,3,1,0,0,0,34,1,10,9,23,0.18,89,1,1,11,1,18.6578947368421,1,0,0.48780487804878,0,0,0.885304659498208,0.0,0,2,False
