File,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,AvgLineComment,CountLineComment,CountDeclMethodProtected,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Mean,CountOutput_Min,CountPath_Min,MaxNesting_Mean,MaxNesting_Min,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_COMMIT,MAJOR_LINE,target
0,0,1,0,4,35,0,5.0,0,0,0,33,0,0,31.0,3,0.5,0,1,1.6,0,1.0,0,2,1,0,False
1,1,2,2,7,195,0,0.92,0,78,1,0,14,2,6.8125,0,3.875,0,1,1.15,0,0.666666666666667,0,2,2,5,True
2,12,1,2,5,232,0,0.68,0,100,2,5,16,2,5.0,1,3.97368421052632,0,1,0.612244897959184,0,0.333333333333333,0,2,3,4,False
3,0,1,0,3,65,5,0.97,0,66,2,15,3,1,3.22222222222222,0,2.44444444444444,0,1,1.18181818181818,0,0.5,0,5,2,1,False
4,0,2,0,4,32,0,0.86,1,33,1,1,3,2,1.0,0,1.75,0,1,1.75,0,1.0,0,2,1,1,False
5,0,1,0,0,24,0,0.57,0,66,1,0,1,2,2.625,1,1.875,1,1,0.272727272727273,0,0.666666666666667,0,2,2,3,False
6,0,0,0,0,20,0,1.82,0,0,1,2,0,2,0.0,0,0.0,0,0,0.0,0,1.0,0,1,1,1,False
7,0,1,1,6,66,0,1.53,0,66,4,0,5,1,7.33333333333333,2,3.33333333333333,2,1,0.375,0,0.75,0,2,2,1,False
8,0,1,0,5,34,0,3.09,0,0,0,1,0,0,0.0,0,0.666666666666667,0,1,0.0,0,1.0,0,1,1,2,False
9,0,0,0,0,20,0,1.54,0,0,1,2,0,2,0.0,0,0.0,0,0,0.0,0,1.0,0,1,1,1,False
10,0,2,0,6,114,5,0.43,0,80,2,0,20,1,5.23076923076923,1,7.0,1,1,1.73333333333333,0,1.0,0,2,1,2,True
11,0,1,3,3,69,0,0.48,0,70,2,1,5,2,3.0,0,3.25,0,1,1.0,0,1.0,0,1,1,0,False
12,0,1,1,6,34,0,1.26,0,0,1,0,1,1,7.0,4,2.0,2,2,1.0,1,1.0,0,3,1,0,False
13,3,1,1,3,157,0,0.3,0,64,2,0,21,2,8.25714285714286,1,7.22857142857143,1,1,0.429906542056075,0,1.0,0,2,1,2,False
14,0,1,0,0,54,0,4.15,0,0,1,24,0,1,1.5,1,0.5,0,1,0.0,0,1.0,0,3,1,0,False
15,0,1,0,0,32,0,0.36,0,0,2,0,5,1,1.1875,0,1.875,0,1,0.277777777777778,0,1.0,0,2,1,2,False
16,0,0,0,0,203,0,203.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0.0,0,1.0,0,2,1,1,False
17,0,1,0,0,21,0,0.16,3,0,1,0,15,2,3.75,2,8.125,1,1,0.846153846153846,0,1.0,0,1,1,1,False
18,0,1,0,8,158,0,1.46,0,0,4,0,6,2,23.0,1,4.38461538461539,1,1,0.4,0,0.75,0,3,2,2,False
19,0,1,0,5,186,0,0.95,0,86,3,0,5,3,19.7037037037037,1,2.66666666666667,1,1,0.586206896551724,0,0.666666666666667,0,4,2,3,True
20,1,1,1,6,1036,0,0.7,0,91,1,19,96,3,8.25174825174825,0,4.52447552447552,1,1,0.56,0,0.272727272727273,0,4,8,15,True
21,1,1,0,6,294,0,3.03,0,0,2,1,14,2,3.05263157894737,0,0.842105263157895,0,1,0.0,0,0.333333333333333,0,6,3,5,True
22,16,2,10,2,523,7,0.29,0,95,3,12,62,3,4.72222222222222,0,5.05555555555556,1,1,1.0,0,0.3,0,3,7,15,True
23,1,1,1,4,455,0,0.53,0,88,2,1,33,2,17.8736842105263,0,3.95789473684211,1,1,0.5,0,0.571428571428571,0,5,4,7,True
24,0,1,0,0,23,0,1.05,0,0,1,0,2,2,2.0,1,1.5,1,1,0.75,0,1.0,0,1,1,2,False
25,27,1,0,11,446,0,6.76,0,0,2,4,13,1,2.16666666666667,1,0.638888888888889,0,1,0.0,0,1.0,0,4,1,6,False
26,2,1,0,5,34,0,3.09,0,0,0,1,1,0,1.5,1,0.5,0,1,0.0,0,1.0,0,1,1,2,False
27,0,1,3,2,114,0,0.3,0,73,1,0,9,2,3.08823529411765,1,3.91176470588235,1,1,0.975,0,0.5,0,1,2,2,True
28,1,1,0,2,198,1,0.68,0,80,2,0,14,2,3.44444444444444,0,2.03703703703704,1,1,0.19047619047619,0,1.0,0,4,1,5,True
29,0,1,1,10,64,0,1.08,1,50,1,0,5,1,4.0,3,5.25,3,2,1.83333333333333,1,1.0,0,1,1,2,False
30,0,1,1,5,100,1,0.68,0,89,4,0,7,2,4.78571428571429,0,4.85714285714286,1,1,1.0625,0,0.666666666666667,0,2,3,3,True
31,1,1,0,0,28,0,1.27,0,100,1,0,0,1,1.0,0,1.57142857142857,1,0,0.0,0,1.0,0,2,1,0,False
32,0,1,0,0,30,0,4.29,0,0,3,0,0,2,9.0,9,0.0,0,1,0.0,0,1.0,0,1,1,0,False
33,0,1,0,0,30,0,4.29,0,0,3,0,0,2,6.0,6,0.0,0,1,0.0,0,1.0,0,1,1,0,False
34,0,2,1,5,147,0,0.63,0,77,3,8,13,2,4.78947368421053,0,3.84210526315789,0,1,0.785714285714286,0,0.5,0,1,2,8,True
35,0,1,1,3,74,0,1.68,0,93,1,0,0,1,2.75,2,3.25,1,1,0.714285714285714,0,1.0,0,2,1,1,False
36,0,1,0,3,40,0,0.95,0,19,1,0,2,1,1.8,1,2.4,1,1,0.625,0,0.5,0,3,2,2,False
37,0,1,0,2,35,0,0.9,0,40,1,0,2,1,2.4,1,2.0,1,1,0.571428571428571,0,1.0,0,2,1,2,False
38,1,1,0,5,39,0,0.53,0,33,2,0,16,1,4.33333333333333,2,8.66666666666667,3,1,2.0,0,1.0,0,1,1,0,True
39,4,1,2,4,133,1,0.73,0,84,3,4,9,4,11.5714285714286,1,3.19047619047619,1,1,0.739130434782609,0,0.6,0,1,3,6,True
40,0,1,1,2,26,0,1.73,0,100,4,0,0,1,3.5,0,2.0,2,1,0.0,0,1.0,0,1,1,1,True
41,0,1,1,6,69,0,2.09,0,57,1,1,0,1,3.85714285714286,0,2.14285714285714,1,1,0.333333333333333,0,0.5,0,1,2,1,False
42,0,1,1,2,34,1,0.57,0,50,2,3,2,2,11.5,4,3.5,2,1,1.25,0,0.5,0,1,2,2,False
43,0,0,0,0,167,0,167.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0.0,0,1.0,0,2,1,1,False
