File,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,CountDeclClassMethod,AvgLineComment,CountLineComment,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Mean,CountOutput_Min,CountPath_Min,MaxNesting_Mean,MaxNesting_Min,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_LINE,target
0,4,0,1,1,5,0,0,1,0,0,0.0,0,80,1,0,5,1,3.4,2,5.6,2,2,2.125,1,1.0,0,1,0,False
1,1,0,1,0,0,0,37,2,5,8,0.22,1,80,2,3,1,2,3.53846153846154,1,4.61538461538461,1,1,1.29411764705882,0,1.0,0,1,0,False
2,0,0,1,0,0,0,3,1,0,0,0.27,0,0,4,0,0,1,1.0,1,1.0,1,2,1.0,1,0.0,0,1,0,False
3,0,0,1,0,0,0,6,1,0,1,0.75,0,0,3,0,0,1,1.0,1,2.0,2,1,0.0,0,0.0,0,1,0,False
4,0,0,1,0,0,0,3,1,0,0,0.21,0,0,4,0,0,1,0.5,0,1.5,1,1,0.75,0,0.0,0,1,0,False
5,0,0,1,0,0,0,6,1,1,1,0.5,0,50,3,2,0,1,2.5,1,2.0,1,1,0.0,0,0.0,0,1,0,False
6,0,0,1,0,0,0,16,1,0,4,0.39,1,0,3,0,0,1,4.0,4,13.0,13,8,2.0,2,1.0,0,1,0,False
7,0,0,1,0,0,0,6,0,0,0,0.55,0,0,0,0,0,0,0.5,0,2.5,2,1,0.0,0,0.0,0,1,0,False
8,0,0,1,0,1,0,0,1,0,0,0.0,0,0,1,0,0,1,0.0,0,2.0,2,1,0.0,0,1.0,0,1,0,False
9,0,0,1,0,1,0,0,1,0,0,0.0,0,0,1,0,0,1,0.0,0,8.0,8,1,0.0,0,1.0,0,1,0,False
10,0,0,1,0,0,0,0,1,0,0,0.0,0,0,1,0,0,1,0.0,0,1.0,1,1,0.0,0,0.0,0,1,0,False
11,0,1,1,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,1,0.25,0,0.0,0,1,0,False
12,0,0,1,0,10,0,0,1,0,0,0.0,0,0,1,0,0,1,1.0,1,1.0,1,1,0.0,0,0.0,0,1,0,False
13,0,0,1,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,1.0,1,1.0,1,1,0.0,0,0.0,0,1,0,False
14,0,0,1,0,0,0,0,1,0,0,0.0,0,0,1,0,1,1,1.0,1,2.0,2,1,0.0,0,0.0,0,1,0,False
15,0,0,1,0,0,0,6,1,0,0,0.43,0,0,0,0,0,0,1.0,1,0.583333333333333,0,1,0.0,0,0.0,0,1,0,False
16,0,0,1,0,0,0,6,1,0,1,0.14,0,0,1,0,1,1,1.53846153846154,1,1.61538461538462,1,1,0.0,0,0.0,0,1,0,False
17,0,1,1,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,1.0,1,1.0,1,1,0.0,0,0.0,0,1,0,False
18,0,0,1,0,0,0,0,1,0,0,0.0,0,0,1,0,1,1,1.0,1,2.0,2,2,1.0,1,0.0,0,1,0,False
19,0,0,0,0,0,0,0,2,0,3,0.0,0,100,1,0,0,1,0.0,0,1.0,1,0,0.0,0,0.0,0,1,0,False
20,0,0,1,0,4,0,1,1,0,0,0.07,0,0,1,0,0,1,0.0,0,1.0,1,1,0.0,0,1.0,0,1,0,True
21,0,0,1,0,4,0,0,1,0,1,0.0,0,61,1,0,0,1,1.0,1,2.23076923076923,1,1,0.0,0,1.0,0,1,0,False
22,0,0,1,0,0,0,0,1,0,0,0.0,0,0,1,0,3,1,2.0,1,2.33333333333333,1,1,0.0,0,1.0,0,1,0,False
23,1,0,1,0,0,0,2,1,0,1,0.15,0,0,1,0,0,1,2.33333333333333,1,1.66666666666667,1,1,0.0,0,1.0,0,1,0,True
24,0,0,1,0,0,0,0,1,0,0,0.0,0,0,1,0,0,1,0.5,0,1.5,1,1,0.0,0,0.0,0,1,0,False
25,0,0,0,2,0,0,0,1,0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,1,0,False
26,0,0,1,0,58,0,0,1,0,0,0.0,0,0,1,0,0,1,0.271604938271605,0,1.25925925925926,0,1,0.0,0,0.0,0,1,2,False
27,0,1,1,0,0,0,0,1,0,0,0.0,0,0,1,0,0,1,1.0,1,1.0,1,1,0.0,0,0.0,0,1,0,False
28,0,0,1,0,10,0,0,21,0,0,0.0,0,0,1,0,0,1,0.0,0,1.0,1,1,0.0,0,1.0,0,1,0,False
29,0,0,0,23,0,0,0,1,0,21,0.0,0,0,1,0,0,1,0.0,0,0.0,0,0,0.0,0,1.0,0,2,0,False
30,0,0,1,0,0,0,0,1,0,1,0.0,0,0,1,0,0,2,1.5,1,2.5,2,1,0.75,0,0.0,0,1,0,False
31,0,0,1,1,3,0,0,1,0,1,0.0,0,66,1,0,0,1,0.666666666666667,0,1.0,1,1,0.0,0,0.0,0,1,0,False
32,0,0,1,0,14,0,0,1,0,0,0.0,0,0,1,0,0,1,0.0,0,0.558823529411765,0,1,0.0,0,1.0,0,2,1,True
33,0,1,1,0,0,0,0,1,0,0,0.0,0,0,1,0,0,1,0.0,0,1.0,1,1,0.0,0,0.0,0,1,0,False
34,0,0,0,0,0,0,0,1,0,1,0.0,0,0,1,0,0,1,0.0,0,0.0,0,0,0.0,0,0.0,0,2,0,False
35,0,1,1,0,0,0,0,1,0,0,0.0,0,0,1,0,0,1,0.333333333333333,0,0.666666666666667,0,1,0.0,0,0.0,0,2,0,False
36,0,1,1,0,1,0,0,1,0,0,0.0,0,0,1,0,0,1,0.0,0,1.0,1,1,0.0,0,0.0,0,1,0,False
37,1,0,1,0,0,0,0,1,0,0,0.0,0,0,1,0,0,1,0.0,0,1.0,1,1,0.0,0,0.0,0,1,0,False
38,0,0,0,0,0,0,0,1,0,2,0.0,0,0,1,0,0,1,0.0,0,0.0,0,0,0.0,0,0.0,0,2,0,False
39,1,0,1,0,0,0,0,1,0,0,0.0,0,0,1,0,0,1,0.0,0,1.0,1,1,0.0,0,0.0,0,1,0,False
40,0,0,1,0,1,0,0,1,0,0,0.0,0,0,1,0,0,1,0.0,0,1.0,1,1,0.0,0,0.0,0,1,0,False
41,0,0,1,0,0,0,0,1,1,0,0.0,0,0,1,0,0,1,0.0,0,1.0,1,1,0.0,0,0.0,0,1,0,False
42,0,0,1,0,0,0,0,1,1,0,0.0,0,0,1,0,0,1,0.0,0,1.0,1,1,0.0,0,0.0,0,1,0,False
43,0,0,1,0,1,0,0,1,1,0,0.0,0,0,1,0,0,1,0.0,0,1.0,1,1,0.0,0,0.0,0,1,0,False
44,0,0,1,0,0,0,0,1,0,0,0.0,0,0,1,0,0,1,0.0,0,1.0,1,1,0.0,0,0.0,0,1,0,False
45,0,0,0,0,0,0,0,1,0,2,0.0,0,0,1,0,0,1,0.0,0,0.0,0,0,0.0,0,0.0,0,2,0,False
46,0,0,1,0,0,0,0,1,0,0,0.0,0,0,1,0,0,1,1.0,1,2.0,2,1,0.0,0,1.0,0,1,0,False
47,0,0,1,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,1.0,1,1.0,1,1,0.0,0,0.0,0,1,0,False
48,0,0,1,0,0,0,0,1,0,1,0.0,0,25,1,0,1,1,0.75,0,1.5,1,1,0.0,0,0.0,0,1,0,False
49,0,1,1,0,1,0,0,2,0,0,0.0,0,0,1,1,1,1,8.5,1,1.5,1,1,0.0,0,0.0,0,3,0,False
50,0,0,1,0,2,0,0,2,0,0,0.0,0,0,2,1,0,1,0.0,0,1.0,1,1,0.0,0,0.0,0,1,0,False
51,0,0,1,0,0,0,0,1,0,0,0.0,0,0,1,0,0,2,0.0,0,0.5,0,1,0.0,0,0.0,0,1,0,False
52,0,0,1,0,2,0,0,1,0,0,0.0,0,0,1,0,1,1,1.5,1,2.0,2,1,0.0,0,0.0,0,1,0,False
53,0,0,1,0,9,0,6,1,0,1,0.09,0,76,1,0,1,1,1.0,0,2.19047619047619,1,1,0.0,0,1.0,0,3,1,False
54,0,0,1,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,1.0,1,1.0,1,1,0.0,0,0.0,0,1,0,False
55,0,0,1,0,0,0,0,1,0,1,0.0,0,0,1,0,1,1,2.0,1,2.0,2,1,0.0,0,1.0,0,1,0,False
56,2,1,2,3,3,1,25,3,0,3,0.06,3,70,2,0,5,2,3.86666666666667,1,7.46666666666667,1,1,2.1,0,1.0,0,1,2,True
57,0,1,1,0,0,0,8,1,0,0,0.8,0,0,0,0,1,0,0.0,0,1.0,1,1,0.0,0,0.0,0,1,0,False
58,0,0,0,0,0,0,8,1,0,4,2.0,0,100,1,0,0,1,0.0,0,1.0,1,0,0.0,0,0.0,0,1,0,False
59,0,0,0,0,0,0,0,1,0,10,0.0,0,100,1,0,0,1,0.0,0,1.0,1,0,0.0,0,0.0,0,1,0,False
60,0,0,1,1,1,0,0,1,0,0,0.0,11,0,1,0,3,1,3.0,3,20.0,20,260,3.0,3,0.0,0,2,0,False
61,0,0,1,0,0,1,15,1,0,19,0.15,2,71,1,0,4,1,7.0,2,9.25,1,1,1.5,0,0.0,0,1,0,False
62,0,3,1,0,0,0,6,1,0,0,0.5,0,0,0,0,0,0,0.0,0,1.0,1,1,0.0,0,0.0,0,1,0,False
63,0,1,1,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,1.0,1,1.0,1,1,0.0,0,0.0,0,1,0,False
64,0,15,1,0,0,3,57,1,0,0,2.19,0,0,0,0,3,0,4.46666666666667,0,1.0,1,1,0.0,0,0.0,0,1,0,False
65,0,2,1,0,0,0,5,1,0,0,0.45,0,0,0,0,0,0,0.0,0,1.0,1,1,0.0,0,0.0,0,1,0,False
66,0,0,1,1,0,1,12,2,0,0,0.19,2,100,2,1,8,1,3.25,1,8.0,0,1,1.28571428571429,0,1.0,0,1,1,False
67,0,0,1,0,0,0,3,1,0,1,0.19,1,0,3,0,0,1,1.0,1,3.5,1,1,0.8,0,1.0,0,1,0,False
68,0,0,1,0,0,0,0,1,0,0,0.0,1,0,3,0,0,1,0.0,0,3.0,3,1,0.0,0,1.0,0,1,0,False
69,0,0,1,0,0,0,3,1,2,3,0.06,0,61,2,2,1,1,2.66666666666667,0,3.5,1,1,0.625,0,0.6,0,2,0,False
70,0,0,1,0,0,1,45,1,0,2,1.15,0,42,2,0,8,1,2.85714285714286,1,2.0,1,1,0.5,0,1.0,0,4,2,False
71,0,0,1,0,0,1,42,1,0,2,1.05,0,42,2,0,7,2,3.71428571428571,1,2.0,1,1,0.333333333333333,0,0.0,0,4,2,False
72,0,0,1,0,0,0,31,1,0,2,1.03,0,66,2,0,3,1,1.0,0,1.5,1,1,0.0,0,0.0,0,2,0,False
