File,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,CountDeclClassMethod,AvgLineComment,CountLineComment,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,CountDeclMethodPublic,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Mean,CountOutput_Min,CountPath_Min,MaxNesting_Mean,Added_lines,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_COMMIT,MAJOR_LINE,target
0,0,1,1,3,2,5,97,3,0,4,8,1.02,0,100,2,0,12,1,3.0,1,4.55555555555556,1,1,0.571428571428571,318,0.461538461538462,0,5,4,0,True
1,0,0,1,0,0,1,28,1,1,0,3,1.47,0,0,6,0,1,1,3.25,1,2.25,2,1,0.0,56,0.25,0,3,4,1,False
2,0,0,1,0,0,0,20,1,0,2,2,0.87,0,0,4,0,2,1,5.0,3,5.5,5,1,0.75,68,0.333333333333333,0,2,4,3,False
3,0,0,1,17,0,7,46,1,1,0,1,0.81,1,50,1,0,0,1,12.0,4,2.5,2,2,1.75,124,1.0,0,2,1,0,False
4,0,0,1,0,0,0,20,1,0,2,2,0.83,0,0,4,0,2,1,4.0,3,5.5,5,1,0.75,77,0.333333333333333,0,2,4,3,False
5,0,2,2,13,0,7,81,1,2,0,3,0.96,0,97,1,0,0,1,4.71428571428571,3,2.14285714285714,1,1,2.0,178,0.5,0,1,2,1,False
6,0,0,1,2,1,5,105,3,0,5,12,0.88,0,75,2,0,12,1,2.75,1,4.16666666666667,1,1,0.352941176470588,361,0.333333333333333,0,5,4,3,True
7,0,0,1,0,0,0,25,1,0,3,3,0.74,0,33,4,0,2,1,3.66666666666667,3,5.33333333333333,3,1,1.8,97,0.4,0,4,4,2,False
8,16,0,12,0,0,8,174,1,1,5,2,0.23,3,75,1,0,0,1,3.73684210526316,1,4.21052631578947,1,1,1.38095238095238,1041,0.333333333333333,0,1,3,5,False
9,0,0,1,2,1,6,74,3,0,4,6,1.1,0,55,2,0,8,1,3.0,1,4.16666666666667,1,1,0.909090909090909,202,0.375,0,5,4,2,True
10,1,0,4,6,0,5,104,1,0,10,7,0.61,2,80,4,0,4,1,4.125,1,4.875,1,1,2.1,346,0.3,0,4,4,3,True
11,0,0,1,0,0,4,35,2,0,2,3,1.06,0,0,2,0,5,1,2.33333333333333,1,4.0,1,1,1.0,90,0.75,0,4,2,0,False
12,0,0,4,1,0,2,38,1,0,2,2,0.9,4,16,4,0,2,1,4.5,3,6.0,6,1,3.0,133,0.5,0,6,4,2,True
13,3,0,2,2,0,0,48,1,0,9,7,0.49,1,79,4,0,3,1,3.5,1,3.8,1,1,0.916666666666667,216,0.3,0,4,4,3,True
