iter	Logloss
0	0.6808966236
1	0.6705898381
2	0.6605462034
3	0.6507914035
4	0.6420057549
5	0.6330488266
6	0.6246483578
7	0.6166762949
8	0.6087024334
9	0.6019440119
10	0.5953073591
11	0.5893017375
12	0.5836125259
13	0.5783356759
14	0.5727646289
15	0.5671011088
16	0.5623468225
17	0.5574747912
18	0.5528152636
19	0.548527961
20	0.5447405517
21	0.5407190544
22	0.5377604502
23	0.5337249962
24	0.5304858859
25	0.5269568405
26	0.5236691545
27	0.5204704868
28	0.5176734991
29	0.5151088583
30	0.512666373
31	0.5101742262
32	0.5079751572
33	0.5057581913
34	0.5040170859
35	0.5019023627
36	0.500099284
37	0.4979666655
38	0.4963770892
39	0.4944644573
40	0.492945408
41	0.4913647956
42	0.4897373907
43	0.4885361095
44	0.4871173251
45	0.4857568641
46	0.484731809
47	0.4832702149
48	0.4822634269
49	0.4813489082
50	0.4797435263
51	0.4785138142
52	0.4776893257
53	0.4765740177
54	0.4757212257
55	0.4746122206
56	0.4738552858
57	0.4732474528
58	0.4725080075
59	0.4715213164
60	0.4705872008
61	0.4698363629
62	0.4691301714
63	0.4684904422
64	0.4679196022
65	0.467330572
66	0.4666581588
67	0.4658723736
68	0.4653410151
69	0.4646878515
70	0.464243235
71	0.4637202861
72	0.4630685921
73	0.4623607601
74	0.4620006485
75	0.4615330116
76	0.4609963965
77	0.4605220748
78	0.4599213081
79	0.45946861
80	0.4589983388
81	0.4585458974
82	0.4580034614
83	0.4576142674
84	0.4572155019
85	0.4568345933
86	0.4563518453
87	0.4560196454
88	0.4556273575
89	0.4552315243
90	0.4548645717
91	0.4544829175
92	0.4540121754
93	0.4534878023
94	0.4531222181
95	0.4526503709
96	0.4521804227
97	0.4518403189
98	0.4515022235
99	0.4512784413
100	0.4510342998
101	0.4506530877
102	0.450324292
103	0.4500802173
104	0.4497514894
105	0.4494526261
106	0.4491671862
107	0.4489360037
108	0.4486408329
109	0.4484955948
110	0.4482698255
111	0.4480537791
112	0.4476787025
113	0.4474240506
114	0.4472408097
115	0.4469986978
116	0.446682103
117	0.446461447
118	0.4462425585
119	0.4460068627
120	0.4457086967
121	0.4454775505
122	0.4453391554
123	0.4451664258
124	0.4450039183
125	0.4448035691
126	0.4446308172
127	0.4443920099
128	0.444051648
129	0.4438171913
130	0.4436071488
131	0.4433734935
132	0.443182121
133	0.443001259
134	0.4427287197
135	0.4424777313
136	0.4422364548
137	0.4419793219
138	0.4418852803
139	0.4416660551
140	0.4414627249
141	0.4413281382
142	0.4411139506
143	0.441011414
144	0.4408242602
145	0.4406944091
146	0.4404188291
147	0.4401538148
148	0.4400550017
149	0.4398330819
150	0.4397059462
151	0.4395808402
152	0.4393968465
153	0.4392300509
154	0.4390731626
155	0.4389093733
156	0.4387377681
157	0.4385685497
158	0.4384264455
159	0.438294726
160	0.4380105547
161	0.4378690907
162	0.4376476097
163	0.4375739768
164	0.4374396649
165	0.4373248345
166	0.4371833942
167	0.4369866055
168	0.4368245344
169	0.4367552476
170	0.4365967251
171	0.4364217497
172	0.436270714
173	0.436078601
174	0.4358928226
175	0.4357425355
176	0.4356299935
177	0.4354888596
178	0.4353332379
179	0.4352439882
180	0.4350732875
181	0.434860813
182	0.434666522
183	0.434473121
184	0.434305222
185	0.4342101212
186	0.4341245957
187	0.4339921369
188	0.43385783
189	0.4337061552
190	0.4335856243
191	0.4334689026
192	0.4332852106
193	0.4331068803
194	0.432936112
195	0.4326837363
196	0.4325796652
197	0.4324895477
198	0.4322820832
199	0.4321107996
200	0.4318973398
201	0.4316408365
202	0.4314387428
203	0.4312934418
204	0.4311815195
205	0.4311650008
206	0.4310498192
207	0.4308845133
208	0.4307447133
209	0.430628544
210	0.4304612344
211	0.4303362662
212	0.4301781325
213	0.4300615585
214	0.4299790085
215	0.4298511076
216	0.4296980862
217	0.4295010052
218	0.4293579762
219	0.4292235008
220	0.4290798782
221	0.4288267653
222	0.4286857768
223	0.4285558371
224	0.4284838214
225	0.4284434787
226	0.4282615552
227	0.428075485
228	0.4279662337
229	0.427913414
230	0.4277234075
231	0.4275562692
232	0.4274078778
233	0.4273223146
234	0.4272178185
235	0.4271334688
236	0.4270186657
237	0.4269453145
238	0.4268518923
239	0.4267159022
240	0.4265496361
241	0.4264216049
242	0.4263611797
243	0.4262552127
244	0.4260690621
245	0.425923724
246	0.4257886411
247	0.4256512817
248	0.4255301343
249	0.4253437467
250	0.4252923294
251	0.4252554372
252	0.4252024049
253	0.4250311354
254	0.424924807
255	0.4248205533
256	0.4247091015
257	0.4246425067
258	0.4245719452
259	0.4244946475
260	0.4244483148
261	0.4242335155
262	0.4241285207
263	0.4239886056
264	0.4238283316
265	0.423660899
266	0.4235656895
267	0.4233508891
268	0.4231404027
269	0.4230226068
270	0.4228494826
271	0.4227701472
272	0.4226402883
273	0.4225678661
274	0.4224342778
275	0.4222915443
276	0.4221706577
277	0.4220566061
278	0.4219610197
279	0.4218595562
280	0.4217557475
281	0.4215745098
282	0.4214666425
283	0.4213146369
284	0.4211147316
285	0.4209997082
286	0.4209036131
287	0.4208079121
288	0.4207059538
289	0.4206078945
290	0.4205273001
291	0.4204914828
292	0.4204289319
293	0.4202867003
294	0.420218349
295	0.4200818592
296	0.4199259255
297	0.4198007752
298	0.4197266826
299	0.4195644035
300	0.4194899851
301	0.4193608878
302	0.4192374343
303	0.4191531509
304	0.4189318472
305	0.4188386096
306	0.4187322182
307	0.4186760545
308	0.4186029642
309	0.4184905038
310	0.4184319646
311	0.418327259
312	0.4182573476
313	0.4181695091
314	0.4180221437
315	0.4179260665
316	0.4177495259
317	0.4175177203
318	0.4174168537
319	0.4172737762
320	0.4171418278
321	0.4170065805
322	0.4168435181
323	0.4167388542
324	0.4165502172
325	0.4163949716
326	0.4162503322
327	0.4161608551
328	0.4159964256
329	0.4158499272
330	0.4157097125
331	0.4154734525
332	0.4153353676
333	0.4151924379
334	0.4150830888
335	0.4149492255
336	0.4147904174
337	0.414673705
338	0.4145839376
339	0.4145082092
340	0.4144419913
341	0.4143429493
342	0.4143084433
343	0.4141705009
344	0.4140944802
345	0.4140866475
346	0.4140243354
347	0.4139033059
348	0.4138426562
349	0.4137406632
350	0.4136250025
351	0.4135771175
352	0.413541278
353	0.4134465596
354	0.41323181
355	0.4131648377
356	0.4130704056
357	0.4129907242
358	0.4129118115
359	0.4127948523
360	0.4127280264
361	0.4126523279
362	0.4125158533
363	0.4124298812
364	0.4122597448
365	0.4121684828
366	0.4121070687
367	0.4119993582
368	0.4119002718
369	0.4118274611
370	0.4117356858
371	0.4116812804
372	0.4115304888
373	0.4114094211
374	0.4112549644
375	0.4111875079
376	0.4110574147
377	0.4109605575
378	0.4109040343
379	0.4107810485
380	0.4107366469
381	0.4106660567
382	0.4105758983
383	0.4104404877
384	0.4103012565
385	0.4101912713
386	0.4100934296
387	0.4099598561
388	0.4099044115
389	0.4097101394
390	0.4096046059
391	0.4094327905
392	0.4092960127
393	0.4092049646
394	0.4090430541
395	0.4088645152
396	0.4086740492
397	0.4085526123
398	0.4083398719
399	0.4082740445
400	0.4080936402
401	0.4079537962
402	0.4077570073
403	0.4076101476
404	0.4075259197
405	0.4073789631
406	0.4072325581
407	0.4070761934
408	0.4069197117
409	0.4068000099
410	0.4066656158
411	0.4065436339
412	0.4063939909
413	0.4062509354
414	0.4060638502
415	0.4059157277
416	0.40576668
417	0.4056655571
418	0.4055560285
419	0.4054694416
420	0.405374641
421	0.405197903
422	0.4050421064
423	0.4048844311
424	0.4047395778
425	0.4046246906
426	0.4045229418
427	0.4044575593
428	0.4042843445
429	0.4040689511
430	0.4039740522
431	0.4039037082
432	0.4037397737
433	0.4036613459
434	0.403540213
435	0.4034517337
436	0.4032808665
437	0.4030763263
438	0.4029592275
439	0.4029153558
440	0.402706829
441	0.4025033039
442	0.4023813992
443	0.4022669224
444	0.4021653984
445	0.4020529012
446	0.4019618232
447	0.401886276
448	0.4018235139
449	0.40174529
450	0.4016010061
451	0.4015313285
452	0.401471984
453	0.4013592407
454	0.4012184035
455	0.4010234332
456	0.4009239635
457	0.400799573
458	0.4006972719
459	0.4004666631
460	0.4002731537
461	0.4001048118
462	0.3999388701
463	0.3998142028
464	0.3997122817
465	0.3995907565
466	0.3994080002
467	0.3992980381
468	0.3991058789
469	0.399004904
470	0.3989085067
