,nuc,aexp,nd,ns,age,asexp,la,ld,target
0,1.0,1.0,1.0,1.0,1.0,0.0,132.0,25.0,True
1,0.33,2.0,2.0,1.0,1.0,2.0,233.0,0.0,True
2,0.0,2.0,2.0,1.0,0.0,0.0,268.0,0.0,True
3,0.06,62.0,7.0,1.0,0.0,24.0,35.0,4.0,True
4,1.17,45.0,4.0,1.0,0.0,31.0,231.0,7.0,True
5,1.0,83.0,1.0,1.0,7.0,7.0,1.0,2.0,True
6,0.75,23.0,1.0,1.0,0.0,8.0,167.0,4.0,True
7,6.0,143.0,1.0,1.0,0.0,56.0,4.0,0.0,True
8,3.0,20.0,1.0,1.0,22.0,16.0,2.0,0.0,True
9,6.0,4.0,1.0,1.0,1.0,1.0,14.0,3.0,True
10,1.0,132.0,1.0,1.0,47.0,80.0,8.0,8.0,True
11,1.2,139.0,1.0,1.0,4.8,87.0,323.0,117.0,True
12,9.0,142.0,1.0,1.0,1.0,90.0,15.0,3.0,True
13,7.67,56.0,1.0,1.0,3.33,48.0,28.0,9.0,True
14,13.0,59.0,1.0,1.0,4.0,51.0,1.0,0.0,True
15,0.67,241.0,2.0,1.0,0.0,154.0,204.0,23.0,True
16,1.0,43.0,1.0,1.0,0.0,28.0,1.0,1.0,True
17,0.0,13.0,3.0,1.0,0.0,0.0,568.0,0.0,True
18,4.0,271.0,3.0,1.0,0.64,176.0,472.0,188.0,True
19,3.5,313.0,1.0,1.0,3.5,14.0,57.0,38.0,True
20,4.0,316.0,1.0,1.0,1.0,207.0,24.0,0.0,True
21,2.5,319.0,2.0,1.0,42.5,210.0,5.0,3.0,True
22,18.0,325.0,1.0,1.0,4.0,215.0,30.0,11.0,True
23,17.0,409.0,1.0,1.0,3.0,205.0,8.0,1.0,True
24,2.0,420.0,1.0,1.0,3.0,214.0,2.0,0.0,True
25,3.0,402.0,1.0,1.0,51.0,261.0,5.0,1.0,True
26,0.0,72.0,1.0,1.0,0.0,0.0,636.0,0.0,True
27,1.5,427.0,1.0,1.0,38.0,275.0,233.0,19.0,True
28,4.0,84.0,2.0,1.0,0.5,12.0,20.0,19.0,True
29,0.0,437.0,2.0,1.0,0.0,281.0,228.0,0.0,True
30,2.0,438.0,1.0,1.0,106.0,282.0,0.0,2.0,True
31,3.67,91.0,2.0,1.0,0.83,19.0,30.0,18.0,True
32,12.0,473.0,1.0,1.0,16.0,248.0,1.0,1.0,True
33,6.0,483.0,1.0,1.0,46.5,253.0,78.0,7.0,True
34,14.0,501.0,1.0,1.0,64.0,265.0,4.0,1.0,True
35,3.0,544.0,1.0,1.0,117.0,294.0,4.0,0.0,True
36,16.0,137.0,1.0,1.0,10.0,122.0,1.0,0.0,True
37,0.0,515.0,1.0,1.0,0.0,333.0,119.0,0.0,True
38,7.0,526.0,1.0,1.0,3.0,344.0,0.0,85.0,True
39,4.17,578.0,3.0,1.0,3.0,316.0,13.0,3.0,True
40,12.75,548.0,3.0,1.0,4.5,357.0,115.0,9.0,True
41,2.0,569.0,1.0,1.0,7.0,369.0,12.0,4.0,True
42,0.0,591.0,4.0,1.0,0.0,0.0,0.0,263.0,False
43,8.0,593.0,1.0,1.0,28.0,385.0,27.0,8.0,True
44,0.26,600.0,5.0,3.0,1.84,0.33,303.0,44.0,True
45,3.8,610.0,4.0,1.0,3.2,338.0,94.0,3.0,True
46,8.0,601.0,2.0,1.0,35.0,391.0,128.0,70.0,True
47,58.0,163.0,1.0,1.0,0.0,145.0,3.0,1.0,True
48,16.0,668.0,2.0,1.0,45.67,373.0,52.0,9.0,True
49,32.0,631.0,1.0,1.0,13.0,410.0,0.0,3.0,True
50,11.0,178.0,2.0,1.0,76.86,158.0,96.0,5.0,True
51,14.0,189.0,1.0,1.0,6.0,166.0,2.0,2.0,True
52,5.0,701.0,5.0,2.0,5.43,0.5,102.0,48.0,True
53,12.09,647.0,2.0,2.0,19.82,1.12,459.0,26.0,True
54,1.4,748.0,3.0,1.0,0.0,432.0,36.0,31.0,True
55,18.5,759.0,2.0,1.0,2.0,443.0,47.0,4.0,True
56,3.0,330.0,1.0,1.0,0.0,305.0,14.0,3.0,True
57,12.4,775.0,4.0,1.0,82.8,454.0,303.0,114.0,True
58,12.5,745.0,1.0,1.0,173.0,8.0,11.0,4.0,True
59,46.0,391.0,1.0,1.0,3.5,363.0,59.0,38.0,True
60,2.0,392.0,1.0,1.0,7.0,364.0,15.0,0.0,True
61,52.6,756.0,5.0,4.0,17.0,1.01,31.0,44.0,True
62,36.33,162.0,3.0,1.0,81.0,54.0,94.0,1.0,True
63,0.0,792.0,1.0,1.0,0.0,504.0,34.0,0.0,True
64,13.4,395.0,1.0,1.0,99.6,367.0,45.0,35.0,True
65,1.67,169.0,2.0,1.0,186.67,59.0,42.0,7.0,True
66,23.88,429.0,5.0,1.0,110.25,393.0,253.0,184.0,True
67,0.0,813.0,1.0,1.0,0.0,515.0,24.0,0.0,True
68,4.0,458.0,1.0,1.0,0.0,421.0,60.0,55.0,True
69,28.0,830.0,2.0,1.0,25.0,504.0,13.0,0.0,True
70,14.0,502.0,2.0,1.0,4.33,460.0,52.0,0.0,True
71,20.5,858.0,2.0,1.0,3.5,529.0,44.0,0.0,True
72,27.0,875.0,1.0,1.0,2.0,542.0,18.0,3.0,True
73,11.17,884.0,5.0,1.0,119.67,549.0,7.0,255.0,True
74,11.0,560.0,2.0,1.0,89.5,515.0,9.0,9.0,True
75,0.0,838.0,1.0,1.0,0.0,529.0,264.0,0.0,True
76,29.73,582.0,4.0,1.0,45.13,537.0,255.0,25.0,True
77,27.5,593.0,2.0,1.0,86.0,548.0,161.0,123.0,True
78,0.0,595.0,1.0,1.0,0.0,550.0,53.0,0.0,True
79,26.0,901.0,1.0,1.0,0.0,563.0,5.0,1.0,True
80,18.5,638.0,1.0,1.0,35.75,589.0,177.0,16.0,True
81,19.0,639.0,1.0,1.0,8.0,590.0,1.0,42.0,True
82,27.0,643.0,1.0,1.0,6.0,594.0,26.0,12.0,True
83,0.0,674.0,1.0,1.0,0.0,625.0,184.0,0.0,True
84,14.0,690.0,1.0,1.0,215.0,641.0,3.0,1.0,True
85,6.0,704.0,1.0,1.0,0.0,654.0,25.0,21.0,True
86,60.0,711.0,1.0,1.0,4.0,661.0,7.0,0.0,True
87,73.0,937.0,1.0,1.0,1.0,598.0,23.0,24.0,True
88,0.0,867.0,1.0,1.0,0.0,4.0,95.0,0.0,True
89,23.0,763.0,1.0,1.0,7.0,711.0,3.0,3.0,True
90,12.0,772.0,1.0,1.0,44.0,719.0,0.0,4.0,True
91,24.0,801.0,1.0,1.0,1.0,747.0,9.0,6.0,True
92,23.25,823.0,2.0,1.0,136.0,769.0,28.0,7.0,True
93,69.0,838.0,1.0,1.0,14.33,782.0,8.0,2.0,True
94,15.0,866.0,1.0,1.0,200.0,806.0,4.0,0.0,True
95,41.0,870.0,1.0,1.0,49.0,810.0,6.0,1.0,True
96,8.0,893.0,1.0,1.0,0.0,554.0,29.0,0.0,True
97,6.0,899.0,1.0,1.0,383.0,559.0,3.0,1.0,True
98,53.0,893.0,1.0,1.0,74.0,832.0,1.0,0.0,True
99,7.0,30.0,1.0,1.0,9.0,25.0,1.0,1.0,True
100,20.6,9.0,3.0,2.0,210.8,0.14,124.0,11.0,True
101,10.5,925.0,1.0,1.0,0.0,860.0,33.0,7.0,True
102,7.0,59.0,1.0,1.0,5.5,52.0,7.0,4.0,True
103,71.25,27.0,3.0,2.0,268.5,0.75,117.0,4.0,True
104,54.0,82.0,1.0,1.0,132.0,72.0,24.0,1.0,True
105,3.0,123.0,1.0,1.0,0.0,4.0,8.0,10.0,True
106,7.0,146.0,1.0,1.0,0.0,130.0,4.0,22.0,True
107,14.75,94.0,4.0,1.0,216.25,2.0,53.0,11.0,True
108,0.0,167.0,1.0,1.0,0.0,149.0,134.0,0.0,True
109,41.0,104.0,2.0,1.0,22.0,64.0,146.0,1.0,True
110,64.33,178.0,3.0,2.0,107.67,0.94,0.0,83.0,False
111,2.5,181.0,1.0,1.0,30.0,162.0,68.0,0.0,True
112,7.33,111.0,2.0,1.0,607.67,68.0,6.0,1.0,True
113,123.0,133.0,1.0,1.0,16.0,84.0,4.0,8.0,True
114,1.33,137.0,1.0,1.0,2.0,88.0,120.0,23.0,True
115,23.5,147.0,1.0,1.0,98.0,94.0,10.0,0.0,True
