commit_id,project,buggy,date,repo,gap,LA,LD,NF,ND,NS,Entropy,NDEV,AGE,NUC,EXP,REXP,SEXP,target,LT
8f40a7eeca8772a16e45a15ef424142e4f90e129,activemq,False,2005-12-14 01:17:31,activemq,,0,7,1,1,1,0.0,1.0,0.0,1.0,3,3.0,1.0,done,329.0
262a5596d9300b7aded14d550cf8f5ee80d7ac0f,activemq,False,2005-12-14 01:18:23,activemq,,6,0,1,1,1,0.0,1.0,0.0,1.0,5,5.0,3.0,done,78.0
507bb1bbabbf9feafb33ac42b9c52ec0f8ebfa39,activemq,False,2005-12-14 01:19:06,activemq,,3,1,1,1,1,0.0,1.0,0.0,1.0,6,6.0,4.0,done,126.0
a558fef3745807fc4eb75508cd385798da4b64a5,activemq,False,2005-12-14 03:15:36,activemq,,8,4,3,2,1,1.5545851693378,0.333333333333333,0.666666666666667,1.33333333333333,13,13.0,9.0,done,225.0
73165063467db865c26ee256210dabcb97edd5e1,activemq,False,2005-12-14 21:37:34,activemq,,28,11,2,2,1,0.999525689293649,0.5,1.0,1.0,14,14.0,1.0,done,111.0
f25cc68fb1ed285563dae769d3cf1720eb0b3ecb,activemq,False,2005-12-14 22:45:12,activemq,,13,12,1,1,1,0.0,1.0,1.0,1.0,15,15.0,2.0,done,191.0
f1bbfd320193609fad94c9ef2654c0c7b78d0aff,activemq,False,2005-12-15 02:34:16,activemq,,2,1,1,1,1,0.0,1.0,1.0,1.0,16,16.0,10.0,done,399.0
5cba8d744d41f10199b1545ad82ec5b335aaf1a5,activemq,False,2005-12-15 04:00:44,activemq,,1,1,1,1,1,0.0,1.0,2.0,1.0,18,18.0,12.0,done,645.0
639265de9f0f5f7be8935e8f810d54861e8c292f,activemq,False,2005-12-15 17:06:44,activemq,,2,2,1,1,1,0.0,2.0,1.0,2.0,2,2.0,1.0,done,420.0
db0855c34231e9802cb738538178ab17c9cd1c0d,activemq,False,2005-12-15 23:13:14,activemq,,7,8,1,1,1,0.0,1.0,2.0,1.0,20,20.0,14.0,done,240.0
df6f3ba32ac3a5434d9068bb7c26533cedd54b2d,activemq,False,2005-12-16 14:41:03,activemq,,13,2,1,1,1,0.0,1.0,3.0,1.0,0,0.0,0.0,done,380.0
4cb407cc4ba036507fe0ba7d5ad56e6d8152837c,activemq,False,2005-12-16 14:48:56,activemq,,6,15,1,1,1,0.0,2.0,0.0,2.0,1,1.0,1.0,done,391.0
0d6f94b93dad17328ae79cfebe3ccf3c4e16b5cb,activemq,False,2005-12-16 22:56:13,activemq,,6,1,1,1,1,0.0,1.0,3.0,1.0,22,22.0,16.0,done,909.0
634ac91c3de96bdb8297c979d0b1b533d633efe0,activemq,False,2005-12-17 00:54:54,activemq,,7,1,1,1,1,0.0,2.0,2.0,2.0,1,1.0,1.0,done,348.0
bf65e7d3cf851b80aa2e8569b729642650f74441,activemq,False,2005-12-17 02:08:15,activemq,,4,7,3,2,1,1.49491884823395,0.666666666666667,2.0,2.6666666666666696,23,23.0,17.0,done,230.0
2c6156085c68facdfd288aeeb795b3b284171e9f,activemq,False,2005-12-17 02:48:17,activemq,,0,2,1,1,1,0.0,1.0,3.0,2.0,24,24.0,18.0,done,322.0
298ccf2a77bde24b2bc333cbb34acb0338435388,activemq,False,2005-12-20 01:19:51,activemq,,3,1,1,1,1,0.0,1.0,0.0,3.0,30,30.0,22.0,done,578.0
ceeb3a2aa6d4a9cd409c5c6d8cb42c8dddebb43c,activemq,False,2005-12-21 06:20:47,activemq,,0,5,1,1,1,0.0,0.0,0.0,0.0,20,20.0,2.0,done,257.0
b6eb3a631990fdecc2a9c3e90af969d5f1cd1b02,activemq,False,2005-12-21 14:43:16,activemq,,4,1,1,1,1,0.0,1.0,8.0,1.0,21,21.0,4.0,done,103.0
8935d8203650883308e4d754c2c988661d7cd388,activemq,False,2005-12-22 13:27:28,activemq,,26,16,1,1,1,0.0,2.0,0.0,6.0,34,34.0,12.0,done,1086.0
08d4b5ff25529c8ac155ebe51cb8554cc1abded5,activemq,False,2005-12-23 02:36:17,activemq,,22,37,4,2,1,1.0631062648921998,0.75,2.25,2.75,4,4.0,2.0,done,614.0
3621f25504d7c55203333615dd369bdc5f730b8f,activemq,False,2005-12-23 03:01:52,activemq,,1,1,1,1,1,0.0,2.0,0.0,3.0,0,0.0,0.0,done,119.0
29a6b9d1f6cfaf26c570f3ec760956ca35051bf8,activemq,False,2005-12-23 18:47:47,activemq,,4,4,1,1,1,0.0,2.0,1.0,3.0,9,9.0,4.0,done,333.0
2c4274b997a84807d94e49a8482ec58a74388938,activemq,False,2005-12-24 01:10:53,activemq,,9,0,1,1,1,0.0,3.0,1.0,3.0,50,50.0,17.0,done,154.0
5444ef92e13b6f0cab3c9af9d43fccbea27d1cce,activemq,False,2005-12-27 10:11:43,activemq,,1,1,1,1,1,0.0,3.0,3.0,4.0,10,10.0,5.0,done,333.0
5cea195af29c5987e457af197312ecbfaf6c241b,activemq,False,2005-12-28 01:47:56,activemq,,3,0,1,1,1,0.0,3.0,5.0,3.0,52,52.0,19.0,done,391.0
a59fee46d54fb2bbbcb829f4756c483a0ea9f317,activemq,False,2005-12-29 00:34:06,activemq,,6,0,1,1,1,0.0,3.0,1.0,5.0,58,58.0,22.0,done,333.0
0684e20bf6796d85ff6caca1c8950a8c3108fc6f,activemq,False,2005-12-29 00:38:10,activemq,,24,18,3,1,1,1.02303706553288,0.333333333333333,15.0,1.0,42,42.0,3.0,done,435.0
57ca31fbd379f55d16ac18a57b6764dc5f33fd0d,activemq,False,2005-12-29 04:10:15,activemq,,195,194,61,9,1,5.475720343493742,0.0819672131147541,8.24590163934426,2.04918032786885,71,71.0,3.0,done,202.0
c901884014039c467948bb7470495c32f62adefc,activemq,False,2005-12-29 05:49:18,activemq,,32,38,7,3,1,2.03443230395063,0.285714285714286,8.85714285714286,1.7142857142857095,91,91.0,0.0,done,403.0
f051364d6b1e2c9c2b7aafc4066770a7ea6e2825,activemq,False,2005-12-30 01:08:59,activemq,,16,9,1,1,1,0.0,2.0,0.0,3.0,48,48.0,34.0,done,195.0
eac597346ca2d5d3fab8c890c24902f744892460,activemq,False,2005-12-31 00:55:20,activemq,,4,0,1,1,1,0.0,1.0,1.0,1.0,56,56.0,40.0,done,97.0
de7f650b16e6e77ea31f8967202dd8445bd64a5e,activemq,False,2005-12-31 03:25:15,activemq,,8,3,2,2,1,0.94566030460064,1.0,0.0,2.5,57,57.0,41.0,done,752.0
1f3f80cf7765193b98d9b0e061e63811a7f19aca,activemq,False,2005-12-31 03:36:29,activemq,,2,1,1,1,1,0.0,1.0,0.0,1.0,58,58.0,42.0,done,52.0
3516e1005a58b7da939aa7587b4fc6fc56b66ea4,activemq,False,2006-01-01 01:30:26,activemq,,2,0,1,1,1,0.0,3.0,0.0,5.0,115,115.0,33.0,done,270.0
14f96a9e6fe651a5b7c56adaccfde0e164093118,activemq,False,2006-01-01 01:33:49,activemq,,4,1,1,1,1,0.0,3.0,0.0,4.0,116,116.0,34.0,done,144.0
