commit_id,project,buggy,date,repo,gap,LA,LD,NF,ND,NS,Entropy,NDEV,AGE,NUC,EXP,REXP,SEXP,target,LT
5506a44d0a1e04a3d471b43dcf00b21608edd50f,cassandra,False,2009-03-23 03:46:02,cassandra,,6,5,1,1,1,0.0,1.0,20.0,1.0,9,9.0,8.0,done,614.0
af47dc8476a6e4e4856476e4acff1ac8321a6a39,cassandra,False,2009-03-25 14:25:23,cassandra,,3,5,1,1,1,0.0,2.0,0.0,2.0,11,11.0,10.0,done,524.0
e9e08ff6b572c851ecfcfe49bc63de43dfe3ed04,cassandra,False,2009-03-27 11:18:54,cassandra,,4,1,1,1,1,0.0,2.0,0.0,2.0,8,8.0,5.0,done,148.0
fe825730bfae8f619247605ea0027a9c195c45fd,cassandra,False,2009-03-27 11:19:06,cassandra,,6,13,1,1,1,0.0,1.0,24.0,1.0,10,10.0,7.0,done,226.0
22c52627201873086c38ee020838f0ed4e96f843,cassandra,False,2009-03-27 11:19:40,cassandra,,9,10,1,1,1,0.0,2.0,0.0,2.0,16,16.0,13.0,done,126.0
07c2d3c29dd4ef87ae0a0299a711565bfb7c30b0,cassandra,False,2009-03-27 11:19:45,cassandra,,6,14,2,1,1,1.0,1.0,0.0,2.5,17,17.0,14.0,done,704.0
a9c09a85922e9962f7b7f9bb362d9f56e1e8e673,cassandra,False,2009-03-27 11:19:51,cassandra,,11,11,2,1,1,0.4394969869215129,0.5,24.0,1.0,18,18.0,15.0,done,1472.0
c5b1b8ba21a434f61867b5551390da3be0a37107,cassandra,False,2009-03-27 11:20:00,cassandra,,28,29,1,1,1,0.0,3.0,0.0,8.0,20,20.0,17.0,done,492.0
09bc045e2674e91f57d3244b1aaeae0c1cd2c6f5,cassandra,False,2009-03-27 11:45:02,cassandra,,5,0,1,1,1,0.0,2.0,0.0,7.0,32,32.0,29.0,done,957.0
2249a6a745f63873b89b2bc8d70df4d185d99298,cassandra,False,2009-03-27 11:45:21,cassandra,,19,12,1,1,1,0.0,1.0,24.0,1.0,35,35.0,32.0,done,85.0
6ba824e430086ae2ad6e120f066c439e1770bf68,cassandra,False,2009-03-28 01:34:15,cassandra,,4,1,1,1,1,0.0,3.0,0.0,6.0,42,42.0,38.0,done,148.0
4cb9bf678fdf672c6a2dab2e09c75103ea50ba4c,cassandra,False,2009-03-28 01:35:49,cassandra,,6,13,1,1,1,0.0,3.0,0.0,3.0,44,44.0,40.0,done,226.0
c139871286d9a5858aec0f6e14db70379a5ced62,cassandra,False,2009-03-28 01:38:09,cassandra,,9,10,1,1,1,0.0,3.0,0.0,5.0,50,50.0,46.0,done,126.0
340cdf4670686cd847958425bf8a5f0a253a646e,cassandra,False,2009-03-28 01:38:34,cassandra,,6,14,2,1,1,1.0,1.5,0.0,6.0,51,51.0,47.0,done,704.0
