commit_id,project,buggy,date,repo,gap,LA,LD,NF,ND,NS,Entropy,NDEV,AGE,NUC,EXP,REXP,SEXP,target,LT
89af8294f42a9a16b91a09f7808653a71648718f,hbase,False,2007-04-07 06:09:28,hbase,,1,1,1,1,1,0.0,1.0,3.0,1.0,0,0.0,0.0,done,676.0
356f3919e9c10a56146ab1884c2b3432c9f1f4d9,hbase,False,2007-05-22 08:30:40,hbase,,1,1,1,1,1,0.0,1.0,27.0,4.0,6,6.0,6.0,done,378.0
47bf7fd8bbaca22a89e7429e52dcac5a5126d38a,hbase,False,2007-05-22 14:30:07,hbase,,76,74,4,2,2,1.63964968123326,0.5,3.0,5.75,4,4.0,1.125,done,3688.0
e3e22fe37eae6b22ba80ae24dfc7a219a119d92a,hbase,False,2007-05-22 22:51:10,hbase,,455,340,3,2,2,0.627481275180504,0.666666666666667,0.0,6.66666666666667,5,5.0,1.1875,done,2877.0
3f5229c66f93e6e36c36cd6793a0daefcadb55ca,hbase,False,2007-06-12 05:52:29,hbase,,11,6,2,2,2,0.322756958897398,1.0,0.0,14.0,19,19.0,1.24784469604492,done,1103.0
e78644ed10f069a428fa28d8c6a2d6242e496430,hbase,True,2007-06-15 07:08:56,hbase,1123.0,376,134,16,4,4,3.3611170121781098,0.125,4.125,5.1875,23,23.0,0.3541664690698379,done,5522.0
a31d0e5f31faf73b9d1b29e0099cb53220d2a523,hbase,False,2007-06-27 13:50:10,hbase,,5,5,3,2,2,1.52192809488736,0.666666666666667,3.3333333333333304,17.0,0,0.0,0.0,done,1631.0
9eb369c26699fc265c2a0e780318513bd01b85a5,hbase,False,2007-07-04 13:48:18,hbase,,57,39,6,2,2,1.56955033503098,0.666666666666667,6.83333333333333,9.66666666666667,28,28.0,1.2478485032916102,done,1740.0
bf798cca50a330d9807671c62378245710887e4a,hbase,False,2007-07-18 11:26:03,hbase,,56,56,3,2,2,1.13407480901045,1.0,0.333333333333333,31.6666666666667,36,36.0,1.24784851071308,done,3848.0
b205cac36d9af1bf610b1d6f07900690ce4e4c33,hbase,False,2007-08-04 07:39:43,hbase,,629,318,55,7,2,5.09219474811151,0.0545454545454545,18.3818181818182,4.14545454545455,42,42.0,1.24784851074173,done,561.0
17cc1759fceb3ee260e18c5e11ce7598cb8c31aa,hbase,False,2007-08-19 01:29:09,hbase,,24,10,3,3,2,1.25329757846304,1.0,12.333333333333302,23.0,19,19.0,1.96679306030273,done,1024.0
4ebd558b41cc10348a97a2cafa03e6055a079129,hbase,False,2007-08-21 07:35:27,hbase,,26,14,3,3,2,0.7475846798245741,1.0,10.0,35.0,49,49.0,1.24784851074216,done,1361.0
e9aafde1f124c396f629749d9d78968614c0ad34,hbase,False,2007-08-25 09:42:45,hbase,,16,14,4,2,2,1.38729142764377,0.75,0.0,39.25,25,25.0,1.96679681539536,done,5482.0
5dc1ee32c0364dbe40dd3c08d6137776f811b6a6,hbase,False,2007-08-30 05:06:41,hbase,,7,1,2,2,2,0.5435644431995961,1.5,3.0,46.5,54,54.0,1.24784851074217,done,399.0
7d48b5f7d52c7fd246d32a158d0ecba9d946f383,hbase,False,2007-08-31 06:28:25,hbase,,87,75,3,2,2,0.33750222552675,1.0,9.33333333333333,28.0,29,29.0,1.96679686196148,done,441.0
844e56e70451e9226fb0cb20ebdfcf1042099109,hbase,False,2007-09-01 15:22:01,hbase,,235,101,27,5,2,4.15592447828403,0.148148148148148,17.592592592592602,13.5185185185185,58,58.0,1.24784851074217,done,10108.0
223a3e46d03c539d58e7c55b5ab2a4f1f429eaa1,hbase,False,2007-09-11 06:16:20,hbase,,5,2,1,1,1,0.0,2.0,0.0,5.0,34,34.0,30.0,done,155.0
a214798763e78b6434d87bb75b798d222b950c0d,hbase,False,2007-09-11 06:38:25,hbase,,4,1,1,1,1,0.0,2.0,0.0,6.0,35,35.0,31.0,done,158.0
5fe41420e62f259a4ba48484633b574d080a769c,hbase,False,2007-09-11 07:25:54,hbase,,6,2,1,1,1,0.0,2.0,0.0,7.0,36,36.0,32.0,done,161.0
d60908dcf9c8c0cfb3701d1b9b5f52e8239691df,hbase,False,2007-09-11 08:27:34,hbase,,5,4,4,3,3,1.83659166810898,0.75,6.25,40.0,37,37.0,1.03470002073108,done,2249.0
aeceb916fce5eae892932898c9641ec045eec62c,hbase,False,2007-09-13 01:48:54,hbase,,7,37,5,2,2,1.9965230430239904,0.6,12.4,23.2,66,66.0,1.24784851074217,done,565.0
1596f8aa10e3af2549c406a90a04ab85447830ea,hbase,False,2007-09-15 05:51:37,hbase,,72,53,6,2,2,1.5003552654840202,0.5,9.33333333333333,36.3333333333333,39,39.0,1.96679686551579,done,5062.0
8f3b423b73a76914af2bee72db94f177b2a3add8,hbase,False,2007-09-25 06:38:10,hbase,,37,18,6,2,2,2.00153879838362,0.5,8.33333333333333,28.3333333333333,49,49.0,1.96679686551914,done,1055.0
ccf42acf70609e8086c3f46b5c18ca8f6c13117d,hbase,False,2007-09-26 08:04:08,hbase,,9,0,3,2,2,1.22439444540599,1.0,35.3333333333333,37.3333333333333,50,50.0,1.96679686551914,done,233.0
c56582d19b3060270c3f95443d1945a2db9b8892,hbase,False,2007-10-03 06:42:07,hbase,,43,25,4,2,2,1.62168440824576,0.75,4.5,46.75,74,74.0,1.24784851074217,done,1753.0
1acbfbde1f0f3e7a656bd343c7000c24f48d15d4,hbase,False,2007-10-05 12:26:32,hbase,,9,4,2,2,2,0.3912435636292561,1.5,13.5,60.0,76,76.0,1.24784851074217,done,389.0
