commit_id,project,buggy,date,repo,gap,LA,LD,NF,ND,NS,Entropy,NDEV,AGE,NUC,EXP,REXP,SEXP,target,LT
4e8e3e6573926bdd227b4b499e14bb8da6727dce,ignite,False,2014-02-20 21:09:51,ignite,,14,0,1,1,1,0.0,1.0,0.0,1.0,0,0.0,0.0,done,8155.0
4d024ca9dc64d7b65171446e5c4b668eb6b7e34d,ignite,True,2014-02-21 18:30:14,ignite,444.0,1100,527,21,4,3,4.13516505896002,0.0952380952380952,0.0,0.4761904761904761,2,2.0,0.444444444444444,done,8169.0
6efcb1cbec512883920956a50d54e4843dd1760b,ignite,False,2014-02-21 19:46:35,ignite,,20,12,4,4,2,1.9836796919475,0.5,0.5,2.0,4,4.0,0.625,done,8359.0
5d34e8b3975c13fe99401544200384e9f24cd78b,ignite,False,2014-02-22 01:09:08,ignite,,1,1,1,1,1,0.0,1.0,0.0,2.0,11,11.0,7.0,done,237.0
7cbe05fdadb92a8eb53f631dbbc8aaf17f8bd420,ignite,False,2014-02-24 14:22:12,ignite,,4,7,1,1,1,0.0,1.0,0.0,1.0,10,10.0,9.0,done,136.0
425c61c15e509cdfee26ad5b8e96df26b92addf4,ignite,False,2014-02-24 15:35:49,ignite,,19,15,1,1,1,0.0,3.0,0.0,5.0,1,1.0,1.0,done,627.0
b366547c3be08b68fd958c674f17447a287df799,ignite,False,2014-02-24 15:59:48,ignite,,9,13,3,2,2,1.11807820934971,0.666666666666667,0.0,2.6666666666666696,2,2.0,1.25,done,1683.0
e05bfa9ba8254683a30c133333c69aad02b3c856,ignite,False,2014-02-24 17:57:16,ignite,,2,1,1,1,1,0.0,2.0,0.0,4.0,2,2.0,2.0,done,3060.0
6b576f966db0f0daf322fc376e808aaccad2d520,ignite,False,2014-02-24 18:18:57,ignite,,37,28,1,1,1,0.0,3.0,0.0,6.0,3,3.0,2.0,done,631.0
0f9570ede24e462a8315d271a83f658cdb7d3477,ignite,False,2014-02-24 18:55:13,ignite,,4,4,1,1,1,0.0,2.0,0.0,2.0,0,0.0,0.0,done,960.0
d2314752c4cd29e68bc3b39a85c1b6a629a37294,ignite,False,2014-02-24 22:14:43,ignite,,14,13,6,3,1,2.48510185345442,0.5,0.166666666666667,1.6666666666666698,7,7.0,4.0,done,4705.0
765e6b993f32511e6d0d1e3c750f20b6e5e15eaf,ignite,False,2014-02-24 22:39:26,ignite,,3,0,1,1,1,0.0,3.0,0.0,4.0,6,6.0,4.0,done,3512.0
2aaff0d8daa9e2ceeadba7ed972f4f28889bd6aa,ignite,False,2014-02-25 00:55:59,ignite,,8,16,3,2,1,0.973783729871222,0.333333333333333,0.666666666666667,0.333333333333333,4,4.0,1.0,done,674.0
991e6d406dbc60216ba83a0ff939a5a1cfbde1c2,ignite,False,2014-02-25 20:12:14,ignite,,51,15,1,1,1,0.0,1.0,5.0,1.0,5,5.0,2.0,done,188.0
4e960adde9329bcc5be86ef5135ed0f7f01278e2,ignite,False,2014-02-25 21:47:03,ignite,,22,6,2,2,2,1.0,0.5,4.5,2.0,6,6.0,0.859375,done,418.0
10445aa32908c69520bb1de6fef9c3dbb1639f90,ignite,False,2014-02-26 11:03:29,ignite,,34,32,3,2,1,0.760732746031896,1.0,1.0,6.0,30,30.0,14.0,done,1169.0
57063fa0f869a831e8b607fac18f14e7ead3fdf4,ignite,False,2014-02-26 15:50:19,ignite,,5,9,3,3,1,1.4926140680171298,1.33333333333333,0.333333333333333,3.3333333333333304,16,16.0,5.0,done,2693.0
ef4a0d788fdc54a55cd8931cfd0ee411181dd601,ignite,False,2014-02-26 18:06:38,ignite,,4,0,1,1,1,0.0,1.0,4.0,2.0,18,18.0,6.0,done,424.0
1d3cb67284d7640e351267092f7bba36c0e0b250,ignite,False,2014-02-26 20:19:52,ignite,,15,22,5,4,1,2.17956914033613,0.8,0.0,2.0,21,21.0,2.0,done,237.0
fc18e1b40aed35e3b19a67f4b8d23f37dd2e2100,ignite,False,2014-02-26 21:09:30,ignite,,4,2,1,1,1,0.0,2.0,0.0,4.0,24,24.0,5.0,done,76.0
e1812413956fdbd5021c0cd7a9f6a847b63774da,ignite,False,2014-02-26 21:33:43,ignite,,2,0,1,1,1,0.0,0.0,0.0,0.0,26,26.0,6.0,done,100.0
757ecba81536fcfe326b63d0c64d0241ab4c65ee,ignite,False,2014-02-26 22:07:22,ignite,,17,3,2,2,1,0.6098403047164,1.5,0.0,3.0,29,29.0,15.0,done,178.0
35fdab808fe78373217b1745658e3ea02521b1df,ignite,False,2014-02-26 22:12:27,ignite,,2,2,1,1,1,0.0,1.0,0.0,2.0,30,30.0,16.0,done,126.0
8f66e9ad4dcb283e9c0d9f42b6a94a56d8db846d,ignite,False,2014-02-26 23:38:09,ignite,,10,3,1,1,1,0.0,1.0,0.0,3.0,17,17.0,7.0,done,126.0
3af1e61a283a56131f55c718822c742e6e3a8ea8,ignite,False,2014-02-27 03:12:12,ignite,,9,1,1,1,1,0.0,1.0,6.0,1.0,0,0.0,0.0,done,5067.0
5418c998be6d6346e757e23166634f2037c86c63,ignite,False,2014-02-27 08:04:16,ignite,,19,8,1,1,1,0.0,3.0,0.0,4.0,16,16.0,11.0,done,375.0
14c50f722498e0cb25e16f3619dc1215e6c512d5,ignite,False,2014-02-27 16:09:36,ignite,,6,6,2,2,1,1.0,2.0,0.0,5.0,33,33.0,11.0,done,1308.0
998d1f7d4f598173cc93f8b69276486ce7f57941,ignite,False,2014-02-27 16:52:57,ignite,,0,45,1,1,1,0.0,1.0,0.0,1.0,36,36.0,19.0,done,237.0
cb59a762ec98eb2b5e260d635c79bad9a7cfcbf5,ignite,False,2014-02-27 18:41:06,ignite,,25,22,1,1,1,0.0,1.0,1.0,1.0,47,47.0,29.0,done,213.0
4ecfdae3ca1096b44fc1c016fcc735047b0f77b3,ignite,False,2014-02-27 18:45:58,ignite,,3,2,1,1,1,0.0,2.0,0.0,3.0,49,49.0,31.0,done,216.0
5aa4c0967710ab2695df91358a53ee12e9ac5c64,ignite,False,2014-02-27 19:28:26,ignite,,2,4,1,1,1,0.0,1.0,1.0,1.0,50,50.0,32.0,done,191.0
1df62846ecbe44ca28fa35c3177ceb82e7b74cd1,ignite,False,2014-02-27 19:57:30,ignite,,1,1,1,1,1,0.0,2.0,0.0,4.0,35,35.0,8.0,done,217.0
d7cb9e04a034acd3b17a89121f9a87317f2aafdf,ignite,False,2014-02-27 22:13:38,ignite,,7,2,1,1,1,0.0,3.0,0.0,4.0,24,24.0,12.0,done,604.0
fb0b12d454077fbde6573dc7976cbeed61e6ecaa,ignite,False,2014-02-27 22:18:59,ignite,,2,2,1,1,1,0.0,3.0,0.0,7.0,26,26.0,13.0,done,1181.0
443543e61aac777e23f9f6db5eabfa5867d635f8,ignite,False,2014-02-27 22:48:12,ignite,,137,130,11,4,1,3.3178607928507,0.363636363636364,0.272727272727273,1.54545454545455,42,42.0,23.0,done,2639.0
b76a80380c12e04fe7c3319fccd730e48e59cd86,ignite,False,2014-02-28 03:19:43,ignite,,70,85,10,9,1,3.1531938153189,0.4,0.4,1.6,45,45.0,26.0,done,1191.0
e8c9cdaffcfda2707125f168256b0618211c97cc,ignite,False,2014-02-28 04:39:04,ignite,,2,1,1,1,1,0.0,4.0,0.0,9.0,23,23.0,13.0,done,731.0
0b4c671fc3d04bf2b0953bb13a469b52160c5170,ignite,False,2014-02-28 05:48:06,ignite,,18,1,3,2,1,1.18973191682073,1.33333333333333,0.0,7.66666666666667,25,25.0,15.0,done,2427.0
ae4a6ff905710456653552f2328f466d90bf3bb5,ignite,False,2014-02-28 06:58:45,ignite,,1,1,1,1,1,0.0,1.0,6.0,2.0,17,17.0,12.0,done,2136.0
efcc80611988b97cc2c6c1ca6cc9869ee9e5f101,ignite,False,2014-02-28 08:09:58,ignite,,1,1,1,1,1,0.0,2.0,0.0,2.0,52,52.0,24.0,done,1372.0
2e46f071e4de0b8e86ff7d34d62a998537b051ba,ignite,False,2014-02-28 08:11:33,ignite,,1,1,1,1,1,0.0,2.0,0.0,3.0,18,18.0,13.0,done,2136.0
3fc5447f28e92a898647d6a9fa917ad839913f84,ignite,False,2014-02-28 08:16:13,ignite,,14,59,5,3,2,1.56958180060242,0.8,1.4,2.8,53,53.0,1.91892980682104,done,178.0
27803ad1a1240b82e67eeb38f25b232cc1198150,ignite,False,2014-02-28 12:32:09,ignite,,4,1,1,1,1,0.0,1.0,0.0,1.0,21,21.0,15.0,done,393.0
0b8fd756a8a9c26397dff24ae04d8dc91d4976ce,ignite,False,2014-02-28 15:48:41,ignite,,54,82,2,2,1,0.191433254814193,2.0,0.0,7.0,56,56.0,28.0,done,214.0
ff1885ee30e6952f09f9b7fdc4730e3216ed044a,ignite,False,2014-02-28 16:10:15,ignite,,4,4,2,2,1,0.811278124459133,1.5,0.0,7.5,29,29.0,18.0,done,2322.0
6555602ec3303be68132c6ecc9d7d34d48486c49,ignite,False,2014-02-28 16:21:11,ignite,,52,98,9,6,2,2.09504389317389,0.333333333333333,4.0,1.22222222222222,59,59.0,1.91892980682104,done,102.0
25ad936015526eb3363ce38f70a3cd0f6f9c5a4d,ignite,False,2014-02-28 16:53:31,ignite,,3,0,1,1,1,0.0,3.0,0.0,5.0,52,52.0,13.0,done,161.0
5fd528f852129551b2fd4d1ff069883f47847674,ignite,False,2014-02-28 17:33:42,ignite,,2,0,1,1,1,0.0,2.0,4.0,3.0,31,31.0,19.0,done,1286.0
b9bb776e4f06ca138ee2d878a3a8d8f3cd09a847,ignite,False,2014-02-28 20:24:12,ignite,,8,4,1,1,1,0.0,4.0,0.0,12.0,37,37.0,23.0,done,734.0
37739aced51306193805ced35b56143f20a624c8,ignite,False,2014-02-28 21:01:22,ignite,,1,16,1,1,1,0.0,4.0,0.0,10.0,34,34.0,17.0,done,687.0
b29385a0e4e211c067f45c4970a9eaeef4fc5f99,ignite,False,2014-02-28 22:21:25,ignite,,4,4,1,1,1,0.0,4.0,0.0,8.0,38,38.0,19.0,done,1764.0
017f11f7decccd4ac398f9d81efe1b3adec81975,ignite,False,2014-02-28 22:44:55,ignite,,7,52,6,6,1,2.44029987105048,0.666666666666667,0.833333333333333,2.5,62,62.0,32.0,done,607.0
4ecf3a338a33d886691c4834380af9fed8e8d2be,ignite,False,2014-03-01 03:13:06,ignite,,1,1,1,1,1,0.0,4.0,0.0,6.0,25,25.0,16.0,done,2151.0
23fd55839f84bf0b151e1d11cdf0504a3d7b54f2,ignite,False,2014-03-01 19:31:31,ignite,,7,2,2,1,1,0.7642045065086199,3.0,0.0,12.0,40,40.0,26.0,done,1760.0
b006d3cfaa7be0914a127930ae97471c572a3ddf,ignite,False,2014-03-01 19:44:47,ignite,,4,1,1,1,1,0.0,0.0,0.0,0.0,42,42.0,27.0,done,663.0
f6ec5aab3917aae65b00791f4547875fc07607e2,ignite,False,2014-03-02 03:06:07,ignite,,5,0,1,1,1,0.0,3.0,2.0,5.0,48,48.0,25.0,done,1398.0
3e97bd418f5265475a90837957845bec43030eee,ignite,False,2014-03-02 05:15:05,ignite,,21,2,2,1,1,0.426228656998145,2.5,0.0,5.0,50,50.0,26.0,done,3015.0
f43aec276f9f9c187662bbf87d65f099b73f9dc1,ignite,False,2014-03-04 18:05:24,ignite,,1,0,1,1,1,0.0,1.0,2.0,2.0,2,2.0,0.0,done,834.0
0b75735ef40b40076a9fa6ac4cc8fe74081bee38,ignite,False,2014-03-04 21:29:34,ignite,,3,0,1,1,1,0.0,1.0,0.0,3.0,3,3.0,1.0,done,303.0
9de65d0167b0ab9ad587c45fdb39c6f6bf788323,ignite,False,2014-03-04 22:08:48,ignite,,4,1,1,1,1,0.0,3.0,0.0,5.0,56,56.0,29.0,done,5075.0
992237f22708ab4f68f736f1de2a3ac914920ea0,ignite,True,2014-03-04 22:59:24,ignite,736.0,35,55,4,3,1,0.263674383675904,1.5,0.0,7.75,59,59.0,22.0,done,9788.0
7934a00fc9794cf279da5219fa00e0a8864f075d,ignite,False,2014-03-05 00:44:38,ignite,,7,2,1,1,1,0.0,1.0,0.0,3.0,60,60.0,32.0,done,191.0
87257062cd5dacd091ce1001176ea3fd2ffac3bb,ignite,False,2014-03-05 17:23:45,ignite,,20,3,1,1,1,0.0,4.0,0.0,6.0,32,32.0,0.0,done,457.0
c08189470239497a50a86490669351461adabd0c,ignite,False,2014-03-05 18:36:15,ignite,,4,21,2,2,2,0.402179190202273,3.0,0.0,6.0,50,50.0,1.36588597052428,done,474.0
d07b6c50e9fbbc0c6e0fa7a159e80471e35e4636,ignite,False,2014-03-05 19:25:21,ignite,,20,0,1,1,1,0.0,4.0,0.0,7.0,6,6.0,3.0,done,5099.0
7f54a6e06083653ea838fc423cee88c6f3aa5045,ignite,False,2014-03-05 19:57:55,ignite,,3,4,3,2,2,1.55665670746282,1.33333333333333,0.0,4.66666666666667,69,69.0,0.707042256794596,done,719.0
850cd510f391679f57f0b1c624bba31af0c43fd9,ignite,False,2014-03-05 20:31:15,ignite,,6,1,1,1,1,0.0,3.0,0.0,6.0,6,6.0,6.0,done,1269.0
dc3d4495db97fc6cced8a932d3425bf50bb1b8bf,ignite,False,2014-03-05 20:53:50,ignite,,4,3,1,1,1,0.0,1.0,0.0,3.0,70,70.0,27.0,done,545.0
e8f0b5ede2e258653b74f586e27e97582859cc79,ignite,False,2014-03-05 22:39:59,ignite,,87,82,1,1,1,0.0,4.0,0.0,8.0,67,67.0,35.0,done,5116.0
42b3077276fedc95a41e48b6db5b95b458c8db7d,ignite,False,2014-03-05 22:46:29,ignite,,3,2,1,1,1,0.0,3.0,1.0,4.0,68,68.0,12.0,done,206.0
1d22d8e65143edec6829f4a98f2dda61fff877f0,ignite,False,2014-03-06 09:26:56,ignite,,11,7,1,1,1,0.0,1.0,0.0,1.0,48,48.0,31.0,done,465.0
a7964a8c5eb39b6d015b3095155b55dbdba0b503,ignite,False,2014-03-06 09:46:12,ignite,,1,1,1,1,1,0.0,1.0,0.0,3.0,50,50.0,33.0,done,470.0
bd630c0a6b6f5d92df50be0ff1553df65bef8bcc,ignite,False,2014-03-06 15:57:43,ignite,,1,1,1,1,1,0.0,4.0,0.0,9.0,8,8.0,5.0,done,5121.0
2f25ebd6747c25da30fa03efd8564d73b9a62a26,ignite,False,2014-03-06 17:09:49,ignite,,5,3,1,1,1,0.0,5.0,0.0,12.0,34,34.0,15.0,done,8172.0
e29259176375c1cf0b3f618f5750e644f74e2861,ignite,False,2014-03-06 17:22:45,ignite,,7,36,5,5,1,2.27302069163176,1.6,0.0,6.2,11,11.0,6.0,done,12579.0
e85f6cb019b769fcf21e648ca8e18f92212d209c,ignite,False,2014-03-06 17:42:16,ignite,,1,1,1,1,1,0.0,4.0,0.0,7.0,12,12.0,1.0,done,69.0
0f6b2b5b83e84d1712a10b03340530a294fd362c,ignite,False,2014-03-06 23:35:38,ignite,,1,1,1,1,1,0.0,3.0,2.0,5.0,56,56.0,32.0,done,1666.0
18871ff0fc8dbe6953d94e6933e235df73684bf5,ignite,True,2014-03-07 15:08:48,ignite,2201.0,337,15,10,4,1,2.4803026957315897,0.2,0.1,0.8,82,82.0,35.0,done,1354.0
c273190276190a2bf7b20da515a18f44e90ea96d,ignite,False,2014-03-07 16:38:44,ignite,,1,1,1,1,1,0.0,5.0,1.0,8.0,71,71.0,13.0,done,454.0
c699533c891830963916b60e691e185e54892146,ignite,False,2014-03-07 17:13:07,ignite,,9,7,4,2,1,1.75,0.25,0.0,1.25,87,87.0,39.0,done,98.0
b2aaa5a6e30e21f433fa6fd3bf31a3e50df63fec,ignite,False,2014-03-07 22:39:20,ignite,,12,15,13,11,2,3.6898916687500094,0.7692307692307689,1.0,6.307692307692308,14,14.0,0.6116943359375,done,203.0
da47fe60341977e9cf77974b3b1d9d67567792cc,ignite,False,2014-03-08 05:08:00,ignite,,58,19,13,7,1,2.8603475078865803,0.0769230769230769,0.0769230769230769,0.923076923076923,98,98.0,47.0,done,4714.0
0fb446db643f3c6244dadaf40f0c0d6fbeab34ee,ignite,False,2014-03-09 15:24:36,ignite,,5,5,3,3,1,1.37095059445467,0.333333333333333,0.666666666666667,1.0,100,100.0,48.0,done,71.0
f96692ec0235a0af728e920f8dd329057c09c354,ignite,False,2014-03-09 17:02:29,ignite,,7,2,2,2,2,0.91829583405449,1.0,1.0,2.0,101,101.0,0.707042256794596,done,1076.0
6933cc568a4c24231527d7532751073c29ed27a9,ignite,False,2014-03-10 10:09:51,ignite,,24,24,1,1,1,0.0,1.0,1.0,5.0,54,54.0,35.0,done,765.0
509a9a7b4bf9b5051c4fc2df44471c5960ef06fe,ignite,False,2014-03-11 05:15:00,ignite,,20,9,7,4,1,2.77988918455894,0.142857142857143,2.71428571428571,1.28571428571429,106,106.0,53.0,done,586.0
00b26f2e05545388d8e04e80c019df32df653c93,ignite,False,2014-03-11 13:18:18,ignite,,1,15,2,2,1,0.5435644431995961,1.0,3.0,4.0,107,107.0,54.0,done,483.0
7585751a5f435fd9f0bcef911173427d811c0c7c,ignite,False,2014-03-11 15:17:43,ignite,,8,5,3,3,1,1.1981839479118,0.333333333333333,2.0,2.0,111,111.0,58.0,done,579.0
98833ab4bcc76f1755edd9bade4f84ca9bc4320a,ignite,False,2014-03-11 17:19:59,ignite,,40,32,1,1,1,0.0,6.0,0.0,20.0,116,116.0,62.0,done,1622.0
bd09aaa46919500264e7a5f16c960cb643b90ad8,ignite,False,2014-03-11 18:15:33,ignite,,16,6,1,1,1,0.0,2.0,6.0,3.0,15,15.0,8.0,done,663.0
c192a39a884fc00b391c009934e84070651e18db,ignite,False,2014-03-11 21:16:05,ignite,,1,1,1,1,1,0.0,3.0,4.0,6.0,58,58.0,33.0,done,1666.0
3bf3dba744ab7cdcbdff300e1ac52a02ce33b586,ignite,False,2014-03-11 22:05:15,ignite,,4,5,2,2,2,0.5032583347756461,4.0,1.5,12.5,18,18.0,0.611774444580078,done,8224.0
203d9aab567de14bb4ea7ce27e5c4b4ed2d6dc9e,ignite,False,2014-03-12 15:14:58,ignite,,1,1,1,1,1,0.0,5.0,0.0,12.0,118,118.0,64.0,done,1897.0
785f1fc64de04b91e5d98641c7985415c841c8b5,ignite,True,2014-03-13 17:15:49,ignite,600.0,77,35,4,4,1,0.526422405968006,1.75,4.0,7.0,70,70.0,20.0,done,348.0
2846384ba57c951cae72a339fb43efb336931e32,ignite,False,2014-03-13 19:29:02,ignite,,6,6,6,6,2,2.25162916738782,1.0,5.5,3.0,24,24.0,0.6077184081077579,done,2213.0
8a4dc1a97a56f16fd80562bff5e995ca8afc8067,ignite,False,2014-03-13 21:49:42,ignite,,1,1,1,1,1,0.0,2.0,9.0,4.0,73,73.0,36.0,done,27.0
a92c14358983b9643df5a4357e51210d00fa64bc,ignite,False,2014-03-13 21:49:47,ignite,,1,1,1,1,1,0.0,2.0,0.0,5.0,74,74.0,37.0,done,27.0
377b3edaf7fb82a1c4b2a8bdc153b4e1b0591fed,ignite,False,2014-03-13 22:31:21,ignite,,2,2,1,1,1,0.0,0.0,0.0,0.0,75,75.0,40.0,done,8172.0
e72154ff2e9b98ddf18335c3fc0df88fa912cae0,ignite,False,2014-03-14 11:16:16,ignite,,3,0,2,1,1,0.91829583405449,2.0,0.0,8.0,60,60.0,41.0,done,650.0
51bc1d5c70a011f074c39505353c33a963b03bf4,ignite,False,2014-03-14 21:29:18,ignite,,3,4,2,2,1,0.985228136034252,4.0,0.0,9.5,78,78.0,23.0,done,3803.0
2d6744be05eb6e4b70005b9133ed19ed4e75c692,ignite,False,2014-03-14 22:30:18,ignite,,2,1,1,1,1,0.0,6.0,0.0,11.0,79,79.0,24.0,done,2156.0
