commit_id,project,fold,our_actionable_ratio,baseline_actionable_ratio
67ead201e1cb0e7dc019002d7a2e4be53184261d,activemq,0,0.6,0.6
7ebc6ceef8f97e2d0002df6a4befe04d528d8275,activemq,0,0.6,0.6
3051882f926851572c3755a9c0002441b5a2fc65,activemq,0,0.6,0.6
e89b7a57f1aa206830998ae022c041302a22baea,activemq,0,0.6,0.6
65cef691306dbd8cee37aa05b2621ebce264a07c,activemq,0,0.6,0.4
281d600ae2f9ba6c6bc7bee0e8025698b9a76563,activemq,0,0.6,0.6
67ead201e1cb0e7dc019002d7a2e4be53184261d,activemq,1,0.8,0.8
7ebc6ceef8f97e2d0002df6a4befe04d528d8275,activemq,1,0.8,0.6
3051882f926851572c3755a9c0002441b5a2fc65,activemq,1,0.8,0.6
e89b7a57f1aa206830998ae022c041302a22baea,activemq,1,0.8,0.6
65cef691306dbd8cee37aa05b2621ebce264a07c,activemq,1,0.8,0.4
281d600ae2f9ba6c6bc7bee0e8025698b9a76563,activemq,1,0.8,0.6
67ead201e1cb0e7dc019002d7a2e4be53184261d,activemq,2,0.6,0.8
3051882f926851572c3755a9c0002441b5a2fc65,activemq,2,0.6,0.6
e89b7a57f1aa206830998ae022c041302a22baea,activemq,2,0.6,0.6
65cef691306dbd8cee37aa05b2621ebce264a07c,activemq,2,0.6,0.6
281d600ae2f9ba6c6bc7bee0e8025698b9a76563,activemq,2,0.6,0.6
67ead201e1cb0e7dc019002d7a2e4be53184261d,activemq,3,0.8,0.8
3051882f926851572c3755a9c0002441b5a2fc65,activemq,3,0.8,0.6
e89b7a57f1aa206830998ae022c041302a22baea,activemq,3,0.8,0.6
65cef691306dbd8cee37aa05b2621ebce264a07c,activemq,3,0.8,0.6
281d600ae2f9ba6c6bc7bee0e8025698b9a76563,activemq,3,0.8,0.6
67ead201e1cb0e7dc019002d7a2e4be53184261d,activemq,4,0.6,0.8
e89b7a57f1aa206830998ae022c041302a22baea,activemq,4,0.6,0.6
65cef691306dbd8cee37aa05b2621ebce264a07c,activemq,4,0.6,0.4
281d600ae2f9ba6c6bc7bee0e8025698b9a76563,activemq,4,0.6,0.6
67ead201e1cb0e7dc019002d7a2e4be53184261d,activemq,5,0.6,0.8
3051882f926851572c3755a9c0002441b5a2fc65,activemq,5,0.6,0.6
ce16735bb07e9df5e280c9cd9f82b331ee284f24,activemq,5,0.6,0.6
e89b7a57f1aa206830998ae022c041302a22baea,activemq,5,0.6,0.6
